(expt 1) [AND] Reward versus No-Reward
(expt 2)
21	39	-21
-10	42	-24
27	-1	-21
-23	0	-16
14	14	-10
-21	14	-10
28	-35	-3
39	-21	-14
-38	-24	-17
7	-87	0
-28	-45	-28
14	-45	-14
25	-10	67
18	-7	-28
-17	-3	-14
-28	-24	-14
-21	21	-25
4	-56	35
25	25	-21
39	-21	14
11	0	-14
14	11	-14
53	-17	46
-31	-14	-21
-7	4	8
