-12	-69	17
-23	-85	32
-20	-83	30
38	-85	39
47	-73	-5
-25	-54	-8
-20	-49	-3
51	-62	11
63	-59	0
-1	-57	47
60	-25	38
-3	-57	48
-5	-56	48
-5	-61	47
-5	-68	50
-11	-57	47
-5	-68	54
-4	-61	56
-9	-73	-59
-1	-59	56
21	-57	35
27	-64	42
67	-19	35
-54	-61	14
-58	-19	-27
-64	-54	-9
58	-57	-2
55	-57	-3
58	-26	18
54	-64	15
0	35.6	-22.5
36	32	42
-59	-40	41
-63	-35	29
1	-59	47
60	-30	41
42	-44	42
0	-60	56
-12	46	-9
-7	48	-5
35	36	39
55	6	24
4	42	-2
-9	-18	47
-4	-56	48
-1	-57	45
-4	-56	51
-4	-54	54
-3	-61	56
-59	-38	41
9	-33	39
7	-38	21
68	-26	27
66	-25	30
59	-28	38
-60	-31	29
51	19	-35
54	-23	-24
-1	37	-9
34	32	44
0	63	12
4	63	15
1	55	-24
0	29	-21
3	22	-17
62	-45	32
62	-44	35
62	-38	38
56	-26	23
58	-56	24
3	-57	47
59	-52	9
-13	-56	6
-1	58	8
-3	51	-9
-25	8	62
1	18	-9
3	27	-20
32	30	44
31	32	47
29	30	51
38	20	32
13	60	-2
1	-49	32
0	-68	29
1	-26	45
1	-28	45
54	-16	17
-27	-62	-8
38	17	-32
36	10	5
1	34	-21
-32	-74	-36
40	17	-29
-5	58	-21
7	41	-26
-1	55	-24
44	-74	-6
