"";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"TimeBin";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"1";"R_V1_ROI";3;-0,00279153922544712;11,5491;-83,1736;1,39964;"R";"First";1,04077065754387;-0,0424526419987801;0;334,127984297699;5
"2";"R_MST_ROI";3;-0,00273191532598378;54,083;-73,396;1,13441;"R";"First";1,0406926523062;-0,0458272963213446;0;372,698523008334;11
"3";"R_V6_ROI";3;-0,00263045022583163;12,9289;-82,7572;32,4649;"R";"First";1,03998345399765;-0,0701635953882586;0;368,636724168125;1
"4";"R_V2_ROI";3;-0,00250967356524911;12,8295;-81,137;-6,04955;"R";"First";1,03876100557;-0,0692675812530291;0;386,269746376651;3
"5";"R_V3_ROI";3;-0,0023745437348303;29,6284;-99,92;4,79977;"R";"First";1,03822547535444;-0,0847104302477928;0;373,513699232414;264
"6";"R_V4_ROI";3;-0,00220566816774488;36,3954;-91,4078;-12,1262;"R";"First";1,03766344591334;-0,078329427320158;0;371,889355346153;14
"7";"R_V8_ROI";3;-0,00202685057891917;34,6923;-77,2024;-21,3038;"R";"First";1,03715073441508;-0,0468658178455037;0;336,15726532093;0
"8";"R_4_ROI";3;-0,00183545968389098;34,7148;-16,1394;72,2143;"R";"First";1,03713298165303;0,000824642487102178;1;386,805562127041;76
"9";"R_3b_ROI";3;-0,001630710600697;47,0606;-19,8243;63,1735;"R";"First";1,03649886863679;0,00784790556899236;1;346,107612691275;5
"10";"R_FEF_ROI";3;-0,00140001291150738;46,0974;5,31453;60,5101;"R";"First";1,03550957981314;-0,0597650193355209;0;356,09939559296;8
"11";"R_PEF_ROI";3;-0,00116438106049368;54,9109;13,9545;41,9061;"R";"First";1,03507310264414;-0,0575979218009628;0;364,324596512841;49
"12";"R_55b_ROI";3;-0,000916539414405263;52,4298;9,08805;51,0785;"R";"First";1,03479794777294;-0,0418286114855347;0;360,851170059814;11
"13";"R_V3A_ROI";3;-0,000652554252466333;22,479;-94,5908;28,7691;"R";"First";1,03461364773895;-0,0918621552930274;0;396,04351743986;109
"14";"R_RSC_ROI";2;-0,000378901772967469;2,21983;-40,1476;25,7868;"R";"First";1,03436122809703;0,00282153814909605;1;322,270253092047;37
"15";"R_POS2_ROI";2;-9,37495337128803e-05;10,999;-74,7364;41,2835;"R";"First";1,03418668323792;-0,0229698237212498;0;335,411285375076;37
"16";"R_V7_ROI";3;0,000215198280734374;25,4456;-90,4326;36,4716;"R";"First";1,0335225218587;-0,0878771679651448;0;364,777930937206;3
"17";"R_IPS1_ROI";1;0,000508079498960354;26,989;-84,5792;44,4358;"R";"First";1,03324600354561;-0,0132269512593586;0;337,919002334074;61
"18";"R_FFC_ROI";3;0,000814370984750635;43,6373;-59,4595;-26,8917;"R";"First";1,03314172573574;-0,043329286609335;0;353,412735748936;5
"19";"R_V3B_ROI";3;0,00115000647832523;31,5046;-92,5847;29,0869;"R";"First";1,03285921096462;-0,0657194002557612;0;368,425277486213;15
"20";"R_LO1_ROI";3;0,00146632891124089;43,994;-90,5506;2,57524;"R";"First";1,03267172396172;-0,0685465891345728;0;355,873101308681;17
"21";"R_LO2_ROI";3;0,00178777368367482;44,9571;-86,4624;-7,59191;"R";"First";1,03226144869366;-0,0409351393482321;0;367,25053346812;138
"22";"R_PIT_ROI";3;0,00211551109003775;41,5996;-84,8171;-14,6547;"R";"First";1,03200065609169;-0,0266849922684399;0;341,063909760719;5
"23";"R_MT_ROI";3;0,00242467851626002;51,2534;-79,687;3,98399;"R";"First";1,03187360843292;-0,0717258894387865;0;372,391879843652;85
"24";"R_A1_ROI";3;0,00274417356166961;55,2521;-18,6583;3,62105;"R";"First";1,03146905028005;-0,0140847152125213;0;332,332457814427;0
"25";"R_PSL_ROI";3;0,00303524587226277;65,6807;-38,6014;25,111;"R";"First";1,03100042174754;-0,0725609652416442;0;368,234056327002;564
"26";"R_SFL_ROI";2;0,00333485725845142;11,0238;22,193;62,4761;"R";"First";1,03058368953694;0,000558757981234653;1;327,283743532241;19
"27";"R_PCV_ROI";1;0,00363962980728323;7,75372;-54,8835;54,3246;"R";"First";1,03041221573916;0,0010830074386412;1;319,161687233598;14
"28";"R_STV_ROI";3;0,00395253287448093;64,0803;-44,684;19,5865;"R";"First";1,02986444138671;-0,0549777060035559;0;376,042871426516;14
"29";"R_7Pm_ROI";1;0,00427586392479719;10,6503;-67,35;54,96;"R";"First";1,02976820631026;-0,00752421350874565;0;333,969717787164;11
"30";"R_7m_ROI";1;0,00460184774580658;7,72306;-65,3151;40,6649;"R";"First";1,02959558278962;0,0923186329004424;1;363,324098570251;56
"31";"R_POS1_ROI";1;0,00492852508318594;9,14058;-63,0612;15,0204;"R";"First";1,02920992521695;0,0528636611044449;1;358,152962522101;22
"32";"R_23d_ROI";1;0,00526782581345804;2,65298;-24,2441;38,5114;"R";"First";1,02910715690896;0,0228157541525598;1;328,231826129219;73
"33";"R_v23ab_ROI";1;0,00561381487165218;5,61358;-56,7698;22,358;"R";"First";1,02855237795208;0,0894072661389351;1;370,290741008312;18
"34";"R_d23ab_ROI";1;0,0059446700163978;3,19493;-42,0742;33,1706;"R";"First";1,02845354059287;0,079614319993711;1;345,321094619229;6
"35";"R_31pv_ROI";1;0,00627099860878609;4,41187;-48,5085;35,1196;"R";"First";1,02824052133846;0,108275970660453;1;366,818202527821;68
"36";"R_5m_ROI";3;0,00657328262014531;8,76024;-35,3403;68,2431;"R";"First";1,02813599223593;-0,0157426214003586;0;376,026303258746;3
"37";"R_5mv_ROI";3;0,00687308601984509;8,22788;-39,1911;58,3342;"R";"First";1,02797480469078;-0,0493347426578094;0;352,232159450087;9
"38";"R_23c_ROI";3;0,00717786057578337;6,2486;-32,2964;48,2286;"R";"First";1,02779231388573;-0,0581933402514365;0;363,392852595622;6
"39";"R_5L_ROI";3;0,00747905378114155;13,0886;-44,8421;72,2361;"R";"First";1,02765954144412;-0,0213916653049847;0;357,782972241965;91
"40";"R_24dd_ROI";3;0,00777363629448771;6,5378;-12,6916;57,9469;"R";"First";1,02742754669349;-0,00269345812697216;0;353,228048427874;4
"41";"R_24dv_ROI";2;0,00807435456964066;5,48169;2,11296;49,8577;"R";"First";1,02710491934577;-0,00815736622796774;0;301,888664671374;1
"42";"R_7AL_ROI";3;0,00837132675149503;20,4358;-51,6751;72,943;"R";"First";1,02692420237676;-0,0511618201311169;0;391,549439186646;127
