"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"TimeBin";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"34";11352;"L_7m_ROI";1;-0,000212130287819619;-6,84013;-61,4157;49,0644;"L";"First";1,00937021551483;-0,0217843893931394;0;2432,61762320529;3
"35";11370;"L_7m_ROI";1;-0,000205239130413862;-7,33427;-69,282;41,2323;"L";"First";1,00935149170596;-0,0165384842766416;0;2272,99848969074;26
"36";11371;"L_7m_ROI";1;-0,000198189943888699;-7,16173;-68,2058;42,2451;"L";"First";1,0093441365481;-0,027038024491345;0;2337,69792194607;5
"37";11372;"L_7m_ROI";1;-0,000191997537931445;-7,01442;-67,111;43,2437;"L";"First";1,00933613950987;-7,04997205246183e-05;0;2450,79511887767;81
"38";11373;"L_7m_ROI";1;-0,000185350914357876;-6,8947;-66,0009;44,2278;"L";"First";1,0093089592276;0,0102825137284534;1;2475,02383044071;33
"39";11374;"L_7m_ROI";2;-0,000179169779083709;-6,804;-64,8789;45,197;"L";"First";1,0093018389956;0,0318094173617953;1;2541,63841009312;19
"40";11375;"L_7m_ROI";2;-0,000171842609386668;-6,74297;-63,7483;46,1506;"L";"First";1,00928534424599;0,0190522672445891;1;2460,808415515;11
"41";11376;"L_7m_ROI";1;-0,000166127477897657;-6,71157;-62,612;47,0878;"L";"First";1,00927988449796;-0,0113829850302195;0;2460,34657201621;5
"42";11377;"L_7m_ROI";1;-0,000159850729334931;-6,70921;-61,4729;48,0073;"L";"First";1,0092626056086;-0,0216116462274707;0;2452,14075248641;4
"43";11394;"L_7m_ROI";2;-0,000151584920428846;-7,27841;-69,2946;40,0613;"L";"First";1,00922815085882;-0,00185329279225543;0;2261,21135557155;131
"44";11395;"L_7m_ROI";1;-0,000144344832671309;-7,09812;-68,2306;41,0889;"L";"First";1,00921159609375;-0,0263995444927559;0;2308,22945940012;16
"45";11396;"L_7m_ROI";1;-0,000136372292226928;-6,9426;-67,1452;42,1026;"L";"First";1,00918514496289;-0,00815285777727416;0;2383,26429360377;29
"46";11397;"L_7m_ROI";2;-0,000129078786481657;-6,81433;-66,042;43,1021;"L";"First";1,00916856765743;0,0191263182782254;1;2440,04300272951;31
"47";11398;"L_7m_ROI";2;-0,000122819423649518;-6,71487;-64,9242;44,0867;"L";"First";1,00915946307724;0,0253849503825665;1;2452,70194743878;83
"48";11399;"L_7m_ROI";2;-0,000115305835647661;-6,64498;-63,7954;45,0559;"L";"First";1,00914456529156;0,0354709296887837;1;2493,33531848316;23
"49";11400;"L_7m_ROI";1;-0,000107299498843368;-6,60473;-62,6588;46,0084;"L";"First";1,00913134674153;0,00285413885676396;1;2500,35003907192;14
"50";11401;"L_7m_ROI";1;-0,000100517027679671;-6,5936;-61,5173;46,9432;"L";"First";1,00912124273569;-0,0123576112569928;0;2468,54317803168;3
"51";11402;"L_7m_ROI";1;-9,38575771872817e-05;-6,61062;-60,3736;47,8589;"L";"First";1,00911157736231;-0,0238142514208326;0;2426,96237734894;9
"52";11418;"L_7m_ROI";1;-8,68731475556683e-05;-7,0466;-68,233;39,9243;"L";"First";1,00907785314133;-0,027255992443538;0;2300,84348603944;21
"53";11419;"L_7m_ROI";1;-7,86964956728397e-05;-6,88316;-67,1588;40,9532;"L";"First";1,00905622606256;-0,0253068921112052;0;2351,64150024285;48
"54";11420;"L_7m_ROI";2;-7,08924706987744e-05;-6,74661;-66,064;41,9683;"L";"First";1,00903796632998;0,0150305257453519;1;2446,9310179547;15
"55";11421;"L_7m_ROI";2;-6,30213518030407e-05;-6,63863;-64,9521;42,9688;"L";"First";1,00903426902682;0,0172667919941403;1;2477,44019415466;29
"56";11422;"L_7m_ROI";2;-5,57965458521316e-05;-6,56008;-63,8265;43,9538;"L";"First";1,00901677244997;0,0249792618205848;1;2474,14222625062;36
"57";11423;"L_7m_ROI";2;-4,8667221483367e-05;-6,51107;-62,6907;44,9222;"L";"First";1,00899447379062;0,0315515784172276;1;2570,65058659835;255
"58";11424;"L_7m_ROI";2;-4,06289982564093e-05;-6,49118;-61,5478;45,8726;"L";"First";1,00898752461648;0,0243342840138784;1;2527,75051662129;73
"59";11425;"L_7m_ROI";1;-3,32040233941605e-05;-6,49949;-60,4007;46,8037;"L";"First";1,00895434204299;0,0041011812909373;1;2447,5189090093;1
"60";11440;"L_7m_ROI";1;-2,58018527411702e-05;-7,00482;-68,2111;38,7522;"L";"First";1,00893961022704;-0,0399925299853923;0;2347,02132939209;22
"61";11441;"L_7m_ROI";1;-1,84111115496696e-05;-6,83372;-67,1499;39,7965;"L";"First";1,00892356850277;-0,0403939056318571;0;2349,9098977917;295
"62";11442;"L_7m_ROI";1;-1,13700664873367e-05;-6,68917;-66,0653;40,8273;"L";"First";1,00891452313992;-0,00885148546738593;0;2478,41492748385;4
"63";11443;"L_7m_ROI";1;-4,02276733840858e-06;-6,57293;-64,9609;41,8438;"L";"First";1,0089018332509;0,00956855070175321;1;2504,45857181181;22
"64";11444;"L_7m_ROI";2;2,77387740732399e-06;-6,48591;-63,8401;42,845;"L";"First";1,00888468669664;0,0138054925977711;1;2486,17335593207;0
"65";11445;"L_7m_ROI";2;9,71066995514309e-06;-6,4283;-62,7064;43,8295;"L";"First";1,00886800334041;0,0304716072357614;1;2520,40715856961;85
"66";11446;"L_7m_ROI";2;1,69570937163904e-05;-6,39969;-61,5632;44,796;"L";"First";1,00884948237454;0,0326437148053238;1;2556,05801610307;143
"67";11447;"L_7m_ROI";2;2,46068775712729e-05;-6,39924;-60,4135;45,7429;"L";"First";1,00882929418557;0,0388840957989508;1;2492,32403720825;118
"68";11448;"L_7m_ROI";1;3,47335956199879e-05;-6,42575;-59,2602;46,6686;"L";"First";1,00881844087643;-0,00582811709649476;0;2389,74021770296;31
"69";11461;"L_7m_ROI";1;4,42652159617412e-05;-6,9704;-68,1625;37,5738;"L";"First";1,00880315870917;-0,0428468042380043;0;2374,10463727103;56
"70";11462;"L_7m_ROI";1;5,41439134409342e-05;-6,7919;-67,1161;38,6333;"L";"First";1,00878344860733;-0,047895734683081;0;2334,52986665366;741
"71";11463;"L_7m_ROI";1;6,62892421024448e-05;-6,63962;-66,0437;39,6799;"L";"First";1,00877673876357;-0,029098545086991;0;2473,32551258641;2
"72";11464;"L_7m_ROI";1;7,91368140642781e-05;-6,51536;-64,9486;40,7125;"L";"First";1,00877538931044;-0,013967711580533;0;2426,62147428496;1
"73";11465;"L_7m_ROI";1;8,8436107333826e-05;-6,42012;-63,8343;41,7301;"L";"First";1,0087606504089;0,00272155268546995;1;2372,36953673166;4
"74";11466;"L_7m_ROI";2;9,61502066004885e-05;-6,35409;-62,7044;42,7311;"L";"First";1,00875049413934;0,0207637186920902;1;2483,28445029084;9
"75";11467;"L_7m_ROI";1;0,000106335312160827;-6,31688;-61,5623;43,7139;"L";"First";1,0087191642931;0,00777847505154112;1;2537,17983315376;17
"76";11468;"L_7m_ROI";2;0,00011696232880807;-6,30767;-60,4112;44,677;"L";"First";1,00871075810136;0,0387146023940468;1;2459,68153440666;156
"77";11481;"L_7m_ROI";1;0,000126442842594311;-6,94101;-68,0849;36,3905;"L";"First";1,00870714956527;-0,0391557211469358;0;2324,15957157845;71
"78";11482;"L_7m_ROI";1;0,000136262341986398;-6,75532;-67,0552;37,465;"L";"First";1,0086831364602;-0,0439822218255719;0;2345,1684392063;131
"79";11483;"L_7m_ROI";1;0,000147304045507871;-6,59554;-65,9969;38,5272;"L";"First";1,00865747794184;-0,0274530258795946;0;2458,13648468022;6
"80";11484;"L_7m_ROI";1;0,000159706886779989;-6,46353;-64,9132;39,576;"L";"First";1,00864241844763;-0,0113211454280231;0;2537,59384735037;5
"81";11485;"L_7m_ROI";1;0,000169782235506016;-6,36029;-63,8074;40,61;"L";"First";1,00863716224939;-0,00675908705013379;0;2497,85302054527;0
"82";11486;"L_7m_ROI";1;0,000181336897269003;-6,28606;-62,683;41,6276;"L";"First";1,00861793369223;0,00623667002239723;1;2464,21773929286;0
"83";11487;"L_7m_ROI";1;0,000192892237205053;-6,24042;-61,5435;42,6271;"L";"First";1,0086159481417;0,00697683677015064;1;2534,97438328787;2
"84";11488;"L_7m_ROI";1;0,000207207258060547;-6,22255;-60,3923;43,6066;"L";"First";1,00860833784503;0,00809272784478222;1;2535,75486111568;10
"85";11500;"L_7m_ROI";1;0,000218184207781541;-6,91438;-67,9756;35,204;"L";"First";1,00860556654802;-0,0315901813362836;0;2309,39469606475;83
