"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"TimeBin";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"1";10101;"L_7m_ROI";2;-0,000436487839277291;-5,50805;-60,904;30,594;"L";"First";1,01090286862515;-0,0324892779521089;0;2471,38031146284;34
"2";10102;"L_7m_ROI";2;-0,000429947004038101;-5,753;-62,2126;30,5207;"L";"First";1,01061183463395;-0,0181900054440176;0;2447,36922848551;10
"3";10103;"L_7m_ROI";2;-0,000424798909833096;-6,00486;-63,495;30,4708;"L";"First";1,01023161354019;-0,0171761522141208;0;2436,78494745193;12
"4";10104;"L_7m_ROI";2;-0,000419940956817383;-6,26322;-64,7496;30,4452;"L";"First";1,0101095105381;-0,0177097639155174;0;2408,74313452426;2
"5";10105;"L_7m_ROI";1;-0,000415102710939243;-6,52723;-65,9755;30,4437;"L";"First";1,01006234566264;-0,00253889734545765;0;2543,49034970101;0
"6";10106;"L_7m_ROI";1;-0,000410391001444618;-6,79558;-67,172;30,4658;"L";"First";1,01001070344423;0,0345248675830498;1;2624,84801706781;0
"7";11205;"L_7m_ROI";1;-0,000405708892761192;-8,03953;-68,7946;48,0335;"L";"First";1,01000308176483;0,0371455317199045;1;2454,9019462516;116
"8";11235;"L_7m_ROI";1;-0,000400268903651885;-7,86782;-68,9185;46,9301;"L";"First";1,00994358060817;0,0409111653052828;1;2454,39250047141;44
"9";11264;"L_7m_ROI";1;-0,000394283669750571;-7,72029;-69,0267;45,8138;"L";"First";1,00989810594751;0,0394593437525712;1;2494,1110882355;27
"10";11265;"L_7m_ROI";1;-0,000389718039790528;-7,58205;-67,9177;46,7704;"L";"First";1,00984948376304;0,0485444928690931;1;2537,48801747833;76
"11";11266;"L_7m_ROI";1;-0,000385008817930091;-7,47071;-66,8001;47,7119;"L";"First";1,00982049339091;0,0512434447804017;1;2534,12818464721;10
"12";11267;"L_7m_ROI";1;-0,000379916097811582;-7,38782;-65,6766;48,6385;"L";"First";1,00979296826361;0,0505640813278419;1;2550,42474259953;185
"13";11292;"L_7m_ROI";1;-0,000372315415405859;-7,59514;-69,1183;44,6853;"L";"First";1,00977705552451;0,0328289943341149;1;2475,97243897077;22
"14";11293;"L_7m_ROI";1;-0,000364969960012373;-7,4478;-68,0153;45,6553;"L";"First";1,00975314868364;0,0456267283745309;1;2510,938995794;25
"15";11294;"L_7m_ROI";1;-0,000357917704946162;-7,32701;-66,9013;46,6104;"L";"First";1,00971959976335;0,0515971125020828;1;2508,17452866073;125
"16";11295;"L_7m_ROI";1;-0,000350397438337694;-7,23455;-65,7793;47,5507;"L";"First";1,00970690550415;0,0530685077062044;1;2538,91147448854;63
"17";11296;"L_7m_ROI";1;-0,000342601272909004;-7,17135;-64,6523;48,476;"L";"First";1,00966939816436;0,0423140264853567;1;2513,34413530586;68
"18";11297;"L_7m_ROI";1;-0,000331930426696856;-7,1376;-63,5229;49,3857;"L";"First";1,00965254616517;0,0326064462467623;1;2466,12482412212;8
"19";11298;"L_7m_ROI";1;-0,000323221701789347;-7,13284;-62,3934;50,2792;"L";"First";1,0096349490467;0,0133937130019163;1;2411,71944285477;7
"20";11319;"L_7m_ROI";1;-0,000313929507628561;-7,49046;-69,1922;43,5451;"L";"First";1,00961483663837;0,0260708338292317;1;2393,9030105418;32
"21";11320;"L_7m_ROI";1;-0,000303701053110096;-7,33438;-68,0967;44,529;"L";"First";1,00960252636169;0,0354295655316863;1;2436,62474101924;29
"22";11321;"L_7m_ROI";1;-0,000291595828028951;-7,20444;-66,9877;45,4982;"L";"First";1,00956621127178;0,0466161038714871;1;2448,08822793337;168
"23";11322;"L_7m_ROI";1;-0,000278526070718291;-7,10263;-65,8683;46,4526;"L";"First";1,0095342717629;0,0521552060367646;1;2503,51430288206;41
"24";11323;"L_7m_ROI";1;-0,000265986885813185;-7,03009;-64,7418;47,3921;"L";"First";1,00952076932946;0,0341698967518299;1;2472,56630162035;6
