"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"36";11371;"L_7m_ROI";3;-0,000232777729137979;-7,16173;-68,2058;42,2451;"L";1,01976110946295;-0,0361468659451833;0;1962,90054921321;159
"37";11372;"L_7m_ROI";3;-0,000223610987814033;-7,01442;-67,111;43,2437;"L";1,01973381619832;-0,0348367597376154;0;2237,45750256949;161
"38";11373;"L_7m_ROI";3;-0,000214120701245721;-6,8947;-66,0009;44,2278;"L";1,01971256215477;-0,0514913683283395;0;2140,21396184358;369
"39";11374;"L_7m_ROI";3;-0,000204659683523526;-6,804;-64,8789;45,197;"L";1,01967885907014;-0,0276791788403784;0;2198,48239447773;216
"40";11375;"L_7m_ROI";3;-0,000195060966280837;-6,74297;-63,7483;46,1506;"L";1,01963473298971;-0,0312838687075688;0;2118,01002221006;26
"41";11376;"L_7m_ROI";3;-0,000184872201137647;-6,71157;-62,612;47,0878;"L";1,01960255145242;-0,023992355332479;0;2172,94152989672;41
"42";11377;"L_7m_ROI";3;-0,000173195276155433;-6,70921;-61,4729;48,0073;"L";1,01953834620035;-0,0302077733872653;0;2098,71519069306;25
"43";11394;"L_7m_ROI";3;-0,000160871879454424;-7,27841;-69,2946;40,0613;"L";1,01952420009945;-0,000750349225339749;0;2063,66275685;497
"44";11395;"L_7m_ROI";3;-0,000150091582113258;-7,09812;-68,2306;41,0889;"L";1,01942683603781;-0,0271095125504297;0;1999,76279568985;75
"45";11396;"L_7m_ROI";3;-0,000139522467706105;-6,9426;-67,1452;42,1026;"L";1,01941679904054;-0,0418555286740691;0;2025,00779425924;191
"46";11397;"L_7m_ROI";3;-0,00012716475280375;-6,81433;-66,042;43,1021;"L";1,01936793639898;-0,0512392447062553;0;2015,57192879579;229
"47";11398;"L_7m_ROI";3;-0,000115746418836842;-6,71487;-64,9242;44,0867;"L";1,01935278160312;-0,0432340510100858;0;2077,97031110869;515
"48";11399;"L_7m_ROI";3;-0,000104153155306875;-6,64498;-63,7954;45,0559;"L";1,01930962807122;-0,0371323066376152;0;2100,52954383456;93
"49";11400;"L_7m_ROI";3;-9,244416319332e-05;-6,60473;-62,6588;46,0084;"L";1,01929937277915;-0,0267320188544052;0;2166,13199107581;39
"50";11401;"L_7m_ROI";3;-8,05773582197121e-05;-6,5936;-61,5173;46,9432;"L";1,01923925860598;-0,0217855365003806;0;2256,93033803966;6
"51";11402;"L_7m_ROI";3;-6,85147388161902e-05;-6,61062;-60,3736;47,8589;"L";1,01920620603755;-0,0216048237294273;0;2203,50222817436;20
"52";11418;"L_7m_ROI";3;-5,61724076967049e-05;-7,0466;-68,233;39,9243;"L";1,01920076614929;-0,0141220534296119;0;2188,17761473765;59
"53";11419;"L_7m_ROI";3;-4,36163512795516e-05;-6,88316;-67,1588;40,9532;"L";1,01915053067894;-0,0171871149101046;0;2195,56513204219;77
"54";11420;"L_7m_ROI";3;-3,07245918843045e-05;-6,74661;-66,064;41,9683;"L";1,01909971676191;-0,0427464554752474;0;2187,18289294594;266
"55";11421;"L_7m_ROI";3;-1,77178214317756e-05;-6,63863;-64,9521;42,9688;"L";1,01907031974106;-0,036612221752937;0;2257,63744934588;966
"56";11422;"L_7m_ROI";3;-4,67938942920031e-06;-6,56008;-63,8265;43,9538;"L";1,01898527408068;-0,0397604014194814;0;2162,0536480969;42
"57";11423;"L_7m_ROI";3;8,66295859235324e-06;-6,51107;-62,6907;44,9222;"L";1,01895809937402;-0,0271256183038501;0;2340,02010760704;31
"58";11424;"L_7m_ROI";3;2,26651065561487e-05;-6,49118;-61,5478;45,8726;"L";1,01891809059232;-0,0289355878788615;0;2284,51821946333;6
"59";11425;"L_7m_ROI";3;3,65828642079428e-05;-6,49949;-60,4007;46,8037;"L";1,01888261885907;-0,037329538901685;0;2068,45072526693;2
"60";11440;"L_7m_ROI";3;4,98856829827295e-05;-7,00482;-68,2111;38,7522;"L";1,01887317610003;-0,00434487231968279;0;2093,30107426917;94
"61";11441;"L_7m_ROI";3;6,32691891563732e-05;-6,83372;-67,1499;39,7965;"L";1,01882959355505;-0,0189735552518441;0;2081,66666178828;91
"62";11442;"L_7m_ROI";3;7,62745347937081e-05;-6,68917;-66,0653;40,8273;"L";1,01880223959076;-0,0471643390702656;0;2239,77971805585;186
"63";11443;"L_7m_ROI";3;9,02289852480041e-05;-6,57293;-64,9609;41,8438;"L";1,01875634392058;-0,0391883526189007;0;2321,21360146171;386
"64";11444;"L_7m_ROI";3;0,00010442200708257;-6,48591;-63,8401;42,845;"L";1,01870909722263;-0,0300357449042624;0;2310,67720897764;220
"65";11445;"L_7m_ROI";3;0,000118347932296694;-6,4283;-62,7064;43,8295;"L";1,01869484234305;-0,0467118307605166;0;2200,07816780425;4
"66";11446;"L_7m_ROI";3;0,000133787073394097;-6,39969;-61,5632;44,796;"L";1,01863060391308;-0,0391843113791985;0;2291,61753819226;24
"67";11447;"L_7m_ROI";3;0,0001486970914812;-6,39924;-60,4135;45,7429;"L";1,01862808649224;-0,0355615903995332;0;2119,04256823656;32
"68";11448;"L_7m_ROI";3;0,000164207244644639;-6,42575;-59,2602;46,6686;"L";1,01860423072805;-0,0281551465841781;0;2022,73741760305;6
"69";11461;"L_7m_ROI";3;0,000180223298555263;-6,9704;-68,1625;37,5738;"L";1,01855191111517;-0,000945133878321093;0;2024,4039930282;501
"70";11462;"L_7m_ROI";3;0,000196722063387886;-6,7919;-67,1161;38,6333;"L";1,01849692712751;-0,0112272511369836;0;1984,73769016952;290
"71";11463;"L_7m_ROI";3;0,000213584366110024;-6,63962;-66,0437;39,6799;"L";1,01846335360708;-0,0440662579996255;0;2150,1987977398;59
"72";11464;"L_7m_ROI";3;0,000230384642410136;-6,51536;-64,9486;40,7125;"L";1,01843908283375;-0,0417025333057618;0;2068,22686596083;129
"73";11465;"L_7m_ROI";3;0,000247446409153774;-6,42012;-63,8343;41,7301;"L";1,01842478989913;-0,042713123655654;0;2086,51674882981;22
"74";11466;"L_7m_ROI";3;0,000265284725741992;-6,35409;-62,7044;42,7311;"L";1,01840373094944;-0,0504721804368614;0;2162,17701761051;203
"75";11467;"L_7m_ROI";3;0,000283770356006213;-6,31688;-61,5623;43,7139;"L";1,01835677355975;-0,0479357799702469;0;2200,57988405588;114
"76";11468;"L_7m_ROI";3;0,00030331523039117;-6,30767;-60,4112;44,677;"L";1,01833600219466;-0,0430599296068158;0;2018,71749685332;57
"77";11481;"L_7m_ROI";3;0,00032358220344126;-6,94101;-68,0849;36,3905;"L";1,01831714426751;-0,00288584506441166;0;2084,50902248593;116
"78";11482;"L_7m_ROI";3;0,000342152334144461;-6,75532;-67,0552;37,465;"L";1,01826017498673;0,000141827284556152;1;1969,27598562717;147
"79";11483;"L_7m_ROI";3;0,000361003644451673;-6,59554;-65,9969;38,5272;"L";1,01823379730161;-0,0354102605556606;0;2098,96414669628;42
"80";11484;"L_7m_ROI";3;0,00037988332756941;-6,46353;-64,9132;39,576;"L";1,01817637492539;-0,0398541969969222;0;2284,31007779323;63
"81";11485;"L_7m_ROI";3;0,000398970989125193;-6,36029;-63,8074;40,61;"L";1,01815433533067;-0,0383179643622082;0;2252,08120894722;13
"82";11486;"L_7m_ROI";3;0,000418382541401423;-6,28606;-62,683;41,6276;"L";1,01814754802599;-0,0337764322782402;0;2308,76697530201;106
"83";11487;"L_7m_ROI";3;0,000438318593603741;-6,24042;-61,5435;42,6271;"L";1,01809371477155;-0,0358958443191243;0;2339,10857269381;540
"84";11488;"L_7m_ROI";3;0,000458327201112586;-6,22255;-60,3923;43,6066;"L";1,01807418798725;-0,0297695913033645;0;2273,65858883883;337
"85";11500;"L_7m_ROI";3;0,000478479172320804;-6,91438;-67,9756;35,204;"L";1,0180643724741;0,0024709362453922;1;2183,28008359867;375
"86";11501;"L_7m_ROI";3;0,000498688767578073;-6,72167;-66,9647;36,2929;"L";1,0180305874053;-0,00702261646943212;0;2094,96921476613;36
"87";11502;"L_7m_ROI";3;0,000519105508465573;-6,55461;-65,9226;37,3705;"L";1,01801551508158;-0,0234902115036228;0;2078,93290871125;18
"88";11503;"L_7m_ROI";3;0,000539678167181057;-6,41508;-64,8523;38,4352;"L";1,01799615219496;-0,0384349897550916;0;2345,99739187488;21
"89";11504;"L_7m_ROI";3;0,000561004847547452;-6,30411;-63,7571;39,4856;"L";1,0179642403412;-0,0429867226773148;0;2326,80714143376;42
"90";11505;"L_7m_ROI";3;0,000581865907649807;-6,22189;-62,6402;40,52;"L";1,01793955518694;-0,0448229809727323;0;2309,51676504064;29
"91";11506;"L_7m_ROI";3;0,000602687915746948;-6,16803;-61,5052;41,5363;"L";1,01786783783019;-0,0390635616544544;0;2350,83698318819;68
"92";11518;"L_7m_ROI";3;0,000623286862235135;-6,88839;-67,8322;34,016;"L";1,01784649362194;0,00307415908150884;1;2060,45317569437;225
"93";11519;"L_7m_ROI";3;0,000644943187637095;-6,68877;-66,8419;35,1188;"L";1,01782452387046;-0,0125834549949319;0;2087,28896813377;15
"94";11520;"L_7m_ROI";3;0,000666461316944134;-6,5146;-65,8181;36,2112;"L";1,01780062248835;-0,0210992859044593;0;2022,15644794099;31
"95";11521;"L_7m_ROI";3;0,000687333500074958;-6,36776;-64,7636;37,2916;"L";1,01776967820161;-0,0399712052469859;0;2316,73336706169;7
"96";11522;"L_7m_ROI";3;0,000708530583174464;-6,24927;-63,6812;38,3582;"L";1,01776367927066;-0,0545335234005708;0;2301,70836841704;35
"97";11523;"L_7m_ROI";3;0,000729985808590038;-6,15933;-62,5741;39,4092;"L";1,01773880973016;-0,0525457877129202;0;2251,45941718151;81
"98";11534;"L_7m_ROI";3;0,000751278766034607;-7,09003;-68,5831;31,7047;"L";1,01768392758364;-0,0116932064924659;0;2100,24681045764;11
"99";11535;"L_7m_ROI";3;0,000772688732342936;-6,86107;-67,6521;32,8287;"L";1,01766877456666;-0,00713821248072869;0;1910,9669253201;35
"100";11536;"L_7m_ROI";3;0,000794318810881163;-6,65459;-66,6842;33,9445;"L";1,01762779731109;-0,00997225197708288;0;2090,09687805078;183
"101";11537;"L_7m_ROI";3;0,000816358521611874;-6,47341;-65,6809;35,051;"L";1,0176204824146;-0,0189204997186252;0;1993,22224985054;98
"102";11538;"L_7m_ROI";3;0,00083829137343824;-6,31945;-64,6444;36,1465;"L";1,01760364316879;-0,0337565364283557;0;2198,06799788129;14
"103";11539;"L_7m_ROI";3;0,000860188248964091;-6,19368;-63,5773;37,229;"L";1,01756127501046;-0,05094439736597;0;2309,52375173592;34
"104";11540;"L_7m_ROI";3;0,00088238057090446;-6,09625;-62,4824;38,2964;"L";1,01754809116272;-0,0474459843511901;0;2367,79152148273;113
"105";11551;"L_7m_ROI";3;0,000904574555898355;-6,83064;-67,4328;31,6444;"L";1,01750669864931;0,00311131225542809;1;2146,01652633493;43
"106";11552;"L_7m_ROI";3;0,000926070365011935;-6,61728;-66,4889;32,7723;"L";1,01749837628632;-0,00961235363610637;0;2168,46769739655;98
"107";11553;"L_7m_ROI";3;0,00094756534468087;-6,42919;-65,5081;33,892;"L";1,01747050524913;-0,0146697828868464;0;2016,09097414917;338
"108";11554;"L_7m_ROI";3;0,000968780673651437;-6,26824;-64,4921;35,0018;"L";1,01745573800389;-0,0174684496014345;0;1905,62750253855;76
"109";11555;"L_7m_ROI";3;0,00098993885658231;-6,13537;-63,4428;36,0996;"L";1,01743745238157;-0,0426117318546938;0;2265,92003254352;30
"110";11556;"L_7m_ROI";3;0,0010118339312872;-6,03071;-62,3628;37,183;"L";1,01740581909395;-0,0608318495105528;0;2230,98178323975;35
"111";11567;"L_7m_ROI";3;0,00103392512287981;-6,57527;-66,2535;31,6044;"L";1,01735164418661;-0,0130269063792159;0;2091,59751756407;109
"112";11568;"L_7m_ROI";3;0,00105581945408995;-6,38029;-65,2971;32,7363;"L";1,01733281583098;-0,0212516422637103;0;2026,03296764292;1231
"113";11569;"L_7m_ROI";3;0,00107781059773847;-6,21245;-64,3038;33,8595;"L";1,01727508968719;-0,0188177788721915;0;1849,13674804269;165
"114";11570;"L_7m_ROI";3;0,00109954707653985;-6,07266;-63,275;34,9717;"L";1,01725206687695;-0,0201708381263013;0;2269,25481499101;63
"115";11571;"L_7m_ROI";3;0,00112143791532663;-5,96097;-62,2128;36,0705;"L";1,01724103620654;-0,0562821840050947;0;2232,52218338268;17
"116";11582;"L_7m_ROI";3;0,00114355136805436;-6,32533;-65,0452;31,5864;"L";1,01722103629296;-0,0149634526366893;0;1990,85730455612;518
"117";11583;"L_7m_ROI";3;0,00116558801623585;-6,15066;-64,0767;32,7218;"L";1,01719155366336;-0,00441738671623621;0;2112,92686698001;816
"118";11584;"L_7m_ROI";3;0,0011876352395431;-6,00408;-63,0711;33,8474;"L";1,01713174762683;-0,0164909708166918;0;1931,5850309394;150
"119";11596;"L_7m_ROI";3;0,00120969764930477;-6,08175;-63,8081;31,5912;"L";1,01711342754513;-0,00787092760871625;0;1980,83659647392;486
"120";11597;"L_7m_ROI";3;0,0012316220115419;-5,92847;-62,8281;32,729;"L";1,01709674060486;0,00135902241965251;1;2148,86725936281;345
"121";11609;"L_7m_ROI";3;0,0012534297553792;-5,84498;-62,543;31,6191;"L";1,01707401168014;-0,0154755731850678;0;1906,83810158417;182
"122";11610;"L_7m_ROI";3;0,00127502060973233;-5,71335;-61,5521;32,7577;"L";1,01705244186847;-0,028849208545817;0;2088,65068202962;37
"123";11621;"L_7m_ROI";3;0,00129641902760525;-5,61504;-61,2512;31,6694;"L";1,01700036931965;-0,0159886733752628;0;2199,93467525291;69
"124";24353;"L_7m_ROI";3;0,00131784560968545;-6,96433;-67,3442;26,9791;"L";1,01698156300082;-0,0452593794788443;0;2176,35216642501;27
"125";24354;"L_7m_ROI";3;0,00133926871838434;-7,00473;-67,7209;28,1439;"L";1,01694324208613;-0,0453233517087464;0;2170,15553263034;6
"126";24367;"L_7m_ROI";3;0,00136122884513067;-6,58713;-65,6737;25,869;"L";1,01687571551212;-0,0295276723363662;0;2338,82885200087;46
"127";24368;"L_7m_ROI";3;0,0013826936200114;-6,65102;-66,1198;26,9939;"L";1,01685532051989;-0,0334349547103598;0;2244,49677480831;44
"128";24369;"L_7m_ROI";3;0,00140557817576595;-6,70666;-66,5172;28,1373;"L";1,01684086156868;-0,0367951274572942;0;2097,65249302115;88
"129";24370;"L_7m_ROI";3;0,00142700210761487;-6,75459;-66,8674;29,2957;"L";1,01682629751945;-0,016874499190798;0;2182,64428952071;107
"130";24381;"L_7m_ROI";3;0,00144860303218161;-6,25749;-64,3946;25,936;"L";1,01679037084792;-0,0266498676908052;0;2161,10030178046;50
"131";24382;"L_7m_ROI";3;0,00147064850631587;-6,33763;-64,8638;27,0357;"L";1,01677183911544;-0,031426595517869;0;2086,60617221244;100
"132";24383;"L_7m_ROI";3;0,00149238441372157;-6,40907;-65,2826;28,156;"L";1,016738910872;-0,0179057856481755;0;2128,13576008988;679
"133";24384;"L_7m_ROI";3;0,0015140204669074;-6,47209;-65,6526;29,2932;"L";1,01672553639318;-0,0199632066387994;0;2155,16989365655;1202
"134";24395;"L_7m_ROI";3;0,00153567894309054;-6,02715;-63,5772;27,1057;"L";1,01671299866797;-0,0433292998014801;0;2111,54260250836;0
"135";24396;"L_7m_ROI";3;0,00155830328768241;-6,11454;-64,0179;28,2013;"L";1,01667397625443;-0,0234263540071351;0;2197,09823265781;76
"136";24397;"L_7m_ROI";3;0,0015799594927705;-6,19313;-64,408;29,3156;"L";1,01664085248731;-0,0177219039514229;0;2141,11373735537;530
"137";24408;"L_7m_ROI";3;0,00160151364097558;-5,82517;-62,724;28,2735;"L";1,01661982364561;-0,0299914794005331;0;2146,5236782799;7
