"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary"
"1";56;"L_V1_ROI";3;-0,000139554955236988;-11,9477;-64,0341;-4,15323;"L";1,00530244249971;-0,00267609408308739;0
"2";57;"L_V1_ROI";3;-0,000138689739531776;-12,0708;-64,0617;-4,92879;"L";1,00504478296667;0,00211824470457227;1
"3";58;"L_V1_ROI";3;-0,00013805165869163;-12,1863;-64,0593;-5,70137;"L";1,00499604559866;0,00129561131830372;1
"4";59;"L_V1_ROI";3;-0,000137335394147815;-12,3044;-64,0313;-6,47309;"L";1,00495727639987;-0,00252180309655609;0
"5";60;"L_V1_ROI";3;-0,000136101373775106;-12,4357;-63,9827;-7,24553;"L";1,00494410712383;-0,00430319378196187;0
"6";61;"L_V1_ROI";3;-0,000134910530946551;-12,5908;-63,9186;-8,01942;"L";1,00494081277751;-0,00622515722359696;0
"7";62;"L_V1_ROI";3;-0,000133575359051208;-12,7796;-63,8439;-8,79447;"L";1,00490973246547;-0,00655836462595785;0
"8";63;"L_V1_ROI";3;-0,000132151795204251;-13,0105;-63,7627;-9,56938;"L";1,00490713431684;-0,00649285038213427;0
"9";64;"L_V1_ROI";3;-0,000130543022346803;-13,2899;-63,6774;-10,342;"L";1,00489210585808;-0,00272511382381063;0
"10";65;"L_V1_ROI";3;-0,000128744322587361;-13,6224;-63,5889;-11,1097;"L";1,00488184392647;-0,00236128799676062;0
"11";396;"L_V1_ROI";3;-0,000126899421701146;-12,0793;-62,669;-5,59241;"L";1,0048729948858;0,000526223846557913;1
"12";414;"L_V1_ROI";3;-0,000124841433311402;-12,2331;-62,6575;-6,37783;"L";1,00486441490573;-0,00326917114172442;0
"13";415;"L_V1_ROI";3;-0,000122910145203668;-12,3026;-61,2539;-7,04875;"L";1,00486094234175;-0,00505817216347127;0
"14";432;"L_V1_ROI";3;-0,00012087632473328;-12,3929;-62,6239;-7,16247;"L";1,00486013196488;-0,00374576034578421;0
"15";433;"L_V1_ROI";3;-0,000118617506048625;-12,5062;-61,2169;-7,84749;"L";1,00484982600693;-0,0027354575161952;0
"16";434;"L_V1_ROI";3;-0,000116152369691095;-12,6489;-59,8171;-8,52821;"L";1,00484303631219;-0,00325247845800604;0
"17";449;"L_V1_ROI";3;-0,000113533799076537;-12,5686;-62,5727;-7,94722;"L";1,00483512582017;-0,00389845726522067;0
"18";450;"L_V1_ROI";3;-0,000110479116465946;-12,7277;-61,1648;-8,6455;"L";1,00483283433276;-0,00185017827058707;0
