"";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"TimeBin";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"1";"R_V1_ROI";1;-0,00279700356441879;11,5491;-83,1736;1,39964;"R";"First";1,03865856994661;0,0740769499199831;1;424,418981475333;1
"2";"R_MST_ROI";1;-0,00273634771694218;54,083;-73,396;1,13441;"R";"First";1,03774762914604;0,0279820087790679;1;372,837676426229;31
"3";"R_V6_ROI";1;-0,00264642875080941;12,9289;-82,7572;32,4649;"R";"First";1,03677577224874;0,0771234177389342;1;407,665172983231;5
"4";"R_V2_ROI";1;-0,00253531535655548;12,8295;-81,137;-6,04955;"R";"First";1,03638811273441;0,0647971447374294;1;409,18175153145;1
"5";"R_V3_ROI";1;-0,00236897284403685;29,6284;-99,92;4,79977;"R";"First";1,03612568015077;0,0734236776982974;1;413,899402024269;11
"6";"R_V4_ROI";1;-0,00218721515642374;36,3954;-91,4078;-12,1262;"R";"First";1,03523208863551;0,0606630008791525;1;406,749525629429;2
"7";"R_V8_ROI";1;-0,00197473900509981;34,6923;-77,2024;-21,3038;"R";"First";1,03509074039412;0,0449162699966731;1;397,173540137632;0
"8";"R_4_ROI";1;-0,00171292887896749;34,7148;-16,1394;72,2143;"R";"First";1,03488020488731;0,014375614235584;1;346,725740250348;0
"9";"R_3b_ROI";3;-0,00146219437593528;47,0606;-19,8243;63,1735;"R";"First";1,03426796991478;-0,0217325360850796;0;353,977408466848;16
"10";"R_FEF_ROI";1;-0,00120208664880956;46,0974;5,31453;60,5101;"R";"First";1,0336176814321;0,0292553021023521;1;348,928924826735;2
"11";"R_PEF_ROI";1;-0,000908828227763531;54,9109;13,9545;41,9061;"R";"First";1,03347025654888;0,0566232625612326;1;388,933792102456;37
"12";"R_55b_ROI";1;-0,000603690615512707;52,4298;9,08805;51,0785;"R";"First";1,03322988482836;0,0375156244240031;1;371,785378324709;45
"13";"R_V3A_ROI";1;-0,000322703242326007;22,479;-94,5908;28,7691;"R";"First";1,03300019619964;0,0767816813392955;1;408,366877066527;0
"14";"R_RSC_ROI";3;-2,38052620382759e-05;2,21983;-40,1476;25,7868;"R";"First";1,03267307837606;-0,00396803308189644;0;319,516353572718;2
"15";"R_POS2_ROI";3;0,000297701373074241;10,999;-74,7364;41,2835;"R";"First";1,03228831178548;-0,00226692081960303;0;336,136947014084;286
"16";"R_V7_ROI";1;0,000625224864357082;25,4456;-90,4326;36,4716;"R";"First";1,03209629086875;0,0650031573165405;1;415,268588707616;2
"17";"R_IPS1_ROI";1;0,00096110798426279;26,989;-84,5792;44,4358;"R";"First";1,03195949936203;0,0694086754400125;1;415,728177783967;2
"18";"R_FFC_ROI";1;0,00129238808078472;43,6373;-59,4595;-26,8917;"R";"First";1,03176753699196;0,0123852790223204;1;332,550080176158;0
"19";"R_V3B_ROI";1;0,00163096070412013;31,5046;-92,5847;29,0869;"R";"First";1,03125155414731;0,0729511761616034;1;421,76368337921;0
"20";"R_LO1_ROI";1;0,00198328231443379;43,994;-90,5506;2,57524;"R";"First";1,03092402528801;0,0396760262258777;1;387,078988990144;5
"21";"R_LO2_ROI";1;0,0023570348643993;44,9571;-86,4624;-7,59191;"R";"First";1,03076309496778;0,0211003646921849;1;366,404423122772;72
"22";"R_PIT_ROI";1;0,00275461941416641;41,5996;-84,8171;-14,6547;"R";"First";1,03049732568182;0,00444798618747707;1;332,884881675469;12
"23";"R_MT_ROI";3;0,00316293841056086;51,2534;-79,687;3,98399;"R";"First";1,03018166146455;-0,0124167297711276;0;326,852954823336;24
"24";"R_A1_ROI";3;0,00356536211660783;55,2521;-18,6583;3,62105;"R";"First";1,02990330130597;-0,0123971729827688;0;330,327296985708;4
"25";"R_PSL_ROI";3;0,00396010922197812;65,6807;-38,6014;25,111;"R";"First";1,02953976266525;0,00369529252278147;1;362,814873190113;22
"26";"R_SFL_ROI";3;0,00436116424065149;11,0238;22,193;62,4761;"R";"First";1,02942680999597;-0,0134255540080241;0;346,585982594915;18
"27";"R_PCV_ROI";1;0,00475840283673065;7,75372;-54,8835;54,3246;"R";"First";1,02928094106725;0,0116394277991345;1;357,949947369902;66
"28";"R_STV_ROI";3;0,00516375106521816;64,0803;-44,684;19,5865;"R";"First";1,02901437649731;-0,0550065213154903;0;346,947653903715;53
"29";"R_7Pm_ROI";3;0,00558277387662886;10,6503;-67,35;54,96;"R";"First";1,02876081067883;-0,01484030739357;0;320,006106529642;76
"30";"R_7m_ROI";3;0,00601452019710436;7,72306;-65,3151;40,6649;"R";"First";1,02860504431633;-0,0702665518742872;0;347,442287346883;96
"31";"R_POS1_ROI";3;0,00641759809638556;9,14058;-63,0612;15,0204;"R";"First";1,02829883609023;-0,0648505777804997;0;332,589359127737;33
"32";"R_23d_ROI";3;0,00682241916460698;2,65298;-24,2441;38,5114;"R";"First";1,02819851390751;-0,0370027892423177;0;325,318069501458;24
"33";"R_v23ab_ROI";3;0,00724256297618941;5,61358;-56,7698;22,358;"R";"First";1,02801287571363;-0,0818684202539132;0;348,525517813362;136
"34";"R_d23ab_ROI";3;0,00765566001351026;3,19493;-42,0742;33,1706;"R";"First";1,02787958908082;-0,0675884800262995;0;323,910275900453;8
"35";"R_31pv_ROI";3;0,00808478540184788;4,41187;-48,5085;35,1196;"R";"First";1,02765994217446;-0,0895813038726008;0;339,817484500302;133
"36";"R_5m_ROI";3;0,00850568598616318;8,76024;-35,3403;68,2431;"R";"First";1,02725390302647;-0,0295483251133367;0;347,204617542783;5
"37";"R_5mv_ROI";1;0,00892757221856405;8,22788;-39,1911;58,3342;"R";"First";1,02709794781569;0,057238565472897;1;395,535105643159;72
"38";"R_23c_ROI";1;0,00934493871587318;6,2486;-32,2964;48,2286;"R";"First";1,02667767567994;0,0780122762612785;1;404,967632027153;22
"39";"R_5L_ROI";3;0,00977328229867522;13,0886;-44,8421;72,2361;"R";"First";1,02648973793417;-0,0256476661704203;0;330,300546064443;0
"40";"R_24dd_ROI";3;0,0101866862883737;6,5378;-12,6916;57,9469;"R";"First";1,02643088850247;-0,0192216380708396;0;331,446881493248;1
"41";"R_24dv_ROI";3;0,0105973817737376;5,48169;2,11296;49,8577;"R";"First";1,02616580609793;-0,0062548551164287;0;347,521749666159;7
"42";"R_7AL_ROI";1;0,0110149953348591;20,4358;-51,6751;72,943;"R";"First";1,02591824045843;0,0447486322272076;1;386,522908057366;14
"43";"R_SCEF_ROI";1;0,0114368939685472;7,49361;9,70639;60,5539;"R";"First";1,0256836711393;0,0659797838706254;1;387,938053101143;1
"44";"R_6ma_ROI";1;0,0118282981453511;15,6085;10,2145;70,2812;"R";"First";1,02560603054585;0,0389707489494024;1;338,437443857935;16
"45";"R_7Am_ROI";1;0,0122108108867494;12,5135;-58,8446;64,6355;"R";"First";1,02552710601031;0,0729926286695422;1;396,942940872186;113
"46";"R_7PL_ROI";1;0,012594040066506;17,837;-71,7997;59,0052;"R";"First";1,02530807319785;0,0103685959965954;1;346,964641342034;12
"47";"R_7PC_ROI";1;0,0129626167680314;32,7263;-51,6105;69,193;"R";"First";1,02510308945155;0,0304391336797263;1;373,770398336629;1
"48";"R_LIPv_ROI";1;0,0133360530425768;31,6252;-64,1274;62,6232;"R";"First";1,02486300680899;0,0189547456228223;1;349,320326656541;5
"49";"R_VIP_ROI";1;0,0136924785078482;22,2529;-63,6514;66,5773;"R";"First";1,02440885290874;0,060118182126628;1;409,148688255748;1
"50";"R_MIP_ROI";1;0,0140067820154815;27,4885;-75,9801;54,2949;"R";"First";1,0242878102183;0,0305314203537986;1;369,803374404296;4
"51";"R_1_ROI";1;0,0143299557065238;46,5537;-27,1185;65,2762;"R";"First";1,02409305856209;0,0160032185249977;1;368,2408361593;2
"52";"R_2_ROI";1;0,0146539862753863;42,7766;-36,5621;65,4743;"R";"First";1,02399069867621;0,0268379906114787;1;357,031626099821;2
"53";"R_3a_ROI";1;0,0149573358741001;45,1661;-16,8134;63,847;"R";"First";1,02371593022645;0,0187356875612331;1;348,454806382276;2
"54";"R_6d_ROI";2;0,0152590865805838;35,0095;-7,72449;71,1996;"R";"First";1,02348925641918;-0,00600796081164488;0;321,733847457818;1
"55";"R_6mp_ROI";1;0,0155503281829044;15,4173;-9,74476;74,6888;"R";"First";1,02340393299271;0,0108595658790012;1;348,39015832642;18
"56";"R_6v_ROI";1;0,0158363382158904;61,2375;8,91548;30,2606;"R";"First";1,02303777225058;0,074792356265111;1;400,193723652408;9
"57";"R_p24pr_ROI";1;0,0161166964260973;2,9735;-0,140771;40,181;"R";"First";1,02295584420761;0,056181483270397;1;375,898675138996;1
"58";"R_33pr_ROI";3;0,0163815880424068;2,10513;12,5786;30,8917;"R";"First";1,02280766479835;-0,00763459554782745;0;303,681664220157;0
"59";"R_a24pr_ROI";1;0,0166565318451059;3,53;19,6974;32,8651;"R";"First";1,02274689887543;0,0671346752827236;1;386,9845842881;1
"60";"R_p32pr_ROI";1;0,0169041664644811;5,61277;20,9864;42,917;"R";"First";1,02264306830911;0,0616001107268258;1;365,477447381045;15
"61";"R_a24_ROI";3;0,0171580688760406;5,34475;39,628;-0,222395;"R";"First";1,02221003064168;-0,0117409732385408;0;315,404329634626;0
"62";"R_d32_ROI";3;0,0173966751911316;7,59332;45,6063;27,1128;"R";"First";1,0221049040865;-0,0096274238905359;0;303,645907001749;68
"63";"R_8BM_ROI";3;0,0176402003853576;7,94204;33,6575;48,3305;"R";"First";1,02186355255108;-0,0403581697713053;0;299,640338915059;55
"64";"R_p32_ROI";3;0,017886198891423;8,20707;49,7414;-0,977086;"R";"First";1,0217572077015;-0,0158789777533812;0;313,550711312106;2
