"";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"44";"R_6ma_ROI";3;0,00971520000405739;15,6085;10,2145;70,2812;"R";1,03099799156411;0,0530975223543867;1;344,559087601086;129
"45";"R_7Am_ROI";3;0,0100530176763832;12,5135;-58,8446;64,6355;"R";1,03068272112848;0,0472656244564925;1;348,075178629349;27
"46";"R_7PL_ROI";3;0,010388154482035;17,837;-71,7997;59,0052;"R";1,03025441989124;0,0548308144173393;1;371,543992795473;1
"47";"R_7PC_ROI";3;0,0107212832856769;32,7263;-51,6105;69,193;"R";1,03020313941089;0,0607091628834274;1;322,060377793196;17
"48";"R_LIPv_ROI";3;0,0110374914130509;31,6252;-64,1274;62,6232;"R";1,03007915931624;0,0845288332017614;1;375,000811539082;13
"49";"R_VIP_ROI";3;0,011359529278745;22,2529;-63,6514;66,5773;"R";1,02996754235256;0,0632056952279064;1;359,649210126731;11
"50";"R_MIP_ROI";3;0,0116804406843647;27,4885;-75,9801;54,2949;"R";1,02945601983525;0,0472145703409404;1;343,911122564498;2
"51";"R_1_ROI";3;0,0119981068768364;46,5537;-27,1185;65,2762;"R";1,0293460901845;0,0508783120877487;1;373,952871984007;5
"52";"R_2_ROI";3;0,0123252700529932;42,7766;-36,5621;65,4743;"R";1,02889484291315;0,0450214050229791;1;342,073539883719;2
"53";"R_3a_ROI";3;0,0126629952825688;45,1661;-16,8134;63,847;"R";1,0288223066283;0,038073073311847;1;349,882237688569;3
"54";"R_6d_ROI";3;0,0129895460625889;35,0095;-7,72449;71,1996;"R";1,02851645285339;0,0282110604888616;1;338,335194264623;4
"55";"R_6mp_ROI";3;0,0133343183558224;15,4173;-9,74476;74,6888;"R";1,02830866143436;0,0470404567538398;1;323,548701274492;5
"56";"R_6v_ROI";3;0,0136695414220722;61,2375;8,91548;30,2606;"R";1,02789615016391;0,0666487202940478;1;365,790475313331;10
"57";"R_p24pr_ROI";1;0,0140026280116606;2,9735;-0,140771;40,181;"R";1,02778971460689;0,00252676218975308;1;232,433290490538;0
"58";"R_33pr_ROI";2;0,0143368327842529;2,10513;12,5786;30,8917;"R";1,02752892851821;-0,00895117206447114;0;285,657379912426;2
"59";"R_a24pr_ROI";3;0,0146760574810608;3,53;19,6974;32,8651;"R";1,02735987727576;0,0149790421744034;1;291,122183689455;0
"60";"R_p32pr_ROI";3;0,0150159414574852;5,61277;20,9864;42,917;"R";1,02719164258021;0,0471231584256576;1;340,138588417858;245
"61";"R_a24_ROI";2;0,0153653402052615;5,34475;39,628;-0,222395;"R";1,02674175103307;-0,0402976138187072;0;282,250128501476;15
"62";"R_d32_ROI";2;0,0157185105716598;7,59332;45,6063;27,1128;"R";1,02655799491496;-0,0195310070744804;0;278,304993601328;275
"63";"R_8BM_ROI";2;0,0160661040198047;7,94204;33,6575;48,3305;"R";1,02634325186852;-0,0175517903550587;0;302,759895576677;59
"64";"R_p32_ROI";2;0,0164186480570592;8,20707;49,7414;-0,977086;"R";1,02603748309587;-0,0263568874199839;0;286,833656888823;20
"65";"R_10r_ROI";2;0,0167664210785522;9,35946;50,2808;-9,21838;"R";1,02559251150092;-0,0803349173542535;0;325,182243868379;26
"66";"R_47m_ROI";2;0,0171139174904259;33,6067;44,3736;-21,896;"R";1,02545151821365;-0,0423793297639938;0;317,893143315718;16
"67";"R_8Av_ROI";2;0,0174652919873523;41,6207;30,3134;52,7984;"R";1,02504866149474;-0,0921436076684057;0;356,977294174678;750
"68";"R_8Ad_ROI";2;0,0178082820100435;24,8163;41,2619;52,4932;"R";1,02491399566844;-0,0969911332153803;0;360,662132090343;95
"69";"R_9m_ROI";2;0,018143772218301;9,77772;55,5384;19,4907;"R";1,02478160285736;-0,092738513560182;0;338,153527925997;443
"70";"R_8BL_ROI";2;0,0184766916354155;13,1297;42,8029;49,899;"R";1,02441242191995;-0,0790846744687576;0;345,222078132002;27
"71";"R_9p_ROI";2;0,0187982653256257;19,3273;56,7856;36,8587;"R";1,02418296837372;-0,0708074045883881;0;344,879518431363;26
"72";"R_10d_ROI";2;0,0191225370463596;14,5949;63,9099;6,3469;"R";1,02413489541647;-0,0839201430630565;0;335,288460450987;60
"73";"R_8C_ROI";2;0,0194594276878226;47,0638;33,202;41,5634;"R";1,02375151628431;-0,0488486346776949;0;329,064810528695;203
"74";"R_44_ROI";2;0,0197818130631194;55,5926;30,7987;8,21848;"R";1,02357647566819;0,0071911934072205;1;302,84818452968;89
"75";"R_45_ROI";2;0,0201049392491222;51,8548;41,8814;1,28693;"R";1,02349847361731;-0,0446289010488276;0;298,919645808684;13
"76";"R_47l_ROI";2;0,0204271680906624;43,7371;47,658;-13,7434;"R";1,02332275302219;-0,0519038696916919;0;319,601003242735;39
"77";"R_a47r_ROI";2;0,0207440279901511;37,864;59,5346;-10,576;"R";1,02278544280965;-0,025277582669736;0;315,31787191768;12
"78";"R_6r_ROI";3;0,0210431760414267;59,5259;18,4077;17,3005;"R";1,02272462529433;0,045413997355119;1;349,774931114326;1343
"79";"R_IFJa_ROI";2;0,0213520866111164;53,4912;31,0643;25,0642;"R";1,02253753037884;-0,00851257084536614;0;301,301648105352;9
"80";"R_IFJp_ROI";2;0,0216642513329844;53,9779;22,2877;33,5081;"R";1,02220621163579;-0,00399592022403159;0;287,898424195631;13
"81";"R_IFSp_ROI";2;0,021995761720585;52,4454;40,7271;18,2284;"R";1,02205933637198;-0,0099501753902827;0;290,7933337636;35
"82";"R_IFSa_ROI";3;0,0223096555685439;49,675;50,6786;5,20129;"R";1,02186752038376;0,0388935384513079;1;350,403862804803;102
"83";"R_p9-46v_ROI";2;0,022621368647676;46,0452;48,3089;27,0877;"R";1,02175551425772;-0,0503410020067304;0;332,706813905006;62
"84";"R_46_ROI";2;0,022907669257794;37,0494;53,7846;33,3392;"R";1,02158402740604;-0,0013644031722236;0;317,203690983651;223
"85";"R_a9-46v_ROI";2;0,0231965380739918;40,9927;61,2528;7,54336;"R";1,02134844966592;0,00996123015433896;1;319,709522258396;73
"86";"R_9-46d_ROI";2;0,0234935857535742;29,74;63,0865;23,0988;"R";1,02111220220825;0,0096779234937272;1;315,313354621468;227
"87";"R_9a_ROI";2;0,0237858994977523;18,4624;64,3698;21,3977;"R";1,02104901732879;-0,0843052443477149;0;330,224596457175;17
"88";"R_10v_ROI";2;0,0240728766779698;11,147;50,6572;-14,2929;"R";1,02082486921385;-0,0911089244467002;0;361,332727355376;162
"89";"R_a10p_ROI";2;0,0243507132451035;26,0191;64,4888;-8,02278;"R";1,0206772997586;-0,0703294143846443;0;310,593469878036;30
"90";"R_10pp_ROI";2;0,0246098498902511;18,1195;59,2093;-13,2955;"R";1,02059733641794;-0,0641891031597871;0;301,00963084687;1
"91";"R_11l_ROI";2;0,0248872540930631;27,5378;54,0826;-19,3212;"R";1,02039962041804;-0,00122255261498179;0;313,627275540194;100
"92";"R_13l_ROI";3;0,025173062417149;24,9429;37,8085;-25,883;"R";1,02019455155695;0,0113366276634309;1;305,830064059581;0
"93";"R_OFC_ROI";2;0,025461651879869;12,9634;36,6683;-23,587;"R";1,02000267032654;-0,0129437634834012;0;257,393310463718;0
"94";"R_47s_ROI";2;0,0257689828481333;33,0099;33,8833;-24,9105;"R";1,01978958258568;-0,0312078356182248;0;273,753037323674;1
"95";"R_LIPd_ROI";3;0,0260621825182686;38,3248;-64,1704;57,2959;"R";1,01963261004419;0,0265326093071948;1;343,052651104364;32
"96";"R_6a_ROI";3;0,0263587123995139;29,7331;8,5891;67,9602;"R";1,01921925598169;0,0450559503620056;1;363,00973194001;13
"97";"R_i6-8_ROI";2;0,0266438154902017;35,4586;22,4701;60,9687;"R";1,01907812840424;-0,0373427063528474;0;301,456587379453;66
"98";"R_s6-8_ROI";2;0,0269385613300148;18,7338;28,1582;62,8455;"R";1,01900995308016;-0,0312364980741972;0;323,880502098412;7
"99";"R_43_ROI";3;0,0272340010875863;61,924;5,67994;11,0477;"R";1,01866539836284;0,052526145344923;1;350,819815940543;9
"100";"R_OP4_ROI";3;0,0275398892554911;63,0578;-6,40771;14,6898;"R";1,01850377779561;0,0437462020791779;1;356,77513665826;1
"101";"R_OP1_ROI";3;0,0278476876053404;56,8963;-15,843;15,4816;"R";1,01823620734283;0,0451568054316985;1;362,323470928222;2
"102";"R_OP2-3_ROI";3;0,0281509553514303;51,3937;-8,28483;10,6981;"R";1,0181230952504;0,0339357981540776;1;328,333934029;4
"103";"R_52_ROI";3;0,0284570327896693;51,477;-7,76963;-3,25098;"R";1,0179293722623;0,0129647492437171;1;318,762054431934;2
"104";"R_RI_ROI";3;0,0287798895404949;57,2127;-26,756;14,884;"R";1,01767992994292;0,0431192449811242;1;344,656558643944;12
"105";"R_PFcm_ROI";3;0,0290824649878789;61,3094;-25,5357;21,6459;"R";1,01753606523099;0,0576717676619435;1;349,127565023144;31
"106";"R_PoI2_ROI";3;0,0293879057216777;46,4368;13,7221;-13,0385;"R";1,01721329747782;0,0127492618424267;1;282,217637331456;1
"107";"R_TA2_ROI";3;0,0297133917272851;55,4828;4,25641;-16,9808;"R";1,01712399682328;0,0239603510863496;1;301,507505522582;1
"108";"R_FOP4_ROI";3;0,0300318823850363;48,5447;25,7731;1,07973;"R";1,0169955948417;0,0413134540825472;1;353,903652549022;332
"109";"R_MI_ROI";3;0,0303538557647264;43,9819;22,6609;-11,7675;"R";1,01694999419821;0,0481035297251578;1;351,849098165523;10
"110";"R_Pir_ROI";1;0,030679825994969;33,9807;18,5583;-32,4409;"R";1,01663587715577;0,00819745878884112;1;208,92258569169;0
"111";"R_AVI_ROI";2;0,0309814319304094;40,9792;34,3531;-15,9696;"R";1,01650261698689;-0,0181634263598674;0;260,775316827949;7
"112";"R_AAIC_ROI";2;0,0312859128856742;36,4401;25,345;-26,3751;"R";1,016307524458;-0,00332866996204562;0;190,438493774855;0
"113";"R_FOP1_ROI";3;0,0316004004204819;55,5335;12,1726;5,71548;"R";1,01607679954924;0,0477508096179971;1;344,544520317148;12
"114";"R_FOP3_ROI";3;0,0319252624339342;46,4891;18,2405;-0,680978;"R";1,0159574124265;0,0495505544638374;1;342,194382756131;11
"115";"R_FOP2_ROI";3;0,0322567453113062;51,169;6,56433;5,70963;"R";1,01572593698032;0,0364069135401078;1;314,593326518274;2
"116";"R_PFt_ROI";3;0,0325968906257476;62,3717;-24,3981;44,39;"R";1,01542444622421;0,0515550831419849;1;352,179146560527;6
"117";"R_AIP_ROI";3;0,0329160991201774;45,8997;-45,6113;56,927;"R";1,01534579855425;0,0556066377789698;1;357,503889019008;13
"118";"R_EC_ROI";2;0,0331943577476929;31,593;-11,1874;-40,004;"R";1,01512793906393;-0,0521750559260908;0;318,109165006982;7
"119";"R_PreS_ROI";2;0,0334649469366661;21,5555;-40,429;-21,2506;"R";1,01506558890479;-0,0334616063425689;0;287,371939622729;6
"120";"R_H_ROI";2;0,0337415349466871;28,4755;-20,7455;-31,2903;"R";1,01496043205286;-0,0162748598160337;0;296,554017861139;1
"121";"R_ProS_ROI";3;0,0339911200254504;12,5434;-56,7855;-3,49956;"R";1,01480265504297;0,0197180971106672;1;310,136109470203;2
"122";"R_PeEc_ROI";2;0,0342333539233346;35,374;-9,29555;-43,1326;"R";1,01457724197595;-0,043658173423504;0;261,661548037117;0
"123";"R_STGa_ROI";3;0,0344808503195022;52,8343;11,1678;-29,0059;"R";1,01432298133914;0,00317177745549694;1;292,47940360038;1
"124";"R_PBelt_ROI";3;0,0346951859409842;62,6319;-22,0874;4,23151;"R";1,01421610150631;0,0452578894482028;1;321,908838256011;1
"125";"R_A5_ROI";3;0,0348965091025085;64,1252;-19,5546;-3,71639;"R";1,0141103998636;0,0640871700990142;1;332,277885756823;9
"126";"R_PHA1_ROI";2;0,035092796729847;25,1167;-41,5795;-25,8321;"R";1,01389679315764;-0,0183948456217728;0;290,086558532333;0
"127";"R_PHA3_ROI";2;0,0352676902468533;32,2005;-42,9438;-30,5382;"R";1,01376689025466;-0,0146521978337845;0;292,936390789743;0
"128";"R_STSda_ROI";2;0,0354482758467076;60,7947;-3,53603;-18,2347;"R";1,01358054249182;-0,0538255012450653;0;346,994205830289;0
"129";"R_STSdp_ROI";3;0,0356370644194605;62,8694;-28,5061;-5,24259;"R";1,01337011174148;0,0137720746567432;1;324,926749872971;21
"130";"R_STSvp_ROI";2;0,0358347629147884;63,7555;-34,3727;-8,91097;"R";1,01311959408052;-0,0701674622669695;0;324,597532233268;35
"131";"R_TGd_ROI";2;0,0360074273565343;43,8856;13,0851;-40,2025;"R";1,01291151841664;-0,0500325294118829;0;308,236547548785;8
"132";"R_TE1a_ROI";2;0,036153849485216;59,7991;-7,59065;-28,0971;"R";1,01278994498575;-0,103949373747298;0;344,553802963351;352
"133";"R_TE1p_ROI";2;0,0363099676662505;62,8978;-44,6111;-13,7474;"R";1,01269471845363;-0,0766607085818049;0;338,331568102031;32
"134";"R_TE2a_ROI";2;0,0364515383027459;57,2602;-16,9342;-32,5268;"R";1,01251832656604;-0,0422882965171602;0;323,222339537869;20
"135";"R_TF_ROI";2;0,0365953347534658;44,4776;-23,1756;-38,6039;"R";1,01245381752723;-0,0340535925585348;0;314,419143282395;21
"136";"R_TE2p_ROI";3;0,0367242030179584;53,6296;-44,9692;-27,0755;"R";1,01231495788202;0,0462990866343716;1;308,339718290276;2
"137";"R_PHT_ROI";2;0,0368558116978596;61,1717;-55,3933;-5,67552;"R";1,01215520243286;-0,00348582195751363;0;310,813644595577;35
"138";"R_PH_ROI";3;0,0369825259129918;52,6766;-66,4423;-16,4321;"R";1,01184526014298;0,0475397921667457;1;325,959602847919;3
"139";"R_TPOJ1_ROI";3;0,037106587288388;62,2442;-46,1787;8,32584;"R";1,01180341587365;0,0667334533886721;1;354,234102160352;3
"140";"R_TPOJ2_ROI";3;0,0372310528617842;58,5092;-62,6632;7,11005;"R";1,01172591999154;0,0479336580732235;1;316,962818103741;0
"141";"R_TPOJ3_ROI";2;0,037358796448313;53,987;-74,1801;14,6672;"R";1,01151403935917;-0,0730822649107906;0;338,489255115772;68
"142";"R_DVT_ROI";3;0,0374640837019777;12,1251;-78,5032;33,5764;"R";1,0114496935151;0,0637227424358308;1;360,946527955056;3
"143";"R_PGp_ROI";2;0,0375683422075905;46,5474;-86,4579;23,4039;"R";1,01124598325031;-0,0738521396192992;0;345,04334943251;86
"144";"R_IP2_ROI";2;0,037688460682598;49,9954;-52,2667;52,7652;"R";1,01113957538977;-0,00276128203627817;0;320,000241054434;27
"145";"R_IP1_ROI";2;0,0378035408690502;40,6846;-74,0717;49,3513;"R";1,01094969121401;-0,0509621205037603;0;326,382189788717;201
"146";"R_IP0_ROI";2;0,037925639110096;37,2852;-86,9869;35,2219;"R";1,01076809834356;-0,0954551821238638;0;322,985932275123;619
"147";"R_PFop_ROI";3;0,0380507763399512;66,1984;-15,7688;28,0183;"R";1,01060950155143;0,0629399660289328;1;344,814598577467;0
"148";"R_PF_ROI";3;0,0381798800782022;65,3278;-32,2026;35,4308;"R";1,01053493756352;0,0389894493342318;1;333,013368042326;46
"149";"R_PFm_ROI";2;0,0382988876949373;58,5605;-52,0063;43,9648;"R";1,01027652075126;-0,00783639666701844;0;277,575396705541;371
"150";"R_PGi_ROI";2;0,0384258596288416;57,3444;-64,9284;27,2283;"R";1,01010325346827;-0,106758917902704;0;348,595602865147;82
"151";"R_PGs_ROI";2;0,0385210446288562;50,4273;-73,1759;40,7051;"R";1,01002487036308;-0,0868626352257155;0;347,313910464706;268
"152";"R_V6A_ROI";3;0,0386201957333615;19,2425;-86,6335;41,8879;"R";1,00983507011823;0,0575087091538809;1;369,585357422072;6
"153";"R_VMV1_ROI";3;0,0387295644183927;19,1921;-58,7211;-17,1867;"R";1,0095465673506;0,0468292119199185;1;327,003483169656;0
"154";"R_VMV3_ROI";3;0,0388340379036316;29,9803;-63,5782;-23,772;"R";1,00939954601505;0,030378588504849;1;341,641269162736;2
"155";"R_PHA2_ROI";2;0,0389287870880682;28,903;-41,0034;-29,0972;"R";1,00931990264716;-0,0486825178616721;0;309,851801863174;1
"156";"R_V4t_ROI";3;0,0390303587766997;48,5485;-82,0295;-5,90969;"R";1,00926990240842;0,0495580846125626;1;370,822046740614;36
"157";"R_FST_ROI";3;0,0391157327506359;54,9344;-69,2892;-7,45739;"R";1,00906116081722;0,0666696892987447;1;371,406469175467;11
"158";"R_V3CD_ROI";3;0,0391674902141257;37,595;-94,7827;17,8555;"R";1,0087212318748;0,0419432570723561;1;332,866694261472;4
"159";"R_LO3_ROI";3;0,0392191972457475;47,8433;-86,0632;8,87829;"R";1,00858055662539;0,044338761568226;1;324,085470297213;8
"160";"R_VMV2_ROI";3;0,0392771618416302;24,1382;-59,9713;-20,6539;"R";1,00846440653834;0,0339610271000156;1;291,385631686895;0
"161";"R_31pd_ROI";2;0,0393643926035359;6,20401;-56,6167;39,9484;"R";1,00834658226514;-0,0870100788506407;0;326,356700423958;94
"162";"R_31a_ROI";2;0,0394708563650636;5,60152;-44,61;43,739;"R";1,00827377757582;-0,0924967658398329;0;342,520517871417;17
"163";"R_VVC_ROI";3;0,0396024415677354;36,542;-54,9856;-28,7131;"R";1,00817726215848;0,0399574421447308;1;273,924797669474;0
"164";"R_25_ROI";2;0,0397545875284519;4,84085;22,2933;-15,4668;"R";1,00791062082587;-0,0636185153208075;0;194,74076763081;0
"165";"R_s32_ROI";2;0,0399233926215491;5,7648;34,5642;-12,0906;"R";1,00779961243676;-0,0712965280998853;0;318,0460456753;0
"166";"R_pOFC_ROI";1;0,0401156444962107;16,3331;19,9268;-26,862;"R";1,00774864450962;0,00563857949011001;1;236,251082831988;0
"167";"R_PoI1_ROI";3;0,0403178008836411;49,162;8,34246;-14,7761;"R";1,00746259087033;0,00141820416446214;1;284,287968632124;0
"168";"R_Ig_ROI";3;0,0405407619434303;48,2554;-2,98118;4,36077;"R";1,00734339891272;0,0174299822383958;1;276,810967346991;0
"169";"R_FOP5_ROI";2;0,0407801885611155;46,6341;37,6873;-4,21261;"R";1,00724305123216;0,00104153254514096;1;286,471020493637;124
