"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"35";19060;"L_10pp_ROI";2;-0,000292596652866921;-19,5411;59,7992;-13,9432;"L";1,02398441786091;-0,0111951745802192;0;1465,8087256064;14
"36";19061;"L_10pp_ROI";2;-0,000286088312713332;-19,4078;58,8027;-15,019;"L";1,02389786870344;-0,00863339246612963;0;1540,9254517035;359
"37";19062;"L_10pp_ROI";1;-0,00027980406000671;-19,2825;57,7518;-16,0502;"L";1,02378688961283;0,00425739808372462;1;1446,38118742094;34
"38";19063;"L_10pp_ROI";2;-0,000273347761808244;-19,165;56,6479;-17,0364;"L";1,02375981203735;-0,0206633287143211;0;1500,78122764355;87
"39";19064;"L_10pp_ROI";2;-0,000265632097704842;-19,0549;55,4925;-17,9774;"L";1,02374242811502;-0,00938422692073626;0;1456,87653256763;224
"40";19065;"L_10pp_ROI";2;-0,000256864167604948;-18,9518;54,2869;-18,8734;"L";1,02369042864295;-0,00351961990561031;0;1481,54507040189;352
"41";19066;"L_10pp_ROI";2;-0,000245587588936954;-18,8551;53,0323;-19,7246;"L";1,02361728512889;-0,0145001415284091;0;1627,25369328522;1195
"42";19089;"L_10pp_ROI";1;-0,000235141621591425;-19,1587;62,6516;-9,58353;"L";1,02352088720692;-0,00585614436126523;0;1706,38679033419;235
"43";19090;"L_10pp_ROI";1;-0,000224253833953383;-18,9938;61,8445;-10,8239;"L";1,02344671654402;-0,000219477331547879;0;1610,6482358307;1039
"44";19091;"L_10pp_ROI";2;-0,000212572699003652;-18,8377;60,9782;-12,0235;"L";1,02339601568127;-0,0121504192151116;0;1541,36513855292;333
"45";19092;"L_10pp_ROI";1;-0,000199919584896739;-18,6906;60,0541;-13,1811;"L";1,02336829037873;-0,00434166900598435;0;1521,09654030743;195
"46";19093;"L_10pp_ROI";2;-0,000187769685690653;-18,5528;59,0733;-14,2954;"L";1,02330927783406;-0,0115977885804553;0;1484,21124924653;532
"47";19094;"L_10pp_ROI";2;-0,000175466574766073;-18,4243;58,0374;-15,3656;"L";1,023273002583;-0,0315124304907586;0;1575,85593647634;598
"48";19095;"L_10pp_ROI";1;-0,000162235823204515;-18,3049;56,9475;-16,3909;"L";1,02322922658663;0,00555040083694475;1;1408,09945043027;103
"49";19096;"L_10pp_ROI";2;-0,000148849053298703;-18,1944;55,805;-17,3707;"L";1,02321251465987;-0,0159792608577406;0;1589,18020550631;378
"50";19097;"L_10pp_ROI";2;-0,000134413861751507;-18,0922;54,6113;-18,3047;"L";1,02312766465821;-0,0125439130086968;0;1427,79117916391;92
"51";19121;"L_10pp_ROI";1;-0,000120960160327432;-18,1968;62,0214;-9,93832;"L";1,02309348548098;-0,000486967089242575;0;1719,24807815698;81
"52";19122;"L_10pp_ROI";1;-0,000107172130183665;-18,0335;61,1727;-11,1733;"L";1,02307222291665;-0,000893495468556956;0;1604,40643023879;285
"53";19123;"L_10pp_ROI";1;-9,23931336265126e-05;-17,88;60,2654;-12,3676;"L";1,02303520296315;0,000637454746062826;1;1672,74168523118;261
"54";19124;"L_10pp_ROI";2;-7,76176892190031e-05;-17,7366;59,3008;-13,5197;"L";1,02294256476135;-0,0121440361570285;0;1611,96331064294;381
"55";19125;"L_10pp_ROI";2;-6,24564644101667e-05;-17,6034;58,2801;-14,6284;"L";1,02292105368006;-0,0250382266592492;0;1597,53114411652;2057
