"";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"1";"R_V1_ROI";1;-0,00279778556621454;11,5491;-83,1736;1,39964;"R";1,0477589899323;0,062005425044377;1;366,940430367816;2
"2";"R_MST_ROI";1;-0,00274326837999661;54,083;-73,396;1,13441;"R";1,04612693838722;0,0309444980219051;1;341,703132912953;15
"3";"R_V6_ROI";1;-0,0026787280616828;12,9289;-82,7572;32,4649;"R";1,04494640243108;0,0695563399111886;1;365,838732928798;2
"4";"R_V2_ROI";1;-0,00258048286027697;12,8295;-81,137;-6,04955;"R";1,044611043347;0,069816983808794;1;369,937536287881;4
"5";"R_V3_ROI";1;-0,00247924394352673;29,6284;-99,92;4,79977;"R";1,044305699862;0,0608044008003721;1;361,380909301288;13
"6";"R_V4_ROI";1;-0,00234546772080537;36,3954;-91,4078;-12,1262;"R";1,04374155073759;0,0615255500660473;1;345,281830642533;7
"7";"R_V8_ROI";1;-0,00219144659407699;34,6923;-77,2024;-21,3038;"R";1,04297000621872;0,0526448633406768;1;366,663289111464;0
"8";"R_4_ROI";1;-0,00202084663746142;34,7148;-16,1394;72,2143;"R";1,04232904325662;0,0397540482681528;1;339,681013010858;10
"9";"R_3b_ROI";1;-0,00182192230757561;47,0606;-19,8243;63,1735;"R";1,04168668936179;0,00834045779630023;1;334,565762846262;49
"10";"R_FEF_ROI";1;-0,00161050831969466;46,0974;5,31453;60,5101;"R";1,04163008940211;0,0409424959158454;1;353,250493866864;0
"11";"R_PEF_ROI";1;-0,00139293923712846;54,9109;13,9545;41,9061;"R";1,04109405840724;0,0596166426562415;1;379,170069380395;80
"12";"R_55b_ROI";1;-0,00115969068634337;52,4298;9,08805;51,0785;"R";1,04058364222297;0,0276183198916232;1;318,381262172095;0
"13";"R_V3A_ROI";1;-0,000907581583713596;22,479;-94,5908;28,7691;"R";1,04006729448293;0,081779823046697;1;371,914611029516;8
"14";"R_RSC_ROI";2;-0,000663600709221117;2,21983;-40,1476;25,7868;"R";1,03991201467744;-0,0392726379757182;0;278,034265216701;10
"15";"R_POS2_ROI";2;-0,000395713058113437;10,999;-74,7364;41,2835;"R";1,03876919097063;-0,0264647867728904;0;297,310679900817;36
"16";"R_V7_ROI";1;-0,000130905940169982;25,4456;-90,4326;36,4716;"R";1,03860653303692;0,0657934776931061;1;376,046621675489;33
