"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary"
"1";56;"L_V1_ROI";3;-0,000139608439534513;-11,9477;-64,0341;-4,15323;"L";1,00494953604483;-0,00722594545366202;0
"2";57;"L_V1_ROI";3;-0,000138709330110491;-12,0708;-64,0617;-4,92879;"L";1,0049019286522;-0,0078234026738075;0
"3";58;"L_V1_ROI";3;-0,000138159990274098;-12,1863;-64,0593;-5,70137;"L";1,00486474003975;-0,00892236836192783;0
"4";59;"L_V1_ROI";3;-0,000137362527815047;-12,3044;-64,0313;-6,47309;"L";1,0048306262553;-0,00736610925491943;0
"5";60;"L_V1_ROI";3;-0,000136725085057127;-12,4357;-63,9827;-7,24553;"L";1,00482365407162;-0,00412185045355151;0
"6";61;"L_V1_ROI";3;-0,00013599820293804;-12,5908;-63,9186;-8,01942;"L";1,00480690831558;-0,0047449158953212;0
"7";62;"L_V1_ROI";3;-0,000135167926050156;-12,7796;-63,8439;-8,79447;"L";1,00479995536552;-0,00467174016318516;0
"8";63;"L_V1_ROI";3;-0,000134224556897128;-13,0105;-63,7627;-9,56938;"L";1,00477942602176;-0,00184248586491133;0
"9";64;"L_V1_ROI";3;-0,000133231948628584;-13,2899;-63,6774;-10,342;"L";1,00477117930171;-0,00944268128480804;0
"10";65;"L_V1_ROI";3;-0,000132146636840382;-13,6224;-63,5889;-11,1097;"L";1,00476644489968;-0,0108648060382411;0
"11";396;"L_V1_ROI";3;-0,000131033941175267;-12,0793;-62,669;-5,59241;"L";1,00475292522327;-0,00871013553503981;0
"12";414;"L_V1_ROI";3;-0,000130080867298337;-12,2331;-62,6575;-6,37783;"L";1,00474719066854;-0,00832638558122781;0
"13";415;"L_V1_ROI";3;-0,000128989811813216;-12,3026;-61,2539;-7,04875;"L";1,004734983923;-0,00839698456474934;0
"14";432;"L_V1_ROI";3;-0,000127903605857994;-12,3929;-62,6239;-7,16247;"L";1,00473456217069;-0,00446395611852533;0
"15";433;"L_V1_ROI";3;-0,000126706291847957;-12,5062;-61,2169;-7,84749;"L";1,00472749214383;-0,00885790766068051;0
"16";434;"L_V1_ROI";3;-0,000125585420315261;-12,6489;-59,8171;-8,52821;"L";1,00472184169283;-0,00913681629875364;0
"17";449;"L_V1_ROI";2;-0,000124313337706029;-12,5686;-62,5727;-7,94722;"L";1,00471267269933;0,00165216289237319;1
"18";450;"L_V1_ROI";3;-0,000123141278122718;-12,7277;-61,1648;-8,6455;"L";1,00470101295631;-0,00679693988669088;0
"19";451;"L_V1_ROI";3;-0,000121999089444208;-12,917;-59,7651;-9,34019;"L";1,0046954957045;-0,010635624416006;0
"20";465;"L_V1_ROI";2;-0,000120815944655661;-12,7699;-62,5086;-8,73212;"L";1,00469143451484;0,00224121684706299;1
"21";466;"L_V1_ROI";3;-0,000119629938422232;-12,9759;-61,1016;-9,44224;"L";1,00468508781508;-0,00583107979187199;0
"22";467;"L_V1_ROI";3;-0,000118398366486554;-13,212;-59,7028;-10,1494;"L";1,00467843420162;-0,013538182791107;0
"23";468;"L_V1_ROI";3;-0,000117115508434837;-13,4812;-58,3165;-10,8539;"L";1,00467438509186;-0,00684852850254426;0
"24";480;"L_V1_ROI";2;-0,000115777573558908;-13,0054;-62,4358;-9,51632;"L";1,00466968798713;0,00462429853443131;1
"25";481;"L_V1_ROI";3;-0,000114203268130827;-13,2582;-61,0305;-10,2364;"L";1,0046579198503;-0,00537664658792441;0
"26";482;"L_V1_ROI";3;-0,000112684677397311;-13,5406;-59,6328;-10,9543;"L";1,00464967878019;-0,0131131059442077;0
"27";494;"L_V1_ROI";2;-0,000110884295803797;-13,2824;-62,3571;-10,2981;"L";1,00464705770424;0,0026991350973242;1
"28";495;"L_V1_ROI";3;-0,000109133223434202;-13,5809;-60,9535;-11,0261;"L";1,00464253474519;-0,00970957886484249;0
"29";507;"L_V1_ROI";3;-0,000107309963957186;-13,6064;-62,2741;-11,0753;"L";1,00463233787465;-0,0116103996745044;0
"30";21354;"L_V1_ROI";2;-0,000105353857810542;-14,7476;-99,1779;4,78781;"L";1,00462243792216;0,000380220254564377;1
"31";21355;"L_V1_ROI";2;-0,000103433805074857;-14,4964;-98,865;3,77737;"L";1,00461854343022;0,00336520499314865;1
"32";21356;"L_V1_ROI";2;-0,000101454759927262;-14,2675;-98,5209;2,77961;"L";1,00461417679544;0,00387682832174885;1
"33";21357;"L_V1_ROI";2;-9,94796630995216e-05;-14,0586;-98,1454;1,79893;"L";1,00461112237393;0,00138488246879415;1
"34";21358;"L_V1_ROI";2;-9,74558484295063e-05;-13,8672;-97,7381;0,839645;"L";1,00460267080027;0,00279786288725973;1
"35";21359;"L_V1_ROI";2;-9,53629911866122e-05;-13,6906;-97,2985;-0,0941245;"L";1,00460056082406;-0,000261057444837658;0
"36";21360;"L_V1_ROI";2;-9,31842276297967e-05;-13,5266;-96,8261;-0,99847;"L";1,00459256297436;-0,00281460101005298;0
"37";21361;"L_V1_ROI";2;-9,096495909891e-05;-13,3732;-96,3207;-1,86983;"L";1,00458664563047;0,00145961865791011;1
"38";21362;"L_V1_ROI";2;-8,85920170885453e-05;-13,2288;-95,7817;-2,70503;"L";1,00458389624333;0,00246672419505633;1
"39";21363;"L_V1_ROI";2;-8,61864025601186e-05;-13,0926;-95,209;-3,50139;"L";1,00457464931737;0,00321849527437093;1
"40";21364;"L_V1_ROI";2;-8,37500177115115e-05;-12,9644;-94,6028;-4,2568;"L";1,00457102146003;0,00404381940981857;1
"41";21365;"L_V1_ROI";2;-8,1297186303704e-05;-12,8449;-93,9632;-4,96977;"L";1,00456592891224;0,00363121162157202;1
"42";21366;"L_V1_ROI";2;-7,87878787575084e-05;-12,7354;-93,2911;-5,63954;"L";1,00456342221548;0,00453131414292695;1
"43";21367;"L_V1_ROI";2;-7,62160601519593e-05;-12,6382;-92,5873;-6,26608;"L";1,00456037860792;0,00353105182697406;1
"44";21368;"L_V1_ROI";2;-7,36391919807778e-05;-12,5562;-91,8531;-6,85017;"L";1,00455404331143;0,0015091949070193;1
"45";21369;"L_V1_ROI";2;-7,10436465737473e-05;-12,4926;-91,09;-7,39332;"L";1,0045483953976;0,00136746159990768;1
"46";21370;"L_V1_ROI";2;-6,84362144810643e-05;-12,4513;-90,2998;-7,89786;"L";1,00454550596491;0,00465189860569649;1
"47";21371;"L_V1_ROI";2;-6,57801273131493e-05;-12,4359;-89,4844;-8,36683;"L";1,00454162595394;0,000234968577377467;1
