"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"TimeBin";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"1";10101;"L_7m_ROI";3;-0,000437858479243819;-5,50805;-60,904;30,594;"L";"First";1,01067785501223;-0,0491770367029388;0;2804,00795994136;2
"2";10102;"L_7m_ROI";3;-0,000430703555934652;-5,753;-62,2126;30,5207;"L";"First";1,01027602054176;-0,0586138040812438;0;2817,91769370179;97
"3";10103;"L_7m_ROI";3;-0,00042359028347148;-6,00486;-63,495;30,4708;"L";"First";1,01009652907881;-0,0547218714870074;0;2859,58660433379;1
"4";10104;"L_7m_ROI";3;-0,000417861756076483;-6,26322;-64,7496;30,4452;"L";"First";1,00994430571198;-0,0400430961931699;0;2802,15382806175;0
"5";10105;"L_7m_ROI";3;-0,000412263232391349;-6,52723;-65,9755;30,4437;"L";"First";1,00991526748069;-0,00592077465798133;0;2559,35374177424;2
"6";10106;"L_7m_ROI";3;-0,000406799385507163;-6,79558;-67,172;30,4658;"L";"First";1,00984120726145;-0,0139031567202818;0;2517,00779177415;11
"7";11205;"L_7m_ROI";3;-0,000398934530504913;-8,03953;-68,7946;48,0335;"L";"First";1,00982318305415;-0,00337889914913569;0;2508,69838703802;34
"8";11235;"L_7m_ROI";3;-0,000393571529532151;-7,86782;-68,9185;46,9301;"L";"First";1,00977769649399;-0,0143303711027808;0;2492,00176936505;126
"9";11264;"L_7m_ROI";3;-0,000384480420677085;-7,72029;-69,0267;45,8138;"L";"First";1,00970888609274;0,0046468695537736;1;2446,56858783281;59
"10";11265;"L_7m_ROI";3;-0,000376506691581985;-7,58205;-67,9177;46,7704;"L";"First";1,00968999413501;-0,0182148956692708;0;2443,8193611572;152
"11";11266;"L_7m_ROI";3;-0,000367362764854149;-7,47071;-66,8001;47,7119;"L";"First";1,00966289958158;-0,00411455140987644;0;2497,48967384065;28
"12";11267;"L_7m_ROI";3;-0,000356224159147723;-7,38782;-65,6766;48,6385;"L";"First";1,00964797183876;0,00897923304714597;1;2432,47405062161;125
"13";11292;"L_7m_ROI";2;-0,000345054282702554;-7,59514;-69,1183;44,6853;"L";"First";1,00959491824712;0,024329041062112;1;2311,7118574055;165
"14";11293;"L_7m_ROI";3;-0,000334295277703341;-7,4478;-68,0153;45,6553;"L";"First";1,00956065316981;-0,00768843537546113;0;2481,49360338299;69
"15";11294;"L_7m_ROI";3;-0,000325118708080195;-7,32701;-66,9013;46,6104;"L";"First";1,00954362210397;-0,00467634547289859;0;2368,12615175443;163
"16";11295;"L_7m_ROI";3;-0,000313464893826751;-7,23455;-65,7793;47,5507;"L";"First";1,00952281092904;0,00552891601212227;1;2418,79241971146;11
"17";11296;"L_7m_ROI";3;-0,000302187143941207;-7,17135;-64,6523;48,476;"L";"First";1,00951156448333;0,00352216232558931;1;2407,11767304186;45
"18";11297;"L_7m_ROI";3;-0,000291618061510916;-7,1376;-63,5229;49,3857;"L";"First";1,0094765106418;0,0135210849382098;1;2314,55141236091;25
"19";11298;"L_7m_ROI";3;-0,000282128402457884;-7,13284;-62,3934;50,2792;"L";"First";1,00942424064189;-0,00305319756726997;0;2351,04432830257;21
"20";11319;"L_7m_ROI";2;-0,00027176864748503;-7,49046;-69,1922;43,5451;"L";"First";1,00941057692148;0,0183656685997952;1;2155,20775970336;292
"21";11320;"L_7m_ROI";3;-0,000259185049586465;-7,33438;-68,0967;44,529;"L";"First";1,00939359152217;0,0103706888565537;1;2310,79342397777;13
"22";11321;"L_7m_ROI";3;-0,000248681952400486;-7,20444;-66,9877;45,4982;"L";"First";1,00935505063124;0,0022246127777077;1;2280,79437415882;46
"23";11322;"L_7m_ROI";3;-0,000235627634353334;-7,10263;-65,8683;46,4526;"L";"First";1,00933577839761;0,00262263563326969;1;2271,27317700935;29
"24";11323;"L_7m_ROI";3;-0,00022376369279644;-7,03009;-64,7418;47,3921;"L";"First";1,00932686820961;-0,00864582490201548;0;2372,07655877145;20
"25";11324;"L_7m_ROI";3;-0,000210254646178687;-6,98717;-63,6109;48,316;"L";"First";1,00929254351878;-0,000860476271112891;0;2341,93185257844;10
"26";11325;"L_7m_ROI";3;-0,000195746010937311;-6,97357;-62,4784;49,2236;"L";"First";1,00927340716473;-0,0072679284677413;0;2436,4167085823;12
"27";11345;"L_7m_ROI";2;-0,000181184951372729;-7,40422;-69,2473;42,3938;"L";"First";1,00925010131458;0,0099059043706568;1;2226,84083817414;7
"28";11346;"L_7m_ROI";2;-0,000166750718856257;-7,23973;-68,1607;43,3921;"L";"First";1,0092376822958;0,00239413159036377;1;2223,11120991948;8
