"";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"1";"R_V1_ROI";2;-0,00281042815138766;11,5491;-83,1736;1,39964;"R";1,05799804378773;-0,0129103909684687;0;304,092091704974;5
"2";"R_MST_ROI";3;-0,00274360960588824;54,083;-73,396;1,13441;"R";1,05382168514456;-0,078679163252899;0;363,175348564132;13
"3";"R_V6_ROI";3;-0,00266920596444396;12,9289;-82,7572;32,4649;"R";1,05263180348589;-0,0918091156365129;0;385,228080250193;7
"4";"R_V2_ROI";3;-0,00257385495211438;12,8295;-81,137;-6,04955;"R";1,05082883520937;-0,0811361847251142;0;375,137138092333;11
"5";"R_V3_ROI";3;-0,00244357803631169;29,6284;-99,92;4,79977;"R";1,05063795604539;-0,101446467088511;0;347,058809501495;4
"6";"R_V4_ROI";3;-0,00228808385219106;36,3954;-91,4078;-12,1262;"R";1,04977784993131;-0,0885535957125239;0;356,61871230797;1
"7";"R_V8_ROI";3;-0,00210968722193622;34,6923;-77,2024;-21,3038;"R";1,04881566553442;-0,0974192459577066;0;366,975149923268;0
"8";"R_4_ROI";3;-0,00190078359037542;34,7148;-16,1394;72,2143;"R";1,04845711776315;-0,0624653656218986;0;383,340416863891;49
"9";"R_3b_ROI";3;-0,00165958549875488;47,0606;-19,8243;63,1735;"R";1,04666339889184;-0,0399833767534022;0;359,565542831007;75
"10";"R_FEF_ROI";3;-0,00140365775481205;46,0974;5,31453;60,5101;"R";1,04613643445945;-0,0329791542877627;0;378,750840707355;167
"11";"R_PEF_ROI";1;-0,00110805210525826;54,9109;13,9545;41,9061;"R";1,04585925417913;0,0069328904928458;1;329,852118782217;18
"12";"R_55b_ROI";3;-0,000808102890078648;52,4298;9,08805;51,0785;"R";1,04583332531403;-0,0259324609010875;0;357,255115766571;5
"13";"R_V3A_ROI";3;-0,000470752035446112;22,479;-94,5908;28,7691;"R";1,04431559603224;-0,102367092427052;0;371,024023753729;11
"14";"R_RSC_ROI";1;-0,000129850161427809;2,21983;-40,1476;25,7868;"R";1,04393766005776;0,026726750466171;1;304,393972740172;36
"15";"R_POS2_ROI";1;0,000228089362745754;10,999;-74,7364;41,2835;"R";1,04376620230939;0,0282730062373659;1;292,952402286046;73
"16";"R_V7_ROI";3;0,000586937956879227;25,4456;-90,4326;36,4716;"R";1,04333242252098;-0,110783313290974;0;361,326311374505;5
"17";"R_IPS1_ROI";3;0,000975517001756363;26,989;-84,5792;44,4358;"R";1,04259499057568;-0,0810405307339773;0;340,590359005354;5
"18";"R_FFC_ROI";3;0,00139089199065014;43,6373;-59,4595;-26,8917;"R";1,0422165368942;-0,0763149191441705;0;346,700916514497;20
"19";"R_V3B_ROI";3;0,00183981220008812;31,5046;-92,5847;29,0869;"R";1,04183703675083;-0,0934994921208216;0;361,498614572438;0
"20";"R_LO1_ROI";3;0,00231674747448823;43,994;-90,5506;2,57524;"R";1,04136314588858;-0,11834885489713;0;327,981939588081;5
"21";"R_LO2_ROI";3;0,00276649002588513;44,9571;-86,4624;-7,59191;"R";1,04075947507976;-0,109680588094734;0;305,381148952882;4
"22";"R_PIT_ROI";3;0,00325981583087466;41,5996;-84,8171;-14,6547;"R";1,04055044332868;-0,0868923087817329;0;327,210104688529;0
"23";"R_MT_ROI";3;0,00371501809507656;51,2534;-79,687;3,98399;"R";1,03983771118027;-0,10913844331698;0;331,45302350269;9
"24";"R_A1_ROI";2;0,00417212278571574;55,2521;-18,6583;3,62105;"R";1,03946853388291;0,0175435946200969;1;275,774855684318;39
"25";"R_PSL_ROI";3;0,00464144105885251;65,6807;-38,6014;25,111;"R";1,03937376792993;-0,0359527643752965;0;369,327635700495;68
"26";"R_SFL_ROI";1;0,00510472293956266;11,0238;22,193;62,4761;"R";1,03916269276645;0,0275479791843665;1;275,001071731612;78
"27";"R_PCV_ROI";1;0,00557386725507915;7,75372;-54,8835;54,3246;"R";1,03856179598945;0,0419306727908114;1;307,448296621295;6
"28";"R_STV_ROI";3;0,00603408797296906;64,0803;-44,684;19,5865;"R";1,03825202331385;-0,0199756582850252;0;335,948505711082;0
"29";"R_7Pm_ROI";1;0,0064967741080082;10,6503;-67,35;54,96;"R";1,03784322569842;0,0260719249897834;1;333,223968000313;1107
"30";"R_7m_ROI";1;0,00696474505972402;7,72306;-65,3151;40,6649;"R";1,03734545076056;0,06243902627617;1;329,394956497572;83
"31";"R_POS1_ROI";1;0,00744976621841758;9,14058;-63,0612;15,0204;"R";1,03704716396744;0,0426603991174964;1;307,835969555565;20
"32";"R_23d_ROI";1;0,0079566230411502;2,65298;-24,2441;38,5114;"R";1,03686271261347;0,0345478672923373;1;325,431129507954;72
"33";"R_v23ab_ROI";1;0,00847656153757873;5,61358;-56,7698;22,358;"R";1,03655476737379;0,0613335816110074;1;326,699179760169;125
"34";"R_d23ab_ROI";1;0,00900730719889527;3,19493;-42,0742;33,1706;"R";1,0362414084372;0,0547687878158725;1;329,42391459639;9
"35";"R_31pv_ROI";1;0,00955518674525105;4,41187;-48,5085;35,1196;"R";1,03602288939529;0,0657378159776098;1;307,368705519555;36
"36";"R_5m_ROI";3;0,0101116510446097;8,76024;-35,3403;68,2431;"R";1,03577542577486;-0,0555032484663335;0;353,245207718742;34
"37";"R_5mv_ROI";3;0,0106761005696757;8,22788;-39,1911;58,3342;"R";1,03532037685499;-0,0591274519611917;0;382,839995767795;291
"38";"R_23c_ROI";3;0,0112513580248534;6,2486;-32,2964;48,2286;"R";1,03526327345777;-0,043951734503809;0;367,884237923302;415
"39";"R_5L_ROI";3;0,0118365564996192;13,0886;-44,8421;72,2361;"R";1,03469073585633;-0,0435416224941048;0;337,500026175095;3
"40";"R_24dd_ROI";3;0,0124250906614237;6,5378;-12,6916;57,9469;"R";1,03423146165109;-0,0377248670876619;0;339,081105601677;0
"41";"R_24dv_ROI";3;0,0130308697953955;5,48169;2,11296;49,8577;"R";1,03387219289083;-0,0189175560720834;0;318,645158419625;0
"42";"R_7AL_ROI";3;0,0136366898878421;20,4358;-51,6751;72,943;"R";1,033481738043;-0,0352572779023754;0;359,851687231522;1
"43";"R_SCEF_ROI";3;0,0142401022083907;7,49361;9,70639;60,5539;"R";1,0331613318442;-0,0117488245944145;0;347,41609798501;20
"44";"R_6ma_ROI";2;0,0148386203086576;15,6085;10,2145;70,2812;"R";1,03283002603239;0,00113515272788442;1;295,863106714761;72
"45";"R_7Am_ROI";3;0,0154196110350786;12,5135;-58,8446;64,6355;"R";1,03272750975255;-0,0180277854680853;0;335,567086063981;5
"46";"R_7PL_ROI";3;0,0159955629467377;17,837;-71,7997;59,0052;"R";1,03241956079795;-0,030838236981923;0;348,817903046491;58
"47";"R_7PC_ROI";3;0,0165689783167567;32,7263;-51,6105;69,193;"R";1,03183670785239;-0,0946356691946126;0;366,537793210667;26
"48";"R_LIPv_ROI";3;0,0171397273575969;31,6252;-64,1274;62,6232;"R";1,03163531205932;-0,0790935596350764;0;357,582645390414;31
"49";"R_VIP_ROI";3;0,017678821562963;22,2529;-63,6514;66,5773;"R";1,03157228765947;-0,0973329329593493;0;354,349010455036;5
"50";"R_MIP_ROI";1;0,0181790009565571;27,4885;-75,9801;54,2949;"R";1,03123783513895;0,0034718278253428;1;327,939409335027;57
"51";"R_1_ROI";3;0,0186924376838344;46,5537;-27,1185;65,2762;"R";1,03095722274399;-0,0649602259023161;0;387,348532880115;39
"52";"R_2_ROI";3;0,0191994921880168;42,7766;-36,5621;65,4743;"R";1,0304731596214;-0,0672264953821431;0;376,948693018638;62
"53";"R_3a_ROI";3;0,0197106992655553;45,1661;-16,8134;63,847;"R";1,03025313075682;-0,0393093569288535;0;373,866704430421;13
"54";"R_6d_ROI";3;0,0201627714258077;35,0095;-7,72449;71,1996;"R";1,03007325556312;-0,0381441936801836;0;361,775781038884;6
"55";"R_6mp_ROI";3;0,020616539042007;15,4173;-9,74476;74,6888;"R";1,0297871857796;-0,0454104016321422;0;335,693518845049;0
"56";"R_6v_ROI";3;0,0210377886768312;61,2375;8,91548;30,2606;"R";1,02946846280396;-0,0417142904202965;0;378,477638851384;39
"57";"R_p24pr_ROI";3;0,0214512526116823;2,9735;-0,140771;40,181;"R";1,02924159437487;-0,000998122542255991;0;326,473433266411;1
"58";"R_33pr_ROI";1;0,021835160520012;2,10513;12,5786;30,8917;"R";1,02914635578586;0,0152468845395105;1;268,710573587783;0
"59";"R_a24pr_ROI";2;0,0222122711346679;3,53;19,6974;32,8651;"R";1,02883570284842;0,00212616244070523;1;297,402747379745;0
"60";"R_p32pr_ROI";3;0,0225917259780711;5,61277;20,9864;42,917;"R";1,0286840479413;-0,00332630403992742;0;338,603346931162;5
"61";"R_a24_ROI";1;0,0229448784662939;5,34475;39,628;-0,222395;"R";1,02831753509219;0,0237196680708573;1;263,861832431599;3
"62";"R_d32_ROI";1;0,0233019895335117;7,59332;45,6063;27,1128;"R";1,02815866853938;0,0337020216321792;1;309,964319683144;243
"63";"R_8BM_ROI";1;0,0236567887326916;7,94204;33,6575;48,3305;"R";1,02785855872935;0,0270576816113897;1;303,215971614217;25
