"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"1";10101;"L_7m_ROI";1;-0,000442969789256916;-5,50805;-60,904;30,594;"L";1,02334759179537;-0,0342937419925066;0;2853,6813016319;123
"2";10102;"L_7m_ROI";1;-0,000438519599992797;-5,753;-62,2126;30,5207;"L";1,02098085440472;-0,03580152800541;0;2868,30313570244;28
"3";10103;"L_7m_ROI";1;-0,000433539992961308;-6,00486;-63,495;30,4708;"L";1,01995104476617;-0,0342259989355513;0;2861,35200654615;3
"4";10104;"L_7m_ROI";1;-0,000429067588503476;-6,26322;-64,7496;30,4452;"L";1,01973623398138;-0,0262467499510032;0;2806,66128930711;4
"5";10105;"L_7m_ROI";1;-0,000424073548967343;-6,52723;-65,9755;30,4437;"L";1,01963396287769;-0,005438974898233;0;2594,00122714806;56
"6";10106;"L_7m_ROI";3;-0,000418209038678567;-6,79558;-67,172;30,4658;"L";1,01948621643324;0,00088983164208499;1;2500,26265179641;43
"7";11205;"L_7m_ROI";1;-0,000413697985574486;-8,03953;-68,7946;48,0335;"L";1,01935852534634;-0,00792603218837085;0;2585,1996527176;144
"8";11235;"L_7m_ROI";1;-0,0004093585086716;-7,86782;-68,9185;46,9301;"L";1,01931525337154;-0,00718154144869293;0;2575,02312275266;185
"9";11264;"L_7m_ROI";1;-0,00040453439400616;-7,72029;-69,0267;45,8138;"L";1,0191968533712;-0,00590244976060178;0;2565,52225512991;136
"10";11265;"L_7m_ROI";3;-0,00040071359139948;-7,58205;-67,9177;46,7704;"L";1,01914332438821;0,00158746943725848;1;2483,87408919769;272
"11";11266;"L_7m_ROI";3;-0,000395842370281527;-7,47071;-66,8001;47,7119;"L";1,01907865088293;0,00867277382621197;1;2445,44555300905;19
"12";11267;"L_7m_ROI";3;-0,000392017823936303;-7,38782;-65,6766;48,6385;"L";1,01895962367422;0,00981594499127119;1;2423,73944245238;144
"13";11292;"L_7m_ROI";3;-0,00038534030929667;-7,59514;-69,1183;44,6853;"L";1,01883288102057;0,00188919435562528;1;2508,6654456897;56
"14";11293;"L_7m_ROI";1;-0,000378644445501769;-7,4478;-68,0153;45,6553;"L";1,01875082703604;-0,00445556966182472;0;2554,95498982303;45
"15";11294;"L_7m_ROI";3;-0,000371966055109152;-7,32701;-66,9013;46,6104;"L";1,01866139150176;0,0117503044926579;1;2390,15688293453;12
"16";11295;"L_7m_ROI";3;-0,000364963438814953;-7,23455;-65,7793;47,5507;"L";1,01862379503577;0,0126635337165256;1;2410,37557922261;28
