"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary"
"41";11376;"L_7m_ROI";3;-9,67672791790966e-05;-6,71157;-62,612;47,0878;"L";1,00532932309645;-0,00592879269699398;0
"42";11377;"L_7m_ROI";3;-9,32676459081784e-05;-6,70921;-61,4729;48,0073;"L";1,00532211308925;-0,00435693742680492;0
"43";11394;"L_7m_ROI";1;-8,95024726490868e-05;-7,27841;-69,2946;40,0613;"L";1,00531968696115;0,00506312325353474;1
"44";11395;"L_7m_ROI";1;-8,56586011268763e-05;-7,09812;-68,2306;41,0889;"L";1,0053107447711;-0,000367234542840761;0
"45";11396;"L_7m_ROI";3;-8,20593426239439e-05;-6,9426;-67,1452;42,1026;"L";1,00530111067927;-0,0121960279976217;0
"46";11397;"L_7m_ROI";3;-7,82318601946107e-05;-6,81433;-66,042;43,1021;"L";1,00529929799269;-0,0192121198162512;0
"47";11398;"L_7m_ROI";3;-7,45275963147019e-05;-6,71487;-64,9242;44,0867;"L";1,00529154565459;-0,0195424401686204;0
"48";11399;"L_7m_ROI";3;-7,041939925584e-05;-6,64498;-63,7954;45,0559;"L";1,00528353099589;-0,016753422973332;0
"49";11400;"L_7m_ROI";3;-6,62943972111438e-05;-6,60473;-62,6588;46,0084;"L";1,00527902009529;-0,00963238980597521;0
"50";11401;"L_7m_ROI";3;-6,22868844123193e-05;-6,5936;-61,5173;46,9432;"L";1,0052724420436;-0,00726760451147996;0
"51";11402;"L_7m_ROI";3;-5,81792248174721e-05;-6,61062;-60,3736;47,8589;"L";1,00526664593308;-0,00464816101359068;0
"52";11418;"L_7m_ROI";1;-5,39843081754236e-05;-7,0466;-68,233;39,9243;"L";1,00526601492901;0,00343227484601896;1
"53";11419;"L_7m_ROI";3;-4,95278363992168e-05;-6,88316;-67,1588;40,9532;"L";1,00525322736303;-0,00565538867507505;0
"54";11420;"L_7m_ROI";3;-4,49783258536964e-05;-6,74661;-66,064;41,9683;"L";1,00524120899178;-0,0170060324221338;0
