"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"1";18091;"L_10pp_ROI";2;-0,000502018420534211;-21,3471;64,3698;-7,52319;"L";1,02852351386954;-0,00815328560588623;0;1770,8096018093;108
"2";18092;"L_10pp_ROI";2;-0,000495716196263616;-20,3261;63,9185;-7,92378;"L";1,02503654843258;-0,0102358322455444;0;1569,57236034738;77
"3";18093;"L_10pp_ROI";2;-0,000488660526064742;-19,3318;63,3983;-8,3038;"L";1,02459526842998;-0,00562317228534454;0;1687,98499467221;224
"4";18094;"L_10pp_ROI";2;-0,000482306496159025;-18,3693;62,8103;-8,66403;"L";1,02414488028704;-0,00944190494631136;0;1558,41560410922;22
"5";18095;"L_10pp_ROI";2;-0,000475244893851757;-17,4428;62,1558;-9,00531;"L";1,02403285689378;-0,0242188661858206;0;1478,68735599613;192
"6";18096;"L_10pp_ROI";2;-0,000466932397796589;-16,5561;61,4366;-9,32839;"L";1,02391802688899;-0,0220912557634578;0;1494,19362025548;90
"7";18954;"L_10pp_ROI";2;-0,000460523243590374;-22,9939;63,1419;-10,4541;"L";1,02385662227615;-0,0222998012219683;0;1687,98499336054;285
"8";18955;"L_10pp_ROI";2;-0,00045430320281316;-22,8477;62,3794;-11,6357;"L";1,02365981002475;-0,0129448392455126;0;1606,24660643427;450
"9";18956;"L_10pp_ROI";2;-0,000447422932905415;-22,7043;61,5581;-12,7735;"L";1,02352176066188;-0,0156216766142528;0;1566,8425255419;1770
"10";18957;"L_10pp_ROI";2;-0,000441913384989768;-22,5641;60,6792;-13,8669;"L";1,02331342571889;-0,0225062810388699;0;1603,01435644422;2469
"11";18958;"L_10pp_ROI";2;-0,000436794154613295;-22,427;59,7444;-14,9153;"L";1,02324910817808;-0,0167902494254119;0;1541,06780678041;255
"12";18987;"L_10pp_ROI";2;-0,000427710761547879;-22,2274;64,1315;-8,39997;"L";1,02317411444812;-0,00852408469894744;0;1762,40705090198;74
"13";18988;"L_10pp_ROI";2;-0,000418119652745787;-22,069;63,4493;-9,6587;"L";1,02298538307837;-0,0164300090137592;0;1602,58985672791;62
"14";18989;"L_10pp_ROI";2;-0,000408621798901189;-21,915;62,7063;-10,8761;"L";1,0228950636012;-0,0233254184531154;0;1725,08217622047;1071
"15";18990;"L_10pp_ROI";2;-0,000399520600711102;-21,7656;61,9037;-12,0509;"L";1,02283723448404;-0,0237197863427131;0;1666,35150503874;759
"16";18991;"L_10pp_ROI";2;-0,000389794202079836;-21,621;61,0427;-13,1822;"L";1,02271997863448;-0,0202456449442874;0;1684,317987037;2748
"17";18992;"L_10pp_ROI";2;-0,000380652300801708;-21,4815;60,1248;-14,2693;"L";1,02264387205868;-0,0231797797187132;0;1659,57806131644;98
"18";18993;"L_10pp_ROI";2;-0,000370762637442232;-21,347;59,1515;-15,3117;"L";1,02257496339552;-0,0211940922572293;0;1607,48090874304;41
"19";18994;"L_10pp_ROI";2;-0,000360402294933483;-21,2175;58,1243;-16,3094;"L";1,02248047308574;-0,0179214185918989;0;1716,45636860014;242
"20";18995;"L_10pp_ROI";2;-0,000349737907065922;-21,0929;57,0448;-17,2626;"L";1,02245265678556;-0,0218577351904678;0;1701,73628265835;244
"21";19022;"L_10pp_ROI";2;-0,000340087150778295;-21,1789;63,7076;-8,81499;"L";1,02238891365832;-0,0104962980998055;0;1710,29350849735;171
"22";19023;"L_10pp_ROI";2;-0,000331062433356915;-21,0161;62,9839;-10,0671;"L";1,02230838341158;-0,0194572661706672;0;1681,70619162309;652
"23";19024;"L_10pp_ROI";2;-0,000323908060024231;-20,8594;62,1999;-11,278;"L";1,02225776959061;-0,0188835575073785;0;1735,49936028683;189
