"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary"
"47";21371;"L_V1_ROI";1;-8,80506831517923e-05;-12,4359;-89,4844;-8,36683;"L";1,00446683723002;0,00481426491298185;1
"48";21372;"L_V1_ROI";1;-8,63808355470998e-05;-12,4502;-88,6454;-8,8039;"L";1,00446026640252;0,00405221082469282;1
"49";21373;"L_V1_ROI";1;-8,47675832650484e-05;-12,4974;-87,7846;-9,21336;"L";1,00445988424493;5,4374433766588e-05;1
"50";21889;"L_V1_ROI";1;-8,29966083128391e-05;-26,369;-101,192;-4,25924;"L";1,00444893155522;0,00775410736267679;1
"51";21890;"L_V1_ROI";1;-8,10164033015435e-05;-25,3615;-101,477;-3,34459;"L";1,00444870516022;0,00883124975292349;1
"52";21933;"L_V1_ROI";1;-7,89578081869856e-05;-27,1518;-100,521;-6,19698;"L";1,00444262282107;0,00725457123888972;1
"53";21934;"L_V1_ROI";1;-7,70510478651259e-05;-26,1185;-100,894;-5,34365;"L";1,00443554045003;0,00741712760432445;1
"54";21935;"L_V1_ROI";1;-7,51629851113901e-05;-25,1028;-101,196;-4,43161;"L";1,00443253067249;0,00823029615417918;1
"55";21936;"L_V1_ROI";1;-7,33372046734935e-05;-24,1075;-101,427;-3,46201;"L";1,00443027152392;0,00814253520837101;1
"56";21937;"L_V1_ROI";1;-7,14004423538085e-05;-23,1358;-101,587;-2,43654;"L";1,00442398185499;0,0110175874053461;1
"57";21938;"L_V1_ROI";1;-6,96009792139784e-05;-22,1906;-101,677;-1,3574;"L";1,00442103418825;0,0119587159045305;1
"58";21939;"L_V1_ROI";1;-6,78040691161578e-05;-21,2752;-101,697;-0,227133;"L";1,00441608337093;0,0131743833685046;1
"59";21940;"L_V1_ROI";1;-6,59894211194448e-05;-20,393;-101,649;0,951396;"L";1,00441203826871;0,0160154611595959;1
"60";21976;"L_V1_ROI";1;-6,41646349154355e-05;-27,9725;-99,6938;-8,03133;"L";1,00440620504078;0,00702043194052852;1
"61";21977;"L_V1_ROI";1;-6,23310341031572e-05;-26,9158;-100,156;-7,24507;"L";1,0044045928985;0,00738202560642665;1
"62";21978;"L_V1_ROI";1;-6,04739650798239e-05;-25,8746;-100,547;-6,39832;"L";1,00439940365719;0,00701180127122244;1
"63";21979;"L_V1_ROI";1;-5,86084346968285e-05;-24,8518;-100,866;-5,49146;"L";1,0043928885865;0,00589718699395545;1
"64";21980;"L_V1_ROI";1;-5,66657613267105e-05;-23,8499;-101,114;-4,52555;"L";1,00438862209186;0,0059401172209642;1
"65";21981;"L_V1_ROI";1;-5,48570537386287e-05;-22,8718;-101,291;-3,50219;"L";1,00438634371805;0,0109348728289609;1
"66";21982;"L_V1_ROI";1;-5,29029878255779e-05;-21,9203;-101,396;-2,42349;"L";1,00438111057932;0,0118161898625826;1
"67";21983;"L_V1_ROI";1;-5,10220700621836e-05;-20,9981;-101,432;-1,29199;"L";1,00437974342754;0,00953361136613299;1
"68";21984;"L_V1_ROI";1;-4,91013991523428e-05;-20,1086;-101,399;-0,110572;"L";1,00437693963638;0,0132892391412951;1
"69";21985;"L_V1_ROI";1;-4,70130339566986e-05;-19,2549;-101,3;1,11769;"L";1,00437409002884;0,0145865735345779;1
"70";21986;"L_V1_ROI";1;-4,48503952363363e-05;-18,4405;-101,137;2,38963;"L";1,00437151190529;0,0128949850972628;1
"71";22018;"L_V1_ROI";1;-4,24262355272131e-05;-28,8292;-98,7049;-9,74942;"L";1,00436573696307;0,00481512893309649;1
"72";22019;"L_V1_ROI";1;-4,0164712781239e-05;-27,7504;-99,2581;-9,03405;"L";1,00436009142624;0,0044217350046868;1
"73";22020;"L_V1_ROI";1;-3,78164703575966e-05;-26,6853;-99,7397;-8,25761;"L";1,00435663403543;0,00614571714607438;1
"74";22021;"L_V1_ROI";1;-3,54744363336642e-05;-25,6368;-100,15;-7,41968;"L";1,0043518370363;0,00593194552330034;1
"75";22022;"L_V1_ROI";1;-3,29465894766618e-05;-24,6077;-100,487;-6,52052;"L";1,00435004464077;0,00462064019650733;1
"76";22023;"L_V1_ROI";1;-3,05033292859533e-05;-23,6003;-100,753;-5,56101;"L";1,00434693392913;0,00416533656099442;1
"77";22024;"L_V1_ROI";1;-2,78845691122171e-05;-22,6172;-100,948;-4,54266;"L";1,00434249579648;0,00810102054655759;1
"78";22025;"L_V1_ROI";1;-2,53431125967275e-05;-21,6609;-101,07;-3,46749;"L";1,00433697069532;0,012539007618574;1
"79";22026;"L_V1_ROI";1;-2,28088253748711e-05;-20,734;-101,123;-2,33799;"L";1,00433511280513;0,0109739874540025;1
"80";22027;"L_V1_ROI";1;-2,01176274211519e-05;-19,8392;-101,106;-1,15701;"L";1,00433140113782;0,00924313990888595;1
"81";22028;"L_V1_ROI";1;-1,74436831317081e-05;-18,9794;-101,022;0,07233;"L";1,00432764611145;0,0138805706003228;1
"82";22029;"L_V1_ROI";1;-1,48252115097664e-05;-18,1579;-100,873;1,34675;"L";1,00432395269883;0,0127538167196327;1
"83";22030;"L_V1_ROI";1;-1,21867232185915e-05;-17,3779;-100,664;2,66294;"L";1,0043196985183;0,0106688107982129;1
"84";22031;"L_V1_ROI";1;-9,51642729255017e-06;-16,6432;-100,396;4,01756;"L";1,00431450588489;0,00696557725524727;1
"85";22060;"L_V1_ROI";1;-6,90127894133391e-06;-28,6226;-98,1975;-10,6993;"L";1,00431215051976;0,00601571915079848;1
"86";22061;"L_V1_ROI";1;-4,27303455148476e-06;-27,5339;-98,7716;-9,99604;"L";1,00431087423359;0,00639108021460334;1
"87";22062;"L_V1_ROI";1;-1,61296992157578e-06;-26,4604;-99,2733;-9,23121;"L";1,0043075917644;0,00581189376869128;1
"88";22063;"L_V1_ROI";1;1,07526490196713e-06;-25,4048;-99,7026;-8,40421;"L";1,00430485191331;0,00598403926354226;1
"89";22064;"L_V1_ROI";1;3,82214035495493e-06;-24,3698;-100,06;-7,5151;"L";1,00429781456856;0,00517348975230175;1
"90";22065;"L_V1_ROI";1;6,51323500637223e-06;-23,3577;-100,345;-6,56461;"L";1,00429695334121;0,00538265261280036;1
"91";22066;"L_V1_ROI";1;9,30544313964502e-06;-22,3708;-100,557;-5,55408;"L";1,0042938975913;0,00532977762518839;1
"92";22067;"L_V1_ROI";1;1,20719701398643e-05;-21,4113;-100,699;-4,48545;"L";1,0042891308911;0,0093787540781687;1
"93";22068;"L_V1_ROI";1;1,48378110463356e-05;-20,4813;-100,769;-3,36112;"L";1,00428576827302;0,0125022389803679;1
"94";22069;"L_V1_ROI";1;1,76265861831955e-05;-19,5832;-100,77;-2,18389;"L";1,00428286220483;0,011487535994342;1
"95";22070;"L_V1_ROI";1;2,04464092718696e-05;-18,7196;-100,703;-0,956873;"L";1,00428132224848;0,0122979026473038;1
"96";22071;"L_V1_ROI";1;2,3279061617758e-05;-17,8931;-100,571;0,316624;"L";1,00427440580247;0,0124832070136639;1
"97";22072;"L_V1_ROI";1;2,60244735408023e-05;-17,1068;-100,376;1,63317;"L";1,00427153895797;0,00841834069686284;1
"98";22073;"L_V1_ROI";1;2,86816507015058e-05;-16,364;-100,123;2,98929;"L";1,00426990071527;0,00432087949109467;1
"99";22074;"L_V1_ROI";1;3,13702958662051e-05;-15,6682;-99,8156;4,38154;"L";1,00426358135444;0,00632898983609987;1
"100";22102;"L_V1_ROI";1;3,40804612211447e-05;-27,324;-98,2347;-10,9143;"L";1,00426075968143;0,00611650047211437;1
"101";22103;"L_V1_ROI";1;3,68628652117022e-05;-26,2416;-98,757;-10,1627;"L";1,00426045068835;0,00807980044228245;1
"102";22104;"L_V1_ROI";1;3,96380427712392e-05;-25,1787;-99,2065;-9,34848;"L";1,00425466256964;0,00774640202528239;1
"103";22105;"L_V1_ROI";1;4,25029822749992e-05;-24,138;-99,5834;-8,4716;"L";1,00425015218393;0,00613791901804172;1
"104";22106;"L_V1_ROI";1;4,54623827679677e-05;-23,1216;-99,8878;-7,53256;"L";1,0042460756937;0,00620540112285681;1
"105";22107;"L_V1_ROI";1;4,83785607499559e-05;-22,1316;-100,12;-6,53255;"L";1,00424483712678;0,00706060003533804;1
"106";22108;"L_V1_ROI";1;5,12412301477102e-05;-21,1699;-100,281;-5,47337;"L";1,00423930453471;0,00793372240265614;1
"107";22109;"L_V1_ROI";1;5,41565010815982e-05;-20,2384;-100,371;-4,35729;"L";1,00423671398418;0,0113979348532108;1
"108";22110;"L_V1_ROI";1;5,70605245291208e-05;-19,3389;-100,391;-3,18704;"L";1,00423457023885;0,0132507341278155;1
"109";22111;"L_V1_ROI";1;5,9967781547581e-05;-18,4735;-100,342;-1,96567;"L";1,00422974106919;0,0122417529741276;1
"110";22112;"L_V1_ROI";1;6,30045232835151e-05;-17,6445;-100,228;-0,696507;"L";1,00422714438242;0,0113600450157967;1
"111";22113;"L_V1_ROI";1;6,59493490162454e-05;-16,8543;-100,051;0,617001;"L";1,00422567495605;0,0100846827033506;1
"112";22114;"L_V1_ROI";1;6,90591584470759e-05;-16,106;-99,8136;1,97128;"L";1,00422280126096;0,00286149127624509;1
"113";22115;"L_V1_ROI";1;7,2166766522062e-05;-15,4026;-99,521;3,36274;"L";1,00421876980921;0,00561161053070785;1
"114";22142;"L_V1_ROI";1;7,53188229379874e-05;-27,122;-97,6486;-11,7864;"L";1,00421827731721;0,00766063492148857;1
"115";22143;"L_V1_ROI";1;7,84896278364255e-05;-26,0301;-98,1919;-11,0491;"L";1,00421436367855;0,00521623081207597;1
"116";22144;"L_V1_ROI";1;8,16610233341643e-05;-24,9594;-98,662;-10,2493;"L";1,00421087308471;0,00658932963925934;1
"117";22145;"L_V1_ROI";1;8,47516696536488e-05;-23,9125;-99,0592;-9,38663;"L";1,00420348853987;0,00612395853697874;1
"118";22146;"L_V1_ROI";1;8,78618765359195e-05;-22,8918;-99,384;-8,46128;"L";1,00420148558066;0,0050155037887011;1
"119";22147;"L_V1_ROI";1;9,09479490946193e-05;-21,8991;-99,6366;-7,47431;"L";1,00419760614502;0,00474152108802074;1
"120";22148;"L_V1_ROI";1;9,40269119964502e-05;-20,936;-99,8178;-6,42731;"L";1,00419279435121;0,00724763774677923;1
"121";22149;"L_V1_ROI";1;9,70333650024004e-05;-20,004;-99,928;-5,32242;"L";1,00419023894368;0,0107964987129498;1
"122";22150;"L_V1_ROI";1;0,000100269827215061;-19,1046;-99,9685;-4,16226;"L";1,00418836327253;0,0132910537870951;1
"123";22151;"L_V1_ROI";1;0,000103523442788035;-18,2393;-99,9405;-2,9498;"L";1,00418446614544;0,0131101928306498;1
"124";22152;"L_V1_ROI";1;0,000106718472875931;-17,4098;-99,8461;-1,68828;"L";1,00418146685437;0,0123337517936256;1
"125";22153;"L_V1_ROI";1;0,000109885440009045;-16,6183;-99,6878;-0,381173;"L";1,00417793981416;0,0115932821492557;1
"126";22154;"L_V1_ROI";1;0,000113179137272309;-15,867;-99,4688;0,967922;"L";1,00417758748091;0,00733855663526208;1
"127";22155;"L_V1_ROI";1;0,000116420220523522;-15,1586;-99,193;2,35534;"L";1,00417436776943;0,00454137327234809;1
"128";22182;"L_V1_ROI";1;0,000119825936817457;-25,8274;-97,5794;-11,8882;"L";1,00416957902064;0,00748349438356505;1
"129";22183;"L_V1_ROI";1;0,00012327084705101;-24,7481;-98,0705;-11,1041;"L";1,00416736258613;0,00364621463256269;1
"130";22184;"L_V1_ROI";1;0,000126798071948617;-23,6944;-98,4885;-10,2572;"L";1,00416325827695;0,00336013708399389;1
"131";22185;"L_V1_ROI";1;0,000130388461695938;-22,6689;-98,834;-9,34751;"L";1,00415988142187;0,00329944164330687;1
"132";22186;"L_V1_ROI";1;0,000134232248499111;-21,6732;-99,1075;-8,37582;"L";1,00415776983718;0,00406525838528599;1
"133";22187;"L_V1_ROI";1;0,000138129614073423;-20,7089;-99,3098;-7,34354;"L";1,00415613846448;0,00382839233279188;1
"134";22188;"L_V1_ROI";1;0,000141982201121528;-19,7771;-99,4415;-6,2526;"L";1,00415224811554;0,00932046692466801;1
"135";22189;"L_V1_ROI";1;0,000145833875345731;-18,8788;-99,5036;-5,10548;"L";1,00414764040135;0,0118381312589864;1
"136";22190;"L_V1_ROI";1;0,000149610404826901;-18,0151;-99,4973;-3,90502;"L";1,00414706320989;0,0117409504344821;1
"137";22191;"L_V1_ROI";1;0,000153659584351468;-17,1872;-99,4244;-2,65438;"L";1,00414463972173;0,0121850476625088;1
"138";22192;"L_V1_ROI";1;0,000157566258016039;-16,3964;-99,2871;-1,35696;"L";1,0041429289744;0,0128222625757392;1
"139";22193;"L_V1_ROI";1;0,000161438947074253;-15,6447;-99,0883;-0,0163426;"L";1,00413927363347;0,0108831657540874;1
"140";22194;"L_V1_ROI";1;0,000165347328332205;-14,9342;-98,8315;1,36378;"L";1,00413562160511;0,00754523334181287;1
"141";22221;"L_V1_ROI";1;0,000169445033289594;-24,5467;-97,4335;-11,9105;"L";1,00413100474099;0,00538801191869232;1
