-58	-46	36
-54	-56	46
-50	-54	36
-8	4	-8
-18	-6	-12
54	42	26
54	40	-4
48	36	-12
70	36	2
66	-30	-2
58	-40	-2
12	46	6
28	16	-18
-2	-46	32
50	-22	-20
-8	52	16
-2	58	24
-34	32	12
-44	14	12
-52	14	8
36	30	-16
-18	16	12
-66	-30	-6
-64	-32	2
54	6	42
42	-38	44
40	-46	42
-36	-52	46
-8	4	-8
-6	-20	10
6	-12	6
-48	-62	-10
-58	-48	-10
-52	-44	-14
0	-34	42
-4	-34	26
6	-20	32
44	8	26
36	4	30
52	10	18
-12	-96	-6
-16	-92	0
-24	-72	-8
-42	-2	30
-48	6	28
-50	6	42
46	36	10
42	30	20
56	-54	-10
48	-56	-10
46	-56	-20
-26	18	0
-18	60	4
-24	56	0
-4	38	-8
4	40	-2
22	-50	-24
-44	42	8
-40	36	14
-38	24	20
-12	-76	-24
26	34	-14
30	18	-6
24	24	-10
-22	34	-18
-14	40	-16
-20	26	-18
-6	-30	-8
10	-80	-26
-14	-38	-2
18	-18	14
12	-80	6
6	-80	18
0	-76	8
26	18	-16
38	-82	-4
54	30	18
4	-28	-16
28	18	44
6	28	-10
48	120	-48
-10	28	30
-26	10	-18
2	2	38
