"Label","Counts"
"L_8Ad_ROI",19
"L_9m_ROI",24
"L_8BL_ROI",9
"L_9p_ROI",8
"L_10d_ROI",15
"L_8C_ROI",14
"L_44_ROI",7
"L_45_ROI",10
"L_47l_ROI",10
"L_a47r_ROI",13
"L_6r_ROI",5
"L_IFJa_ROI",4
"L_IFJp_ROI",2
"L_IFSp_ROI",6
"L_IFSa_ROI",10
"L_p9-46v_ROI",6
"L_46_ROI",16
"L_a9-46v_ROI",15
"L_9-46d_ROI",18
"L_9a_ROI",13
"L_10v_ROI",28
"L_a10p_ROI",9
"L_10pp_ROI",14
"L_11l_ROI",12
"L_13l_ROI",9
"L_OFC_ROI",17
"L_47s_ROI",11
"L_LIPd_ROI",4
"L_6a_ROI",13
"L_i6-8_ROI",17
"L_s6-8_ROI",15
"L_43_ROI",11
"L_OP4_ROI",15
"L_OP1_ROI",16
"L_OP2-3_ROI",14
"L_52_ROI",13
"L_RI_ROI",8
"L_PFcm_ROI",16
"L_PoI2_ROI",15
"L_TA2_ROI",12
"L_FOP4_ROI",4
"L_MI_ROI",8
"L_Pir_ROI",13
"L_AVI_ROI",6
"L_AAIC_ROI",12
"L_FOP1_ROI",6
"L_FOP3_ROI",0
"L_FOP2_ROI",9
"L_PFt_ROI",11
"L_AIP_ROI",8
"L_EC_ROI",8
"L_PreS_ROI",14
"L_H_ROI",13
"L_ProS_ROI",9
"L_PeEc_ROI",10
"L_STGa_ROI",7
"L_PBelt_ROI",17
"L_A5_ROI",10
"L_PHA1_ROI",15
"L_PHA3_ROI",12
"L_STSda_ROI",11
"L_STSdp_ROI",7
"L_STSvp_ROI",7
"L_TGd_ROI",9
"L_TE1a_ROI",8
"L_TE1p_ROI",9
"L_TE2a_ROI",8
"L_TF_ROI",11
"L_TE2p_ROI",11
"L_PHT_ROI",6
"L_PH_ROI",9
"L_TPOJ1_ROI",6
"L_TPOJ2_ROI",8
"L_TPOJ3_ROI",8
"L_DVT_ROI",14
"L_PGp_ROI",15
"L_IP2_ROI",7
"L_IP1_ROI",10
"L_IP0_ROI",13
"L_PFop_ROI",11
"L_PF_ROI",16
"L_PFm_ROI",18
"L_PGi_ROI",20
"L_PGs_ROI",22
"L_V6A_ROI",7
"L_VMV1_ROI",12
"L_VMV3_ROI",10
"L_PHA2_ROI",10
"L_V4t_ROI",5
"L_FST_ROI",6
"L_V3CD_ROI",8
"L_LO3_ROI",9
"L_VMV2_ROI",8
"L_31pd_ROI",23
"L_31a_ROI",20
"L_VVC_ROI",13
"L_25_ROI",15
"L_s32_ROI",17
"L_pOFC_ROI",16
"L_PoI1_ROI",13
"L_Ig_ROI",7
"L_FOP5_ROI",4
"L_p10p_ROI",14
"L_p47r_ROI",9
"L_TGv_ROI",6
"L_MBelt_ROI",18
"L_LBelt_ROI",18
"L_A4_ROI",13
"L_STSva_ROI",6
"L_TE1m_ROI",8
"L_PI_ROI",12
"L_a32pr_ROI",7
"L_p24_ROI",20
