"";"x";"y";"z";"Label";"Hemisphere"
"11710";"-38.9723";"-87.9199";"37.297";"L_PGs_ROI";"L"
"11711";"-39.5376";"-87.0077";"38.2708";"L_PGs_ROI";"L"
"11712";"-40.1006";"-86.0662";"39.1918";"L_PGs_ROI";"L"
"11713";"-40.6626";"-85.097";"40.0559";"L_PGs_ROI";"L"
"11714";"-41.2242";"-84.1021";"40.8601";"L_PGs_ROI";"L"
"11715";"-41.786";"-83.0834";"41.6028";"L_PGs_ROI";"L"
"11716";"-42.348";"-82.0434";"42.2838";"L_PGs_ROI";"L"
"11717";"-42.91";"-80.9843";"42.9038";"L_PGs_ROI";"L"
"11718";"-43.4718";"-79.9086";"43.4644";"L_PGs_ROI";"L"
"11719";"-44.0326";"-78.8184";"43.9682";"L_PGs_ROI";"L"
"11720";"-44.5921";"-77.716";"44.4182";"L_PGs_ROI";"L"
"11721";"-45.1495";"-76.6035";"44.818";"L_PGs_ROI";"L"
"11722";"-45.7043";"-75.483";"45.1713";"L_PGs_ROI";"L"
"11723";"-46.2558";"-74.3563";"45.482";"L_PGs_ROI";"L"
"11724";"-46.8035";"-73.2253";"45.7542";"L_PGs_ROI";"L"
"11725";"-47.347";"-72.0914";"45.9917";"L_PFm_ROI";"L"
"11726";"-47.8858";"-70.9564";"46.1981";"L_PFm_ROI";"L"
"11727";"-48.4196";"-69.8217";"46.3768";"L_PFm_ROI";"L"
"11728";"-48.9481";"-68.6885";"46.5309";"L_PFm_ROI";"L"
"11729";"-49.4712";"-67.5582";"46.6631";"L_PFm_ROI";"L"
"11730";"-49.9885";"-66.432";"46.7757";"L_PFm_ROI";"L"
"11731";"-50.5";"-65.3111";"46.8705";"L_PFm_ROI";"L"
"11732";"-51.0054";"-64.1966";"46.9489";"L_PFm_ROI";"L"
"11733";"-51.5045";"-63.0896";"47.012";"L_PFm_ROI";"L"
"11734";"-51.997";"-61.9915";"47.0601";"L_PFm_ROI";"L"
"11735";"-52.4825";"-60.9035";"47.0933";"L_PFm_ROI";"L"
"11736";"-52.9604";"-59.8274";"47.1112";"L_PFm_ROI";"L"
"11737";"-53.43";"-58.7652";"47.1131";"L_PFm_ROI";"L"
"11738";"-53.8899";"-57.7195";"47.0978";"L_PFm_ROI";"L"
"11739";"-54.3387";"-56.694";"47.0642";"L_PFm_ROI";"L"
"11740";"-54.7736";"-55.6943";"47.0108";"L_PFm_ROI";"L"
"11741";"-55.1904";"-54.7297";"46.9368";"L_PFm_ROI";"L"
"11742";"-55.5807";"-53.8187";"46.8424";"L_PFm_ROI";"L"
"11743";"-21.9418";"-99.3393";"20.0792";"L_V3A_ROI";"L"
"11744";"-22.7502";"-99.2244";"20.3685";"L_V3A_ROI";"L"
"11745";"-23.5838";"-99.0665";"20.6796";"L_V3A_ROI";"L"
"11746";"-24.4337";"-98.8628";"21.0288";"L_V3A_ROI";"L"
"11747";"-25.2923";"-98.6131";"21.4268";"L_V3B_ROI";"L"
"11748";"-26.1529";"-98.3184";"21.8817";"L_V3B_ROI";"L"
"11749";"-27.0096";"-97.9806";"22.4001";"L_V3B_ROI";"L"
"11750";"-27.8572";"-97.6015";"22.9869";"L_V3B_ROI";"L"
"11751";"-28.6911";"-97.1835";"23.6453";"L_V3B_ROI";"L"
"11752";"-29.5072";"-96.7288";"24.3761";"L_V3B_ROI";"L"
"11753";"-30.3022";"-96.2396";"25.1784";"L_V3B_ROI";"L"
"11754";"-31.0736";"-95.7177";"26.0488";"L_V3B_ROI";"L"
"11755";"-31.8196";"-95.1648";"26.982";"L_IP0_ROI";"L"
"11756";"-32.5397";"-94.5818";"27.9708";"L_IP0_ROI";"L"
"11757";"-33.2341";"-93.9696";"29.0065";"L_IP0_ROI";"L"
"11758";"-33.9039";"-93.3282";"30.0793";"L_IP0_ROI";"L"
"11759";"-34.551";"-92.6577";"31.1785";"L_IP0_ROI";"L"
"11760";"-35.1782";"-91.9574";"32.2931";"L_PGp_ROI";"L"
"11761";"-35.7882";"-91.2268";"33.4119";"L_PGp_ROI";"L"
"11762";"-36.3842";"-90.4651";"34.5241";"L_PGp_ROI";"L"
"11763";"-36.9693";"-89.6719";"35.6191";"L_PGs_ROI";"L"
"11764";"-37.5466";"-88.8468";"36.6872";"L_PGs_ROI";"L"
"11765";"-38.1185";"-87.9898";"37.7197";"L_PGs_ROI";"L"
"11766";"-38.6873";"-87.1014";"38.7089";"L_PGs_ROI";"L"
"11767";"-39.2546";"-86.1826";"39.6482";"L_PGs_ROI";"L"
"11768";"-39.8218";"-85.2344";"40.5327";"L_PGs_ROI";"L"
"11769";"-40.3895";"-84.2588";"41.3586";"L_PGs_ROI";"L"
"11770";"-40.9581";"-83.2576";"42.1235";"L_PGs_ROI";"L"
"11771";"-41.5276";"-82.2331";"42.8266";"L_PGs_ROI";"L"
"11772";"-42.0978";"-81.1875";"43.4678";"L_PGs_ROI";"L"
"11773";"-42.6681";"-80.1232";"44.0485";"L_PGs_ROI";"L"
"11774";"-43.2379";"-79.0426";"44.5708";"L_PGs_ROI";"L"
"11775";"-43.8065";"-77.9479";"45.0374";"L_PGs_ROI";"L"
"11776";"-44.3732";"-76.8415";"45.4517";"L_PGs_ROI";"L"
