"Label","x","y","z"
"R_PeEc_ROI",35.374,-9.29555,-43.1326
"R_STGa_ROI",52.8343,11.1678,-29.0059
"R_PBelt_ROI",62.6319,-22.0874,4.23151
"R_A5_ROI",64.1252,-19.5546,-3.71639
"R_PHA1_ROI",25.1167,-41.5795,-25.8321
"R_PHA3_ROI",32.2005,-42.9438,-30.5382
"R_STSda_ROI",60.7947,-3.53603,-18.2347
"R_STSdp_ROI",62.8694,-28.5061,-5.24259
"R_STSvp_ROI",63.7555,-34.3727,-8.91097
"R_TGd_ROI",43.8856,13.0851,-40.2025
"R_TE1a_ROI",59.7991,-7.59065,-28.0971
"R_TE1p_ROI",62.8978,-44.6111,-13.7474
"R_TE2a_ROI",57.2602,-16.9342,-32.5268
"R_TF_ROI",44.4776,-23.1756,-38.6039
"R_TE2p_ROI",53.6296,-44.9692,-27.0755
"R_PHT_ROI",61.1717,-55.3933,-5.67552
"R_PH_ROI",52.6766,-66.4423,-16.4321
"R_TPOJ1_ROI",62.2442,-46.1787,8.32584
"R_TPOJ2_ROI",58.5092,-62.6632,7.11005
"R_TPOJ3_ROI",53.987,-74.1801,14.6672
"R_DVT_ROI",12.1251,-78.5032,33.5764
"R_PGp_ROI",46.5474,-86.4579,23.4039
"R_IP2_ROI",49.9954,-52.2667,52.7652
"R_IP1_ROI",40.6846,-74.0717,49.3513
"R_IP0_ROI",37.2852,-86.9869,35.2219
"R_PFop_ROI",66.1984,-15.7688,28.0183
"R_PF_ROI",65.3278,-32.2026,35.4308
"R_PFm_ROI",58.5605,-52.0063,43.9648
"R_PGi_ROI",57.3444,-64.9284,27.2283
"R_PGs_ROI",50.4273,-73.1759,40.7051
"R_V6A_ROI",19.2425,-86.6335,41.8879
"R_VMV1_ROI",19.1921,-58.7211,-17.1867
"R_VMV3_ROI",29.9803,-63.5782,-23.772
"R_PHA2_ROI",28.903,-41.0034,-29.0972
"R_V4t_ROI",48.5485,-82.0295,-5.90969
"R_FST_ROI",54.9344,-69.2892,-7.45739
"R_V3CD_ROI",37.595,-94.7827,17.8555
"R_LO3_ROI",47.8433,-86.0632,8.87829
"R_VMV2_ROI",24.1382,-59.9713,-20.6539
"R_31pd_ROI",6.20401,-56.6167,39.9484
"R_31a_ROI",5.60152,-44.61,43.739
"R_VVC_ROI",36.542,-54.9856,-28.7131
"R_25_ROI",4.84085,22.2933,-15.4668
"R_s32_ROI",5.7648,34.5642,-12.0906
"R_pOFC_ROI",16.3331,19.9268,-26.862
"R_PoI1_ROI",49.162,8.34246,-14.7761
"R_Ig_ROI",48.2554,-2.98118,4.36077
"R_FOP5_ROI",46.6341,37.6873,-4.21261
"R_p10p_ROI",26.4125,67.3486,4.33257
"R_p47r_ROI",45.0075,56.3789,-3.8272
"R_TGv_ROI",42.3516,-0.325963,-44.6803
"R_MBelt_ROI",55.8767,-10.7522,-3.26385
"R_LBelt_ROI",59.1382,-23.1168,6.61575
"R_A4_ROI",64.0252,-20.8485,1.27518
"R_STSva_ROI",61.8291,-11.4739,-19.5872
"R_TE1m_ROI",63.3764,-29.3732,-19.5795
"R_PI_ROI",50.7205,10.2304,-20.6694
"R_a32pr_ROI",6.08628,34.8872,32.1108
"R_p24_ROI",4.9989,37.9177,15.6267
"L_V1_ROI",-9.66141,-84.5161,-0.484587
"L_MST_ROI",-51.6683,-78.4569,2.95631
"L_V6_ROI",-9.92671,-83.667,30.0225
"L_V2_ROI",-11.4511,-83.621,-8.18927
"L_V3_ROI",-24.9707,-102.401,4.30728
"L_V4_ROI",-32.6537,-93.0531,-15.3647
"L_V8_ROI",-32.9345,-77.2125,-22.8581
"L_4_ROI",-33.3431,-17.1152,72.0779
"L_3b_ROI",-46.5182,-22.1065,62.6829
"L_FEF_ROI",-42.9503,4.93378,61.2976
"L_PEF_ROI",-53.2305,10.2373,44.246
"L_55b_ROI",-49.9196,7.25686,52.551
"L_V3A_ROI",-18.4823,-96.7561,25.023
"L_RSC_ROI",-1.96554,-41.1872,24.8333
"L_POS2_ROI",-8.52795,-74.3509,38.3825
"L_V7_ROI",-20.6651,-92.6455,33.2797
"L_IPS1_ROI",-21.9632,-86.6667,42.0993
"L_FFC_ROI",-42.7627,-63.2247,-26.3203
"L_V3B_ROI",-27.0953,-96.5715,25.1962
"L_LO1_ROI",-40.5777,-95.2405,3.36919
"L_LO2_ROI",-42.1582,-90.8955,-7.66365
"L_PIT_ROI",-39.4378,-86.7034,-16.546
"L_MT_ROI",-48.7503,-84.4672,5.48379
"L_A1_ROI",-52.7981,-20.8586,2.44464
"L_PSL_ROI",-62.4148,-44.0833,21.9645
"L_SFL_ROI",-9.90886,19.8578,62.3111
"L_PCV_ROI",-7.21695,-54.6776,53.0745
"L_STV_ROI",-62.4066,-48.5189,16.5869
"L_7Pm_ROI",-9.31391,-67.9611,53.3334
"L_7m_ROI",-6.46353,-64.9132,39.576
"L_POS1_ROI",-7.73543,-64.243,13.1206
"L_23d_ROI",-2.3397,-19.8225,38.1166
"L_v23ab_ROI",-4.55981,-56.7997,21.7836
"L_d23ab_ROI",-2.84817,-42.7715,32.0514
"L_31pv_ROI",-4.12372,-49.4371,34.4851
"L_5m_ROI",-8.52623,-35.9366,66.9205
"L_5mv_ROI",-8.03423,-36.5424,57.0791
