L_10d_ROI,252
L_10pp_ROI,270
L_10r_ROI,245
L_10v_ROI,268
L_11l_ROI,271
L_13l_ROI,272
L_1_ROI,231
L_23c_ROI,218
L_23d_ROI,212
L_24dd_ROI,220
L_24dv_ROI,221
L_25_ROI,344
L_2_ROI,232
L_31a_ROI,342
L_31pd_ROI,341
L_31pv_ROI,215
L_33pr_ROI,238
L_3a_ROI,233
L_3b_ROI,189
L_43_ROI,279
L_44_ROI,254
L_45_ROI,255
L_46_ROI,264
L_47l_ROI,256
L_47m_ROI,246
L_47s_ROI,274
L_4_ROI,188
L_52_ROI,283
L_55b_ROI,192
L_5L_ROI,219
L_5m_ROI,216
L_5mv_ROI,217
L_6a_ROI,276
L_6d_ROI,234
L_6ma_ROI,224
L_6mp_ROI,235
L_6r_ROI,258
L_6v_ROI,236
L_7AL_ROI,222
L_7Am_ROI,225
L_7PC_ROI,227
L_7PL_ROI,226
L_7Pm_ROI,209
L_7m_ROI,210
L_8Ad_ROI,248
L_8Av_ROI,247
L_8BL_ROI,250
L_8BM_ROI,243
L_8C_ROI,253
L_9-46d_ROI,266
L_9a_ROI,267
L_9m_ROI,249
L_9p_ROI,251
L_A1_ROI,204
L_A4_ROI,355
L_A5_ROI,305
L_AAIC_ROI,292
L_AIP_ROI,297
L_AVI_ROI,291
L_DVT_ROI,322
L_EC_ROI,298
L_FEF_ROI,190
L_FFC_ROI,198
L_FOP1_ROI,293
L_FOP2_ROI,295
L_FOP3_ROI,294
L_FOP4_ROI,288
L_FOP5_ROI,349
L_FST_ROI,337
L_H_ROI,300
L_IFJa_ROI,259
L_IFJp_ROI,260
L_IFSa_ROI,262
L_IFSp_ROI,261
L_IP0_ROI,326
L_IP1_ROI,325
L_IP2_ROI,324
L_IPS1_ROI,197
L_Ig_ROI,348
L_LBelt_ROI,354
L_LIPd_ROI,275
L_LIPv_ROI,228
L_LO1_ROI,200
L_LO2_ROI,201
L_LO3_ROI,339
L_MBelt_ROI,353
L_MIP_ROI,230
L_MI_ROI,289
L_MST_ROI,182
L_MT_ROI,203
L_OFC_ROI,273
L_OP1_ROI,281
L_OP2-3_ROI,282
L_OP4_ROI,280
L_PBelt_ROI,304
L_PCV_ROI,207
L_PEF_ROI,191
L_PF_ROI,328
L_PFcm_ROI,285
L_PFm_ROI,329
L_PFop_ROI,327
L_PFt_ROI,296
L_PGi_ROI,330
L_PGp_ROI,323
L_PGs_ROI,331
L_PHA1_ROI,306
L_PHA2_ROI,335
L_PHA3_ROI,307
L_PHT_ROI,317
L_PH_ROI,318
L_PIT_ROI,202
L_PI_ROI,358
L_POS1_ROI,211
L_POS2_ROI,195
L_PSL_ROI,205
L_PeEc_ROI,302
L_Pir_ROI,290
L_PoI1_ROI,347
L_PoI2_ROI,286
L_PreS_ROI,299
L_ProS_ROI,301
L_RI_ROI,284
L_RSC_ROI,194
L_SCEF_ROI,223
L_SFL_ROI,206
L_STGa_ROI,303
L_STSda_ROI,308
L_STSdp_ROI,309
L_STSva_ROI,356
L_STSvp_ROI,310
L_STV_ROI,208
L_TA2_ROI,287
L_TE1a_ROI,312
L_TE1m_ROI,357
L_TE1p_ROI,313
L_TE2a_ROI,314
L_TE2p_ROI,316
L_TF_ROI,315
L_TGd_ROI,311
L_TGv_ROI,352
L_TPOJ1_ROI,319
L_TPOJ2_ROI,320
L_TPOJ3_ROI,321
L_V1_ROI,181
L_V2_ROI,184
L_V3A_ROI,193
L_V3B_ROI,199
L_V3CD_ROI,338
L_V3_ROI,185
L_V4_ROI,186
L_V4t_ROI,336
L_V6A_ROI,332
L_V6_ROI,183
L_V7_ROI,196
L_V8_ROI,187
L_VIP_ROI,229
L_VMV1_ROI,333
L_VMV2_ROI,340
L_VMV3_ROI,334
L_VVC_ROI,343
L_a10p_ROI,269
L_a24_ROI,241
L_a24pr_ROI,239
L_a32pr_ROI,359
L_a47r_ROI,257
L_a9-46v_ROI,265
L_d23ab_ROI,214
L_d32_ROI,242
L_i6-8_ROI,277
L_p10p_ROI,350
L_p24_ROI,360
L_p24pr_ROI,237
L_p32_ROI,244
L_p32pr_ROI,240
L_p47r_ROI,351
L_p9-46v_ROI,263
L_pOFC_ROI,346
L_s32_ROI,345
L_s6-8_ROI,278
L_v23ab_ROI,213
R_10d_ROI,72
R_10pp_ROI,90
R_10r_ROI,65
R_10v_ROI,88
R_11l_ROI,91
R_13l_ROI,92
R_1_ROI,51
R_23c_ROI,38
R_23d_ROI,32
R_24dd_ROI,40
R_24dv_ROI,41
R_25_ROI,164
R_2_ROI,52
R_31a_ROI,162
R_31pd_ROI,161
R_31pv_ROI,35
R_33pr_ROI,58
R_3a_ROI,53
R_3b_ROI,9
R_43_ROI,99
R_44_ROI,74
R_45_ROI,75
R_46_ROI,84
R_47l_ROI,76
R_47m_ROI,66
R_47s_ROI,94
R_4_ROI,8
R_52_ROI,103
R_55b_ROI,12
R_5L_ROI,39
R_5m_ROI,36
R_5mv_ROI,37
R_6a_ROI,96
R_6d_ROI,54
R_6ma_ROI,44
R_6mp_ROI,55
R_6r_ROI,78
R_6v_ROI,56
R_7AL_ROI,42
R_7Am_ROI,45
R_7PC_ROI,47
R_7PL_ROI,46
R_7Pm_ROI,29
R_7m_ROI,30
R_8Ad_ROI,68
R_8Av_ROI,67
R_8BL_ROI,70
R_8BM_ROI,63
R_8C_ROI,73
R_9-46d_ROI,86
R_9a_ROI,87
R_9m_ROI,69
R_9p_ROI,71
R_A1_ROI,24
R_A4_ROI,175
R_A5_ROI,125
R_AAIC_ROI,112
R_AIP_ROI,117
R_AVI_ROI,111
R_DVT_ROI,142
R_EC_ROI,118
R_FEF_ROI,10
R_FFC_ROI,18
R_FOP1_ROI,113
R_FOP2_ROI,115
R_FOP3_ROI,114
R_FOP4_ROI,108
R_FOP5_ROI,169
R_FST_ROI,157
R_H_ROI,120
R_IFJa_ROI,79
R_IFJp_ROI,80
R_IFSa_ROI,82
R_IFSp_ROI,81
R_IP0_ROI,146
R_IP1_ROI,145
R_IP2_ROI,144
