"Vertex","Label","Membership","Modularity","x","y","z","Hemisphere","EigenVal","FiedlerVec","FiedlerBinary","Strength"
10101,"L_7m_ROI",2,-0.000180111700547898,-5.50805,-60.904,30.594,"L",1.00612816963288,-0.0174818989503246,"0",6079.4671405317
10102,"L_7m_ROI",2,-0.000179063497762131,-5.753,-62.2126,30.5207,"L",1.00606748264325,-0.0149159284614407,"0",6122.84922339408
10103,"L_7m_ROI",2,-0.000177910974838758,-6.00486,-63.495,30.4708,"L",1.00593225713203,-0.0155061603103126,"0",6154.40196821657
10104,"L_7m_ROI",2,-0.000176785558346673,-6.26322,-64.7496,30.4452,"L",1.00592196541811,-0.0183130179787929,"0",6196.78125425039
10105,"L_7m_ROI",2,-0.000175355779815101,-6.52723,-65.9755,30.4437,"L",1.005900598959,-0.0217882681692349,"0",6224.21932127046
10106,"L_7m_ROI",2,-0.000174293902089525,-6.79558,-67.172,30.4658,"L",1.00587929980511,-0.0236794569434475,"0",6350.61682215207
11205,"L_7m_ROI",4,-0.000173056311842261,-8.03953,-68.7946,48.0335,"L",1.00587534050802,0.00362935250639777,"1",5529.58032691444
11235,"L_7m_ROI",4,-0.000171843337736236,-7.86782,-68.9185,46.9301,"L",1.00583158928638,0.000946500989592327,"1",5521.22293981215
11264,"L_7m_ROI",4,-0.000170488901107333,-7.72029,-69.0267,45.8138,"L",1.00582680263457,0.00130024425149697,"1",5598.55396444293
11265,"L_7m_ROI",2,-0.000169072245164651,-7.58205,-67.9177,46.7704,"L",1.00581770072026,-0.00378081895628686,"0",5711.36928658086
11266,"L_7m_ROI",4,-0.000167593395448945,-7.47071,-66.8001,47.7119,"L",1.00581025208648,0.00294233523496075,"1",5550.32146394159
11267,"L_7m_ROI",4,-0.000166152570599791,-7.38782,-65.6766,48.6385,"L",1.00580216705528,0.00452353817744054,"1",5461.26104847094
11292,"L_7m_ROI",4,-0.000164674208056917,-7.59514,-69.1183,44.6853,"L",1.00578576645315,0.00111272389695073,"1",5605.9205602574
11293,"L_7m_ROI",2,-0.000163275678014404,-7.4478,-68.0153,45.6553,"L",1.0057720553242,-0.00175206131063645,"0",5446.50482441372
11294,"L_7m_ROI",2,-0.000161688881505777,-7.32701,-66.9013,46.6104,"L",1.00577106406434,-0.00350336750290058,"0",5607.95732488208
11295,"L_7m_ROI",4,-0.000160191724307321,-7.23455,-65.7793,47.5507,"L",1.00576399322117,0.000750713675628998,"1",5471.41238519381
11296,"L_7m_ROI",4,-0.000158564784868096,-7.17135,-64.6523,48.476,"L",1.00575649848168,-0.000507142649687484,"0",5320.66258545541
11297,"L_7m_ROI",4,-0.00015674954907978,-7.1376,-63.5229,49.3857,"L",1.00574520406054,0.0057715420174575,"1",5267.27800994679
11298,"L_7m_ROI",4,-0.000155205704961801,-7.13284,-62.3934,50.2792,"L",1.00573231344627,0.00354854572329069,"1",5276.80400296433
11319,"L_7m_ROI",4,-0.000153483192738016,-7.49046,-69.1922,43.5451,"L",1.00571335467903,-0.000125269106161377,"0",5617.12893207824
11320,"L_7m_ROI",2,-0.000151958019694633,-7.33438,-68.0967,44.529,"L",1.00571158780655,-0.00131668545152761,"0",5604.75814904455
11321,"L_7m_ROI",2,-0.000150542086459096,-7.20444,-66.9877,45.4982,"L",1.00570506449547,-0.00370904004860378,"0",5698.09410475365
11322,"L_7m_ROI",4,-0.000149023249130908,-7.10263,-65.8683,46.4526,"L",1.00569688680458,9.04495326322784e-05,"1",5689.44581842744
11323,"L_7m_ROI",4,-0.000147358063999831,-7.03009,-64.7418,47.3921,"L",1.00569116078039,-0.000504986346422005,"0",5689.0008438401
11324,"L_7m_ROI",4,-0.000145724236053847,-6.98717,-63.6109,48.316,"L",1.00567843125437,0.00116860329902368,"1",5608.00139869796
11325,"L_7m_ROI",4,-0.000144262046184286,-6.97357,-62.4784,49.2236,"L",1.00567178301685,0.000302477186573197,"1",5553.09972025031
11345,"L_7m_ROI",2,-0.000142606823834742,-7.40422,-69.2473,42.3938,"L",1.00566717796675,-0.00430949164843885,"0",5824.09813732074
11346,"L_7m_ROI",2,-0.000141136055205833,-7.23973,-68.1607,43.3921,"L",1.00565253939993,-0.00194407912795256,"0",5595.55926250173
11347,"L_7m_ROI",2,-0.000139622972687006,-7.10096,-67.058,44.3758,"L",1.00565115756414,-0.00220975811114478,"0",5511.29266178138
11348,"L_7m_ROI",4,-0.000138148010213225,-6.99006,-65.9426,45.3448,"L",1.00564964841538,-0.000698359214844472,"0",5369.93962847814
11349,"L_7m_ROI",4,-0.000136496566960288,-6.90834,-64.8177,46.2989,"L",1.00564118036624,-0.000501929332773242,"0",5601.2303184393
11350,"L_7m_ROI",2,-0.000134879314518344,-6.85631,-63.6864,47.2375,"L",1.00562961123668,-0.00257932833338512,"0",5506.10538386823
11351,"L_7m_ROI",2,-0.000133069317956205,-6.83382,-62.5516,48.1596,"L",1.0056259468566,-0.00202535520350085,"0",5383.48433032611
11352,"L_7m_ROI",4,-0.000131530826698721,-6.84013,-61.4157,49.0644,"L",1.00561199985397,-0.00156106258728376,"0",5546.82575119513
11370,"L_7m_ROI",2,-0.000130006514350163,-7.33427,-69.282,41.2323,"L",1.00560837429349,-0.00878876013514957,"0",5943.99665851361
11371,"L_7m_ROI",2,-0.000128213371784086,-7.16173,-68.2058,42.2451,"L",1.00560631395737,-0.00628658370065339,"0",5733.6038215292
11372,"L_7m_ROI",2,-0.000126696435556725,-7.01442,-67.111,43.2437,"L",1.00559875106851,-0.00270931633517154,"0",5585.45244652395
