"Vertex","Label","Membership","Modularity","x","y","z","Hemisphere","EigenVal","FiedlerVec","FiedlerBinary","Strength","slideFlexibility","slidePropDMN","slideFiedVec_mean","slideFiedVec_sd","Myelin","Curvature","Thickness"
10101,"L_7m_ROI",3,-0.000180527166955149,-5.50805,-60.904,30.594,"L",1.00577729808109,0.0255522698143712,"1",6717.5968425332,0.0555555555555556,0.972972972972973,-0.0247079945495395,0.00911523651011352,1.30545,-0.1187,2.58512
10102,"L_7m_ROI",3,-0.000179706792874789,-5.753,-62.2126,30.5207,"L",1.00566297372173,0.0254540200676063,"1",6745.33220376444,0.0555555555555556,0.972972972972973,-0.0251932790034334,0.00912022601648281,1.27298,-0.0981401,2.55358
10103,"L_7m_ROI",3,-0.000178737053302083,-6.00486,-63.495,30.4708,"L",1.00559045690082,0.0238008528663664,"1",6756.18961998552,0.0555555555555556,0.972972972972973,-0.0231187365017517,0.00839881304700899,1.23263,-0.0314704,2.56038
10104,"L_7m_ROI",3,-0.000177773904486036,-6.26322,-64.7496,30.4452,"L",1.0055458696554,0.0206161487823183,"1",6623.47852046128,0.0555555555555556,0.972972972972973,-0.018937989189909,0.0073007864399157,1.28386,0.145433,2.49791
10105,"L_7m_ROI",3,-0.000176951746720566,-6.52723,-65.9755,30.4437,"L",1.00551760822827,0.00902451049636015,"1",6143.75176362664,0.0555555555555556,0.972972972972973,-0.0084125017917588,0.00400757533516112,1.3506,0.332697,2.6805
10106,"L_7m_ROI",3,-0.000176055350131213,-6.79558,-67.172,30.4658,"L",1.00551164759935,0.00400500730806515,"1",5955.9353660114,0.111111111111111,0.864864864864865,-0.00321950895424333,0.00313148996140436,1.3791,0.265683,2.68076
11205,"L_7m_ROI",3,-0.00017508531782097,-8.03953,-68.7946,48.0335,"L",1.00548636449286,0.0113841539505625,"1",6246.14704600006,0.0555555555555556,0.972972972972973,-0.0109541922399663,0.00440940446035416,1.28189,0.124676,3.29756
11235,"L_7m_ROI",3,-0.000174170626611231,-7.86782,-68.9185,46.9301,"L",1.00545313132376,0.0115870388116034,"1",6027.74690999996,0.0555555555555556,0.972972972972973,-0.00874253628899292,0.00493617370147438,1.25534,0.125916,3.52834
11264,"L_7m_ROI",3,-0.00017301991108389,-7.72029,-69.0267,45.8138,"L",1.00544194785068,0.00776963321612567,"1",6055.95018091023,0.0555555555555556,0.972972972972973,-0.00533605399780535,0.00440993139129328,1.21986,0.109019,3.3858
11265,"L_7m_ROI",3,-0.000171696403685429,-7.58205,-67.9177,46.7704,"L",1.0054251976179,0.00536763862758207,"1",5985.05534289319,0.0555555555555556,0.972972972972973,-0.00393294486071529,0.00287692134700098,1.29045,0.0804014,3.18996
11266,"L_7m_ROI",3,-0.000170604397446408,-7.47071,-66.8001,47.7119,"L",1.00540108472778,0.00384865203091157,"1",5876.38044684546,0.0277777777777778,0.945945945945946,-0.00409111028349408,0.00227291950901282,1.23009,-0.00892768,2.68875
11267,"L_7m_ROI",3,-0.00016948801203226,-7.38782,-65.6766,48.6385,"L",1.00539528381499,0.00169451844527992,"1",5827.19040447839,0.0833333333333333,0.810810810810811,-0.002311893426867,0.00221606080974661,1.22878,-0.112203,2.11864
11292,"L_7m_ROI",3,-0.000168324361081792,-7.59514,-69.1183,44.6853,"L",1.0053785509125,0.0019805076656805,"1",5963.38347007343,0.138888888888889,0.810810810810811,-0.00218312790019982,0.00264245452288169,1.24356,0.0958534,2.89839
11293,"L_7m_ROI",3,-0.000166985968483845,-7.4478,-68.0153,45.6553,"L",1.00537007839148,0.00693235927497487,"1",6082.09270826137,0.0555555555555556,0.972972972972973,-0.00479812512556845,0.00400704664176051,1.26898,0.0822776,3.27022
11294,"L_7m_ROI",3,-0.000165448625593703,-7.32701,-66.9013,46.6104,"L",1.00535533852392,0.00173666172411313,"1",5504.3607489744,0.25,0.432432432432432,0.000182987905909415,0.00103442796165914,1.2865,0.0283654,2.88552
11295,"L_7m_ROI",3,-0.00016374808159136,-7.23455,-65.7793,47.5507,"L",1.00535312095372,0.0022580776837893,"1",5674.00561113802,0.138888888888889,0.864864864864865,-0.00236194101808111,0.00267481324693434,1.23837,-0.080001,2.38564
11296,"L_7m_ROI",3,-0.000162127813140464,-7.17135,-64.6523,48.476,"L",1.00533246202725,0.000578283804336637,"1",5809.63996975169,0.138888888888889,0.621621621621622,-0.00118570765745392,0.00320243165436596,1.26875,-0.19485,2.13886
11297,"L_7m_ROI",1,-0.0001604618950068,-7.1376,-63.5229,49.3857,"L",1.00532512222965,-7.03862580822131e-05,"0",5781.40378298004,0.194444444444444,0.72972972972973,-0.000555538226410778,0.0015647365406355,1.32228,-0.267896,2.40236
11298,"L_7m_ROI",3,-0.000158752321878302,-7.13284,-62.3934,50.2792,"L",1.00530699822548,0.00538204833587698,"1",5877.92686491972,0.0555555555555556,0.972972972972973,-0.00539690969372219,0.00290838034896216,1.31584,-0.212659,2.40495
11319,"L_7m_ROI",1,-0.000157156517651508,-7.49046,-69.1922,43.5451,"L",1.00530688067269,-0.00236233264151907,"0",5798.01428913046,0.138888888888889,0.189189189189189,0.00165363709606106,0.00226621900926282,1.2682,0.14855,2.57103
11320,"L_7m_ROI",3,-0.000155358854351244,-7.33438,-68.0967,44.529,"L",1.00528280678173,0.00657752651994339,"1",5941.9773214635,0.0555555555555556,0.972972972972973,-0.00456597200717463,0.00286754198080197,1.28561,0.0599756,2.8304
