"Vertex","Label","Membership","Modularity","x","y","z","Hemisphere","EigenVal","FiedlerVec","FiedlerBinary","Strength","slideFlexibility","slidePropDMN","slideFiedVec_mean","slideFiedVec_sd","Myelin","Curvature","Thickness"
10101,"L_7m_ROI",3,-0.000180072831340217,-5.50805,-60.904,30.594,"L",1.00594297093372,0.01212466605081,"1",5923.11750996181,0.0833333333333333,0.756756756756757,-0.00681915634433864,0.0105155569236213,1.39556,0.079014,2.97577
10102,"L_7m_ROI",3,-0.000179150769574625,-5.753,-62.2126,30.5207,"L",1.00592182504442,0.00704557157297649,"1",5846.83089409016,0.0833333333333333,0.648648648648649,-0.00434072853475846,0.00799322537851178,1.41489,0.0773036,2.40837
10103,"L_7m_ROI",3,-0.000178303130117609,-6.00486,-63.495,30.4708,"L",1.00588935422316,0.00770908197738951,"1",5809.26195789618,0.0833333333333333,0.756756756756757,-0.00517538659098401,0.00732039345318553,1.40691,0.149952,2.19442
10104,"L_7m_ROI",3,-0.000177242477050421,-6.26322,-64.7496,30.4452,"L",1.00581184560595,0.0103633082223815,"1",5922.74955057078,0.0833333333333333,0.756756756756757,-0.00619214221460237,0.00847973802175037,1.3742,0.325348,2.04507
10105,"L_7m_ROI",3,-0.000175531529938386,-6.52723,-65.9755,30.4437,"L",1.00580484435675,0.014333503118106,"1",6046.1616597827,0.0833333333333333,0.756756756756757,-0.00739369315218637,0.0118487493194767,1.32924,0.317514,2.13378
10106,"L_7m_ROI",3,-0.000174360564971326,-6.79558,-67.172,30.4658,"L",1.00578601066208,0.0183658139433749,"1",6183.44563100053,0.0833333333333333,0.756756756756757,-0.00915604127808712,0.0151766543422229,1.31691,0.00119143,2.50459
11205,"L_7m_ROI",2,-0.000173067087482677,-8.03953,-68.7946,48.0335,"L",1.00577300312634,0.00201845095121791,"1",5883.92664936764,0.166666666666667,0.567567567567568,-0.000197026134439785,0.00329252354832831,1.46829,-0.125616,2.36064
11235,"L_7m_ROI",2,-0.000171443419408998,-7.86782,-68.9185,46.9301,"L",1.00575209166549,0.0026535244054437,"1",5784.2237221536,0.166666666666667,0.621621621621622,3.28977242048752e-05,0.0033467533937353,1.45661,-0.136037,2.4623
11264,"L_7m_ROI",2,-0.000169394573190657,-7.72029,-69.0267,45.8138,"L",1.00573657060207,0.0032591566631268,"1",5859.56963865691,0.222222222222222,0.648648648648649,0.000188149601542611,0.00332793780425034,1.43224,-0.105035,2.46163
11265,"L_7m_ROI",2,-0.000167557527418889,-7.58205,-67.9177,46.7704,"L",1.00572388396052,0.00379811836297119,"1",5869.85851653798,0.166666666666667,0.594594594594595,-0.000255178182473572,0.00418423334675363,1.39653,-0.133943,2.69489
11266,"L_7m_ROI",3,-0.000165677945300601,-7.47071,-66.8001,47.7119,"L",1.005717596479,0.00814154746562032,"1",5993.4853821436,0.0833333333333333,0.756756756756757,-0.00330734633040467,0.00799492665120539,1.32846,-0.130313,2.9912
11267,"L_7m_ROI",3,-0.00016370230978629,-7.38782,-65.6766,48.6385,"L",1.00569422700917,0.0111799158437312,"1",6002.91295995546,0.0833333333333333,0.756756756756757,-0.00508470832553693,0.00964538246078946,1.31277,-0.0147484,3.16643
11292,"L_7m_ROI",2,-0.000161615263484625,-7.59514,-69.1183,44.6853,"L",1.00568690956619,0.00271420086971892,"1",5885.95380232881,0.25,0.486486486486487,0.000742344365531528,0.00243526948514248,1.38691,-0.0441679,2.42859
11293,"L_7m_ROI",2,-0.000159473905483437,-7.4478,-68.0153,45.6553,"L",1.00568304660866,0.00358812969812051,"1",5879.08102597785,0.111111111111111,0.621621621621622,-1.39896038416404e-06,0.00394633299856626,1.39866,-0.0980387,2.49916
11294,"L_7m_ROI",3,-0.000157035101139075,-7.32701,-66.9013,46.6104,"L",1.00567525997166,0.00676266146747813,"1",5894.1396380757,0.138888888888889,0.72972972972973,-0.00256435222425508,0.00696468674370782,1.32304,-0.101762,2.75003
11295,"L_7m_ROI",3,-0.000154547901540194,-7.23455,-65.7793,47.5507,"L",1.00566608116083,0.0118236908303136,"1",5984.73835317196,0.0833333333333333,0.756756756756757,-0.00567886938672122,0.0104123134660511,1.29415,0.0118258,2.9585
11296,"L_7m_ROI",3,-0.000152080707083827,-7.17135,-64.6523,48.476,"L",1.00565676289665,0.0086740342338744,"1",5770.57225801405,0.0833333333333333,0.756756756756757,-0.00509938855695032,0.00866065959399644,1.31662,0.188209,2.99479
11297,"L_7m_ROI",3,-0.000149623521466788,-7.1376,-63.5229,49.3857,"L",1.00564891492877,0.0063549114082577,"1",5675.89934612839,0.111111111111111,0.675675675675676,-0.00370822882796389,0.00827894691942182,1.3065,0.0960466,2.83899
11298,"L_7m_ROI",3,-0.000147119737156903,-7.13284,-62.3934,50.2792,"L",1.0056374727768,0.00571588315898463,"1",5657.54303635377,0.111111111111111,0.702702702702703,-0.00247982776542081,0.00662948464128332,1.3127,0.0743208,2.51708
11319,"L_7m_ROI",2,-0.000144482951610698,-7.49046,-69.1922,43.5451,"L",1.00562912548964,0.00251202861316863,"1",5836.86992810676,0.0833333333333333,0.297297297297297,0.00102276253555703,0.00211759730251059,1.39769,0.00401259,2.38709
