"Vertex","Label","Membership","Modularity","x","y","z","Hemisphere","EigenVal","FiedlerVec","FiedlerBinary","Strength","slideFlexibility","slidePropDMN","slideFiedVec_mean","slideFiedVec_sd","Myelin","Curvature","Thickness"
10101,"L_7m_ROI",2,-0.000180014321550173,-5.50805,-60.904,30.594,"L",1.00640487703495,0.0218379100963378,"1",5996.68221526069,0,1,-0.0239439222258287,0.00135351626962866,1.27882,0.0456687,2.81253
10102,"L_7m_ROI",2,-0.000179254610014506,-5.753,-62.2126,30.5207,"L",1.00629098365514,0.0218256917112164,"1",5980.10666739148,0,1,-0.023167733102075,0.00246698795236691,1.31347,0.112802,2.89808
10103,"L_7m_ROI",2,-0.000178362961577361,-6.00486,-63.495,30.4708,"L",1.00626818631656,0.0194478208126719,"1",6035.48003563609,0,1,-0.0196871609405198,0.00243983110529954,1.35677,0.237964,3.08512
10104,"L_7m_ROI",2,-0.000177022386722658,-6.26322,-64.7496,30.4452,"L",1.00625036445478,0.0201631632446775,"1",6081.89173595252,0,1,-0.0204414030766408,0.00298151949544272,1.38543,0.241101,3.54532
10105,"L_7m_ROI",2,-0.000175537511302983,-6.52723,-65.9755,30.4437,"L",1.00624070831767,0.0206558107891093,"1",6063.47801888859,0,1,-0.0213314077953484,0.00115549172093953,1.3815,0.200383,3.66305
10106,"L_7m_ROI",2,-0.000173783684889867,-6.79558,-67.172,30.4658,"L",1.00623097611346,0.00836116442842949,"1",5904.36822067774,0,1,-0.0102828728335382,0.00386485739837414,1.40337,0.130666,3.41823
11205,"L_7m_ROI",2,-0.000172275964713453,-8.03953,-68.7946,48.0335,"L",1.00621656898669,0.00601168336486836,"1",5756.46151876695,0.0588235294117647,0.628571428571429,-0.00393313320907736,0.00623996930107824,1.24474,0.0372769,3.15197
11235,"L_7m_ROI",2,-0.000170635954310633,-7.86782,-68.9185,46.9301,"L",1.0062089196002,0.00287561019203155,"1",5502.68423065482,0.0588235294117647,0.628571428571429,-0.000776545504008428,0.00419247261496237,1.22808,0.0313291,3.17559
11264,"L_7m_ROI",2,-0.000168751235641626,-7.72029,-69.0267,45.8138,"L",1.00620296038802,0.000173150964646318,"1",5259.99267841025,0.147058823529412,0.228571428571429,0.000771654476557898,0.00269661314488536,1.24525,0.039791,3.13119
11265,"L_7m_ROI",2,-0.000166771168237379,-7.58205,-67.9177,46.7704,"L",1.00617499879822,0.0197931522591387,"1",5876.95695851615,0,1,-0.0191040290399033,0.00314346032790731,1.18955,-0.0384128,2.99775
11266,"L_7m_ROI",2,-0.000164636493174867,-7.47071,-66.8001,47.7119,"L",1.0061644508837,0.0283580737311535,"1",5920.73073103924,0,1,-0.0266490328833056,0.00256919647738217,1.18639,-0.0699905,2.6875
11267,"L_7m_ROI",2,-0.000162391312471293,-7.38782,-65.6766,48.6385,"L",1.00615288559084,0.0247530019770424,"1",5922.46512809106,0,1,-0.0227078131595711,0.00160112567784741,1.23674,-0.00267657,2.54109
11292,"L_7m_ROI",3,-0.00016014589848658,-7.59514,-69.1183,44.6853,"L",1.00614939125777,-4.8830694469747e-05,"0",5442.68292057381,0.176470588235294,0.828571428571429,-0.00141819631364375,0.00138625044926393,1.28486,0.0587881,3.46371
11293,"L_7m_ROI",2,-0.000157805881361744,-7.4478,-68.0153,45.6553,"L",1.00613469069231,0.0147177032333748,"1",5660.65054440831,0,1,-0.0150312565361145,0.00432140840191993,1.23044,-0.0271953,2.84622
11294,"L_7m_ROI",2,-0.000155319616021557,-7.32701,-66.9013,46.6104,"L",1.00611931109585,0.0292163755701777,"1",6021.60678909484,0,1,-0.0288669291688431,0.00238975569774081,1.2297,-0.111344,2.368
11295,"L_7m_ROI",2,-0.000152949690527193,-7.23455,-65.7793,47.5507,"L",1.00611084557297,0.029487777382526,"1",6049.98472556064,0,1,-0.0279602612245489,0.00261127435518674,1.24977,-0.103774,2.32789
11296,"L_7m_ROI",2,-0.000150492767498553,-7.17135,-64.6523,48.476,"L",1.00610635484428,0.0222544266052814,"1",6042.35425446033,0,1,-0.0200522384046596,0.00288381405465947,1.25021,0.00100058,2.72356
11297,"L_7m_ROI",2,-0.000148132284870751,-7.1376,-63.5229,49.3857,"L",1.00609250725723,0.0079072599160713,"1",5722.87484753692,0,1,-0.00476624595849035,0.00330179340412382,1.25849,0.183867,3.39425
11298,"L_7m_ROI",2,-0.000145636074222024,-7.13284,-62.3934,50.2792,"L",1.00608910116827,0.00170303588161155,"1",5359.15204530334,0.0294117647058824,0.228571428571429,0.00215736934573228,0.00577997089959106,1.30564,0.274341,3.59892
11319,"L_7m_ROI",2,-0.000143217680417323,-7.49046,-69.1922,43.5451,"L",1.00607794061361,0.00783056520394778,"1",5438.96965280143,0,1,-0.00649307975182377,0.00192193358038565,1.34854,0.0695811,3.67887
11320,"L_7m_ROI",2,-0.000140764172691223,-7.33438,-68.0967,44.529,"L",1.00607274926164,0.0165459491553692,"1",5571.08507357814,0,1,-0.0165274930411467,0.00315355243096181,1.27661,-8.60806e-05,2.97103
11321,"L_7m_ROI",2,-0.000138178962780866,-7.20444,-66.9877,45.4982,"L",1.00605778862665,0.0288897612340401,"1",5977.26390600388,0,1,-0.0287258064414259,0.00244009047159133,1.25087,-0.10526,2.37425
11322,"L_7m_ROI",2,-0.000135430394408998,-7.10263,-65.8683,46.4526,"L",1.00605197755433,0.0302997354143349,"1",6051.93594456723,0,1,-0.0289860087040257,0.00327419699694136,1.28596,-0.148926,2.18098
11323,"L_7m_ROI",2,-0.000132839533303603,-7.03009,-64.7418,47.3921,"L",1.00604513531869,0.027369401323474,"1",5977.48744960886,0,1,-0.0240702580342734,0.00395531419671248,1.2743,-0.0950737,2.45455
11324,"L_7m_ROI",2,-0.000130176635628052,-6.98717,-63.6109,48.316,"L",1.00603552260113,0.0173503452829118,"1",5890.9933122172,0,1,-0.013862988052172,0.00435385055104015,1.27869,0.0719688,2.87692
11325,"L_7m_ROI",2,-0.000127356581567593,-6.97357,-62.4784,49.2236,"L",1.00602635878911,0.00448669079504015,"1",5720.18241453596,0.0588235294117647,0.457142857142857,-0.00030887293625736,0.00601796384831222,1.27654,0.249676,3.56154
11345,"L_7m_ROI",2,-0.000124585760310355,-7.40422,-69.2473,42.3938,"L",1.00601430949543,0.0131913980507254,"1",5808.84321824527,0,1,-0.014100824642905,0.00236426522627697,1.36506,0.0988313,3.64371
11346,"L_7m_ROI",2,-0.00012186149837089,-7.23973,-68.1607,43.3921,"L",1.00601181158092,0.018871699284122,"1",5799.5816074511,0,1,-0.0198638206886354,0.00239880133343914,1.31134,0.0379452,3.19167
11347,"L_7m_ROI",2,-0.000119131646629151,-7.10096,-67.058,44.3758,"L",1.0060080311632,0.0288802028661437,"1",6040.67904436922,0,1,-0.0290725496116383,0.00333691099301672,1.26846,-0.0893664,2.46449
11348,"L_7m_ROI",2,-0.000116361491506843,-6.99006,-65.9426,45.3448,"L",1.00600169669975,0.0299093301298833,"1",6047.2716683477,0,1,-0.0286626818005069,0.00341233030735828,1.2586,-0.158379,2.20671
11349,"L_7m_ROI",2,-0.000113553388986783,-6.90834,-64.8177,46.2989,"L",1.00599606351543,0.0262903852650125,"1",5947.56388126206,0,1,-0.0230405869800242,0.00349035157326899,1.29717,-0.16196,2.34919
11350,"L_7m_ROI",2,-0.000110684198955443,-6.85631,-63.6864,47.2375,"L",1.00598515461883,0.0254709918227278,"1",5982.75987763021,0,1,-0.0219670035812782,0.00408735603310725,1.25595,-0.0534685,2.72561
11351,"L_7m_ROI",2,-0.000107800226546011,-6.83382,-62.5516,48.1596,"L",1.00598069602664,0.0110796755515204,"1",5802.04634335703,0.0588235294117647,0.885714285714286,-0.00678982973914181,0.00664505788134682,1.29142,0.131584,3.07321
11352,"L_7m_ROI",2,-0.000104858868380547,-6.84013,-61.4157,49.0644,"L",1.00597381686569,0.00488699351665926,"1",5623.97604432869,0.0882352941176471,0.314285714285714,-0.000633093284822149,0.00785207363398301,1.3035,0.277043,3.54925
11370,"L_7m_ROI",2,-0.000101977494622369,-7.33427,-69.282,41.2323,"L",1.00596157309537,0.0206896813970679,"1",5887.29187256229,0,1,-0.02084870585166,0.00110843109944511,1.34472,0.139548,3.52868
11371,"L_7m_ROI",2,-9.91043720697609e-05,-7.16173,-68.2058,42.2451,"L",1.00595752380365,0.0237674141244432,"1",5880.56035562983,0,1,-0.0244036493706854,0.00179005758511023,1.3281,0.0921936,3.42035
11372,"L_7m_ROI",2,-9.62069807806943e-05,-7.01442,-67.111,43.2437,"L",1.00595081736287,0.0258945701765169,"1",5984.82259074486,0,1,-0.0258087964815943,0.0033330474182793,1.30751,-0.0510445,2.65318
11373,"L_7m_ROI",2,-9.32187333338824e-05,-6.8947,-66.0009,44.2278,"L",1.00594150939955,0.0273378991025522,"1",6008.02735954681,0,1,-0.0265447232537649,0.00390952885325109,1.26384,-0.144233,2.41983
11374,"L_7m_ROI",2,-9.01843562723058e-05,-6.804,-64.8789,45.197,"L",1.00593948617075,0.026235823845712,"1",5994.76719718499,0,1,-0.0241311193334566,0.00330253638661036,1.26261,-0.179049,2.39886
11375,"L_7m_ROI",2,-8.71186474574963e-05,-6.74297,-63.7483,46.1506,"L",1.00593427358271,0.0257301319176382,"1",5975.75111552586,0,1,-0.0225734445489232,0.00385881528219458,1.28358,-0.120852,2.60854
11376,"L_7m_ROI",2,-8.40749665895891e-05,-6.71157,-62.612,47.0878,"L",1.00593048148251,0.0216250229993009,"1",5972.09449451815,0,1,-0.0179010012590428,0.00505677892073507,1.29183,0.0256341,2.95168
11377,"L_7m_ROI",2,-8.07830410299806e-05,-6.70921,-61.4729,48.0073,"L",1.00592278719848,0.00750433294160606,"1",5674.58585576719,0.0588235294117647,0.714285714285714,-0.00482589776441544,0.0078503986110713,1.29992,0.195224,3.2772
11394,"L_7m_ROI",2,-7.75464344228193e-05,-7.27841,-69.2946,40.0613,"L",1.00591137806586,0.0236219117372503,"1",5953.37817518982,0,1,-0.0228816790395892,0.00108758545676849,1.28063,0.175472,3.52128
11395,"L_7m_ROI",2,-7.41192168055384e-05,-7.09812,-68.2306,41.0889,"L",1.00590785587229,0.0257924001699982,"1",5887.49409727295,0,1,-0.0256477211852267,0.00149467742214144,1.32066,0.128013,3.4244
11396,"L_7m_ROI",2,-7.06169630371928e-05,-6.9426,-67.1452,42.1026,"L",1.00589559949638,0.0269261466118367,"1",5874.85951874991,0,1,-0.0253352438366304,0.00306126206712614,1.32621,-0.0276317,2.70202
11397,"L_7m_ROI",2,-6.68618983152815e-05,-6.81433,-66.042,43.1021,"L",1.00588905903885,0.026708224887894,"1",5904.96079295114,0,1,-0.0251429463152182,0.00374086913389055,1.28444,-0.132597,2.40918
11398,"L_7m_ROI",2,-6.31929823907403e-05,-6.71487,-64.9242,44.0867,"L",1.00588176148982,0.0236253414328208,"1",5916.66397738137,0,1,-0.0217741507360481,0.00315062023338371,1.29018,-0.176189,2.17939
11399,"L_7m_ROI",2,-5.93420758576039e-05,-6.64498,-63.7954,45.0559,"L",1.00588074627612,0.0220310093236399,"1",5924.9796934363,0,1,-0.019326649600398,0.0033478981284423,1.34253,-0.165898,2.41358
11400,"L_7m_ROI",2,-5.52410978454253e-05,-6.60473,-62.6588,46.0084,"L",1.00587169334094,0.0227531692961087,"1",5955.01581963726,0,1,-0.0206714915788612,0.00361193296096778,1.30142,-0.0568462,2.79544
11401,"L_7m_ROI",2,-5.12233907370808e-05,-6.5936,-61.5173,46.9432,"L",1.00586736077343,0.016079636329205,"1",5839.84824581578,0,1,-0.0145872288648037,0.00615080957588229,1.30815,0.0802519,2.99455
11402,"L_7m_ROI",2,-4.70509454092114e-05,-6.61062,-60.3736,47.8589,"L",1.00586619704689,0.012266278509514,"1",5760.55912911748,0,1,-0.00956282843929086,0.00609349364111881,1.30945,0.236478,3.5368
11418,"L_7m_ROI",2,-4.27143488984138e-05,-7.0466,-68.233,39.9243,"L",1.00585999465963,0.027539593911552,"1",5969.06874447669,0,1,-0.0270984678958903,0.00181927031159874,1.31773,0.156222,3.58194
