"Vertex","Label","Membership","Modularity","x","y","z","Hemisphere","EigenVal","FiedlerVec","FiedlerBinary","Strength"
10101,"L_7m_ROI",2,-0.000180100148657209,-5.50805,-60.904,30.594,"L",1.00621446446489,-0.0103736344876525,"0",6103.63666913594
10102,"L_7m_ROI",2,-0.000179012690013855,-5.753,-62.2126,30.5207,"L",1.00612177269906,-0.0122004328185571,"0",6012.04863771237
10103,"L_7m_ROI",2,-0.000177556510294226,-6.00486,-63.495,30.4708,"L",1.00609007271208,-0.0150676335190458,"0",6146.89181341298
10104,"L_7m_ROI",2,-0.00017553447916342,-6.26322,-64.7496,30.4452,"L",1.00607313778034,-0.0179198778721282,"0",6179.04922576946
10105,"L_7m_ROI",2,-0.000173474212139559,-6.52723,-65.9755,30.4437,"L",1.00606759089614,-0.0133523505564369,"0",6068.82806706108
10106,"L_7m_ROI",2,-0.000170807930067055,-6.79558,-67.172,30.4658,"L",1.00605784821195,-0.00639720184909991,"0",5969.18319587886
11205,"L_7m_ROI",2,-0.00016813645117344,-8.03953,-68.7946,48.0335,"L",1.00603215798328,-0.00293044321222871,"0",6034.3495455507
11235,"L_7m_ROI",2,-0.000164891153170648,-7.86782,-68.9185,46.9301,"L",1.00601712049938,-0.00415962047730718,"0",5906.66156831846
11264,"L_7m_ROI",2,-0.000161840327486473,-7.72029,-69.0267,45.8138,"L",1.00600145373802,-0.00383538725816951,"0",5928.5998387295
11265,"L_7m_ROI",2,-0.000158502850193382,-7.58205,-67.9177,46.7704,"L",1.00599654972928,-0.00389898727474927,"0",6026.95111251608
11266,"L_7m_ROI",2,-0.000155095532318493,-7.47071,-66.8001,47.7119,"L",1.0059834859032,-0.00949451264354493,"0",5976.67204889941
11267,"L_7m_ROI",2,-0.000151387557813459,-7.38782,-65.6766,48.6385,"L",1.00597661912603,-0.00931866739910552,"0",5864.09512732854
11292,"L_7m_ROI",2,-0.000148192660729026,-7.59514,-69.1183,44.6853,"L",1.00595729159911,-0.00212981295400502,"0",5951.59948989062
11293,"L_7m_ROI",2,-0.000144894659519946,-7.4478,-68.0153,45.6553,"L",1.00595119835223,-0.00332796960298549,"0",6012.59188826947
11294,"L_7m_ROI",2,-0.000141378453365278,-7.32701,-66.9013,46.6104,"L",1.00593924269356,-0.00928198550071261,"0",5956.57875548051
11295,"L_7m_ROI",2,-0.000137365717479678,-7.23455,-65.7793,47.5507,"L",1.00593314211031,-0.0163170660632321,"0",5979.85891126463
