"Vertex","Label","Membership","Modularity","x","y","z","Hemisphere","EigenVal","FiedlerVec","FiedlerBinary","Strength","slideFlexibility","slidePropDMN","slideFiedVec_mean","slideFiedVec_sd","Myelin","Curvature","Thickness"
10101,"L_7m_ROI",1,-0.000180155458808236,-5.50805,-60.904,30.594,"L",1.00658644888031,0.0150674890558057,"1",6034.47966940872,0.0555555555555556,0.972972972972973,-0.0149196257597332,0.00568262976767451,1.35694,-0.209808,2.95478
10102,"L_7m_ROI",1,-0.000179157518722554,-5.753,-62.2126,30.5207,"L",1.006465975581,0.0147098724137635,"1",6009.09198707328,0.0555555555555556,0.972972972972973,-0.0137255656693629,0.00468637688566119,1.38196,-0.215014,3.18626
10103,"L_7m_ROI",1,-0.000178318631896117,-6.00486,-63.495,30.4708,"L",1.0063816753197,0.0165421869460688,"1",5988.15128941797,0.0555555555555556,0.972972972972973,-0.0141376660068541,0.00559847539858322,1.4032,-0.202741,3.29195
10104,"L_7m_ROI",1,-0.000177209506935645,-6.26322,-64.7496,30.4452,"L",1.00634985508721,0.0202559722811475,"1",6110.13225215624,0.0555555555555556,0.972972972972973,-0.0176879996922572,0.00712104648361609,1.4066,-0.0742524,3.20609
10105,"L_7m_ROI",1,-0.000175840858017056,-6.52723,-65.9755,30.4437,"L",1.00631264320553,0.0165416656841757,"1",5988.53765447316,0.0555555555555556,0.972972972972973,-0.0143207638984343,0.00536210153559132,1.36058,0.252902,2.93271
10106,"L_7m_ROI",1,-0.000174371903040365,-6.79558,-67.172,30.4658,"L",1.00629290534853,0.0132550859897802,"1",5894.75306051848,0.0555555555555556,0.972972972972973,-0.013107112963148,0.00591203408898558,1.38733,0.325714,2.36909
11205,"L_7m_ROI",2,-0.000172855823051509,-8.03953,-68.7946,48.0335,"L",1.0062550123251,-0.00584501790385437,"0",5441.81207105743,0.0555555555555556,0.027027027027027,0.00570157519682675,0.00530646587773155,1.27365,0.303623,2.82272
11235,"L_7m_ROI",2,-0.000171297570115981,-7.86782,-68.9185,46.9301,"L",1.00624114329011,-0.00533063514464807,"0",5195.44963671484,0.0277777777777778,0.0540540540540541,0.00584717386578928,0.00418792630251342,1.30098,0.319385,2.79875
11264,"L_7m_ROI",2,-0.000168985304567004,-7.72029,-69.0267,45.8138,"L",1.00623281392109,-0.00469515658912473,"0",5085.08525788502,0.138888888888889,0.135135135135135,0.00554066313016514,0.00405973977959441,1.32401,0.292895,2.67606
11265,"L_7m_ROI",2,-0.000167032296666085,-7.58205,-67.9177,46.7704,"L",1.00622025350576,-0.00806751410756639,"0",5169.86595882965,0.0555555555555556,0.027027027027027,0.00967892531135713,0.00650534081692551,1.33068,0.0924011,2.80655
11266,"L_7m_ROI",2,-0.000165013982540299,-7.47071,-66.8001,47.7119,"L",1.00621054146591,-0.00691298894753237,"0",5162.87820031113,0.0833333333333333,0.108108108108108,0.00875330475624585,0.0057195852218046,1.34815,-0.0317001,2.84576
