"Vertex","Label","Membership","Modularity","x","y","z","Hemisphere","EigenVal","FiedlerVec","FiedlerBinary","Strength"
10101,"L_7m_ROI",2,-0.00018013925603969,-5.50805,-60.904,30.594,"L",1.0065806037014,-0.016329598752261,"0",6084.87514003371
10102,"L_7m_ROI",2,-0.000179272666278211,-5.753,-62.2126,30.5207,"L",1.00646474417738,-0.0160704915473255,"0",6060.35339282722
10103,"L_7m_ROI",2,-0.000178539576233151,-6.00486,-63.495,30.4708,"L",1.00640761617231,-0.0161319657277679,"0",6017.69472487866
10104,"L_7m_ROI",2,-0.000177854862301345,-6.26322,-64.7496,30.4452,"L",1.00636750022452,-0.0123622540427532,"0",5969.04982578587
10105,"L_7m_ROI",2,-0.000177191002867872,-6.52723,-65.9755,30.4437,"L",1.00635377957834,-0.0151681614186826,"0",6093.41247937992
10106,"L_7m_ROI",2,-0.000176574631094052,-6.79558,-67.172,30.4658,"L",1.00632408473588,-0.0113673245220762,"0",6072.85122794183
11205,"L_7m_ROI",2,-0.000175496811069725,-8.03953,-68.7946,48.0335,"L",1.00631660179908,-0.0153941027973629,"0",6012.308642406
11235,"L_7m_ROI",2,-0.000174569264877397,-7.86782,-68.9185,46.9301,"L",1.00629716149387,-0.0165014056489832,"0",5775.23007823301
11264,"L_7m_ROI",2,-0.000173482496357299,-7.72029,-69.0267,45.8138,"L",1.00628808006484,-0.012802065253715,"0",5820.49394740049
11265,"L_7m_ROI",2,-0.000172543474431616,-7.58205,-67.9177,46.7704,"L",1.00627443873698,-0.0201628313759625,"0",5869.20358283481
11266,"L_7m_ROI",2,-0.000171387847942282,-7.47071,-66.8001,47.7119,"L",1.00626781293626,-0.0177391936696723,"0",5817.33882597059
11267,"L_7m_ROI",2,-0.000169986799763344,-7.38782,-65.6766,48.6385,"L",1.00626371461874,-0.0140417567997843,"0",5700.65590225549
11292,"L_7m_ROI",2,-0.000168380349697437,-7.59514,-69.1183,44.6853,"L",1.0062309678186,-0.0112932070574857,"0",5731.57177514542
11293,"L_7m_ROI",2,-0.000166439650671953,-7.4478,-68.0153,45.6553,"L",1.00622573356123,-0.0195067780034113,"0",5935.86801429708
11294,"L_7m_ROI",2,-0.000164515285494288,-7.32701,-66.9013,46.6104,"L",1.00621896562855,-0.0182609387068399,"0",5879.75827000382
11295,"L_7m_ROI",2,-0.000162674027099891,-7.23455,-65.7793,47.5507,"L",1.00621275956025,-0.0159530236990316,"0",5805.95365788367
11296,"L_7m_ROI",2,-0.000160881182093088,-7.17135,-64.6523,48.476,"L",1.00620718239378,-0.0122226230006861,"0",5746.79108925789
11297,"L_7m_ROI",2,-0.000158991768385196,-7.1376,-63.5229,49.3857,"L",1.00619441087903,-0.0125436923892397,"0",5698.53266172
11298,"L_7m_ROI",2,-0.000157150761993037,-7.13284,-62.3934,50.2792,"L",1.00618331885325,-0.00022929086313825,"0",5372.68910413852
11319,"L_7m_ROI",2,-0.0001553399492648,-7.49046,-69.1922,43.5451,"L",1.00617330757187,-0.00964210516303315,"0",5759.24052983498
11320,"L_7m_ROI",2,-0.000153571741138337,-7.33438,-68.0967,44.529,"L",1.00616902949002,-0.0197168465044414,"0",5881.82322822432
11321,"L_7m_ROI",2,-0.000151808882782675,-7.20444,-66.9877,45.4982,"L",1.00615918699095,-0.0184038773051201,"0",5882.62777336935
11322,"L_7m_ROI",2,-0.000150164753369065,-7.10263,-65.8683,46.4526,"L",1.00613817782033,-0.019966563019003,"0",5946.48132836432
11323,"L_7m_ROI",2,-0.000148358392864703,-7.03009,-64.7418,47.3921,"L",1.0061321970686,-0.0156119126187471,"0",5911.95213063539
11324,"L_7m_ROI",2,-0.000146591569214164,-6.98717,-63.6109,48.316,"L",1.00612894707986,-0.0115452828967608,"0",5721.8581684293
11325,"L_7m_ROI",2,-0.000144821444833406,-6.97357,-62.4784,49.2236,"L",1.00611830798645,-0.00315666110855157,"0",5283.27832952183
11345,"L_7m_ROI",2,-0.000143167167899446,-7.40422,-69.2473,42.3938,"L",1.00611475508579,-0.0144602744922716,"0",5836.41398199061
11346,"L_7m_ROI",2,-0.000141506579349909,-7.23973,-68.1607,43.3921,"L",1.00610477672747,-0.0183912382844059,"0",6030.09490375376
11347,"L_7m_ROI",2,-0.000139736553040671,-7.10096,-67.058,44.3758,"L",1.00609378107473,-0.0184185996961438,"0",5917.98855911938
11348,"L_7m_ROI",2,-0.000138003317314694,-6.99006,-65.9426,45.3448,"L",1.006089308761,-0.0210399012938908,"0",5966.20493013729
11349,"L_7m_ROI",2,-0.000136241367402632,-6.90834,-64.8177,46.2989,"L",1.00607778213045,-0.0201393024904702,"0",5940.81009383698
11350,"L_7m_ROI",2,-0.000134454921317418,-6.85631,-63.6864,47.2375,"L",1.00606160663313,-0.0105999834493888,"0",5666.96469100232
11351,"L_7m_ROI",2,-0.000132565491763223,-6.83382,-62.5516,48.1596,"L",1.00605549505435,-0.0047101725398159,"0",5391.60200713277
11352,"L_7m_ROI",2,-0.000130698127492422,-6.84013,-61.4157,49.0644,"L",1.00605048014672,-0.000328140708332602,"0",5244.84165428008
11370,"L_7m_ROI",2,-0.000128786157773682,-7.33427,-69.282,41.2323,"L",1.00603949359487,-0.0214622338742617,"0",6002.54416885124
11371,"L_7m_ROI",2,-0.000126891329171658,-7.16173,-68.2058,42.2451,"L",1.00603497273353,-0.0215167992042695,"0",6013.87926657269
11372,"L_7m_ROI",2,-0.000124973030037878,-7.01442,-67.111,43.2437,"L",1.00602900758651,-0.0208684393724918,"0",5981.00481884105
11373,"L_7m_ROI",2,-0.000122751940871881,-6.8947,-66.0009,44.2278,"L",1.00602274458768,-0.0216134976751815,"0",5982.77011054147
11374,"L_7m_ROI",2,-0.000120411924336689,-6.804,-64.8789,45.197,"L",1.00602102107357,-0.0240058586157929,"0",6071.16362539216
11375,"L_7m_ROI",2,-0.000117964462472736,-6.74297,-63.7483,46.1506,"L",1.00600603997157,-0.0150756840616204,"0",5854.9082994805
11376,"L_7m_ROI",2,-0.00011527623607258,-6.71157,-62.612,47.0878,"L",1.0060036891741,-0.00438853716853862,"0",5515.13676282466
11377,"L_7m_ROI",2,-0.000112747488508635,-6.70921,-61.4729,48.0073,"L",1.00599605572771,-0.00654027749316702,"0",5522.71841562426
11394,"L_7m_ROI",2,-0.000110147420204632,-7.27841,-69.2946,40.0613,"L",1.00598895456476,-0.0232562626730228,"0",6097.51467014812
11395,"L_7m_ROI",2,-0.000107410634064664,-7.09812,-68.2306,41.0889,"L",1.00598284908801,-0.0238636975271566,"0",6090.84317785537
11396,"L_7m_ROI",2,-0.00010452159588483,-6.9426,-67.1452,42.1026,"L",1.00596888683383,-0.0226124650455422,"0",5980.06959070996
11397,"L_7m_ROI",2,-0.000101632394793775,-6.81433,-66.042,43.1021,"L",1.00596452994302,-0.0235101098605971,"0",5987.25401774643
11398,"L_7m_ROI",2,-9.87000507354506e-05,-6.71487,-64.9242,44.0867,"L",1.00595427285024,-0.02626966005536,"0",6095.42498071031
11399,"L_7m_ROI",2,-9.59174225765566e-05,-6.64498,-63.7954,45.0559,"L",1.00595156806647,-0.0209355654597894,"0",5909.73931998653
11400,"L_7m_ROI",2,-9.31648900320823e-05,-6.60473,-62.6588,46.0084,"L",1.00594710127763,-0.00842534229548015,"0",5511.50086858822
11401,"L_7m_ROI",2,-9.03356833975087e-05,-6.5936,-61.5173,46.9432,"L",1.00593968517939,-0.0114583049165163,"0",5549.62589314616
11402,"L_7m_ROI",2,-8.74409310397307e-05,-6.61062,-60.3736,47.8589,"L",1.00593052851914,-0.0059248544537748,"0",5350.86286409924
11418,"L_7m_ROI",2,-8.45363215508155e-05,-7.0466,-68.233,39.9243,"L",1.00592513654669,-0.0231864801598962,"0",6033.03207701169
11419,"L_7m_ROI",2,-8.15790937307056e-05,-6.88316,-67.1588,40.9532,"L",1.00592099767313,-0.0235941160288622,"0",6021.45283899376
11420,"L_7m_ROI",2,-7.86478336389093e-05,-6.74661,-66.064,41.9683,"L",1.00591269508316,-0.0253625830424068,"0",6079.2231834018
11421,"L_7m_ROI",2,-7.57770865077804e-05,-6.63863,-64.9521,42.9688,"L",1.00590354312556,-0.0288516751706388,"0",6194.36873465114
11422,"L_7m_ROI",2,-7.29202083172213e-05,-6.56008,-63.8265,43.9538,"L",1.00589746226435,-0.0239040703731137,"0",6109.5666385884
11423,"L_7m_ROI",2,-7.00335150390215e-05,-6.51107,-62.6907,44.9222,"L",1.00589556746669,-0.0128768940741543,"0",5746.2203876079
11424,"L_7m_ROI",2,-6.70038674963336e-05,-6.49118,-61.5478,45.8726,"L",1.00588891856512,-0.0168211585602011,"0",5726.85550843718
11425,"L_7m_ROI",2,-6.37370333583092e-05,-6.49949,-60.4007,46.8037,"L",1.00588690629192,-0.00898620120119702,"0",5478.71957210737
11440,"L_7m_ROI",2,-6.07341544204051e-05,-7.00482,-68.2111,38.7522,"L",1.00588041448366,-0.0215380634919368,"0",5960.66736065148
11441,"L_7m_ROI",2,-5.7521179119413e-05,-6.83372,-67.1499,39.7965,"L",1.005877890489,-0.0223437518678589,"0",5942.88663799074
11442,"L_7m_ROI",2,-5.40633731954752e-05,-6.68917,-66.0653,40.8273,"L",1.00587269211163,-0.0235196980441349,"0",5991.86870915197
11443,"L_7m_ROI",2,-5.05249872972269e-05,-6.57293,-64.9609,41.8438,"L",1.00586028374186,-0.0282504602091065,"0",6127.05016506372
11444,"L_7m_ROI",2,-4.68859076574427e-05,-6.48591,-63.8401,42.845,"L",1.00585916864454,-0.0275293953477622,"0",6113.29949832802
11445,"L_7m_ROI",2,-4.35041308884836e-05,-6.4283,-62.7064,43.8295,"L",1.00585021064034,-0.0197319926582228,"0",5866.9203159826
11446,"L_7m_ROI",2,-4.00367576235682e-05,-6.39969,-61.5632,44.796,"L",1.0058416715236,-0.0171329624214277,"0",5854.32512315797
11447,"L_7m_ROI",2,-3.66904807921658e-05,-6.39924,-60.4135,45.7429,"L",1.00583952526912,-0.0125221028423004,"0",5633.21987492949
11448,"L_7m_ROI",2,-3.32154001396209e-05,-6.42575,-59.2602,46.6686,"L",1.00583384152797,-0.00524069122661581,"0",5513.38140671978
11461,"L_7m_ROI",2,-2.9783122274597e-05,-6.9704,-68.1625,37.5738,"L",1.00583063839558,-0.0242574752006921,"0",6141.17608599509
11462,"L_7m_ROI",2,-2.63556053316222e-05,-6.7919,-67.1161,38.6333,"L",1.00581801739283,-0.0213005867377471,"0",6038.21610943007
11463,"L_7m_ROI",2,-2.29345275929007e-05,-6.63962,-66.0437,39.6799,"L",1.00581056375163,-0.0193351174188042,"0",5945.63723820504
11464,"L_7m_ROI",2,-1.95100978183227e-05,-6.51536,-64.9486,40.7125,"L",1.0058090645004,-0.0232428071672,"0",6037.40285796684
11465,"L_7m_ROI",2,-1.6056581858395e-05,-6.42012,-63.8343,41.7301,"L",1.00580772053136,-0.0273416588279269,"0",6099.2217248855
11466,"L_7m_ROI",2,-1.25115004655108e-05,-6.35409,-62.7044,42.7311,"L",1.00580186571263,-0.0241161110714901,"0",6051.92118702883
11467,"L_7m_ROI",2,-8.99421423455933e-06,-6.31688,-61.5623,43.7139,"L",1.00579278994067,-0.0178501483734518,"0",5862.75355728894
11468,"L_7m_ROI",2,-5.46514245185004e-06,-6.30767,-60.4112,44.677,"L",1.00579241974147,-0.0175020434384641,"0",5742.88240955291
11481,"L_7m_ROI",2,-1.60680360806914e-06,-6.94101,-68.0849,36.3905,"L",1.00578586694957,-0.0267076109491039,"0",6066.04661964681
11482,"L_7m_ROI",2,2.00362975374354e-06,-6.75532,-67.0552,37.465,"L",1.00577651793202,-0.0227191204240271,"0",5986.05890319229
11483,"L_7m_ROI",2,5.64688792906167e-06,-6.59554,-65.9969,38.5272,"L",1.0057732960412,-0.0203232116956885,"0",5902.14654529728
11484,"L_7m_ROI",2,9.30322321285514e-06,-6.46353,-64.9132,39.576,"L",1.00576410711544,-0.0198366207997176,"0",5902.68341602082
11485,"L_7m_ROI",2,1.29702663535488e-05,-6.36029,-63.8074,40.61,"L",1.0057597478186,-0.0237767155497619,"0",6029.86926892504
11486,"L_7m_ROI",2,1.66539352473236e-05,-6.28606,-62.683,41.6276,"L",1.00575825132813,-0.0234768125712355,"0",6059.00446278291
11487,"L_7m_ROI",2,2.03850243509425e-05,-6.24042,-61.5435,42.6271,"L",1.00574900735892,-0.0213721282402403,"0",6045.70362896566
11488,"L_7m_ROI",2,2.41462890751466e-05,-6.22255,-60.3923,43.6066,"L",1.00573968038495,-0.0158423716500981,"0",5789.35577962609
11500,"L_7m_ROI",2,2.7901115854421e-05,-6.91438,-67.9756,35.204,"L",1.0057368764664,-0.0261719949822333,"0",6162.20971944846
11501,"L_7m_ROI",2,3.1682121067699e-05,-6.72167,-66.9647,36.2929,"L",1.00573401882781,-0.0253876174903034,"0",6064.55392983213
11502,"L_7m_ROI",2,3.54867919663637e-05,-6.55461,-65.9226,37.3705,"L",1.00572554874555,-0.0246331807098063,"0",6016.69003700888
11503,"L_7m_ROI",2,3.93516316033809e-05,-6.41508,-64.8523,38.4352,"L",1.00571861543707,-0.0228778590405585,"0",5895.71052847877
11504,"L_7m_ROI",2,4.31971297798809e-05,-6.30411,-63.7571,39.4856,"L",1.00571550435371,-0.0248038540513849,"0",5920.80520080593
11505,"L_7m_ROI",2,4.70642466981911e-05,-6.22189,-62.6402,40.52,"L",1.00571166223514,-0.0262428879642279,"0",6089.43157403985
11506,"L_7m_ROI",2,5.09519776404968e-05,-6.16803,-61.5052,41.5363,"L",1.00570626163926,-0.0224729087164249,"0",6013.18324347849
11518,"L_7m_ROI",2,5.48480855508093e-05,-6.88839,-67.8322,34.016,"L",1.00570011968731,-0.0280694128323477,"0",6218.20424285915
11519,"L_7m_ROI",2,5.87806000819783e-05,-6.68877,-66.8419,35.1188,"L",1.00569686284842,-0.0260925970381331,"0",6069.23525088783
11520,"L_7m_ROI",2,6.27014755590919e-05,-6.5146,-65.8181,36.2112,"L",1.0056905907574,-0.0238143605470854,"0",5991.48305453346
11521,"L_7m_ROI",2,6.6632273233027e-05,-6.36776,-64.7636,37.2916,"L",1.00568399121916,-0.023121201860016,"0",5993.74051837534
11522,"L_7m_ROI",2,7.05658644243786e-05,-6.24927,-63.6812,38.3582,"L",1.00567821556631,-0.0257935736952156,"0",6017.21428112387
11523,"L_7m_ROI",2,7.45424254436397e-05,-6.15933,-62.5741,39.4092,"L",1.00567694932249,-0.0258952707283252,"0",6063.37931830571
11534,"L_7m_ROI",2,7.85246630555024e-05,-7.09003,-68.5831,31.7047,"L",1.00567437483457,-0.0188900453042932,"0",5954.3876702354
11535,"L_7m_ROI",2,8.24579725226686e-05,-6.86107,-67.6521,32.8287,"L",1.0056647214901,-0.0272629985887592,"0",6180.69543120984
11536,"L_7m_ROI",2,8.63888321429148e-05,-6.65459,-66.6842,33.9445,"L",1.00566415150938,-0.0268656508851273,"0",6067.17885670778
11537,"L_7m_ROI",2,9.06565173279776e-05,-6.47341,-65.6809,35.051,"L",1.00565191295122,-0.0209425726013416,"0",5925.25112632072
11538,"L_7m_ROI",2,9.49413446495094e-05,-6.31945,-64.6444,36.1465,"L",1.00564894042508,-0.0183778088481063,"0",5809.09466700094
11539,"L_7m_ROI",2,9.9338098751283e-05,-6.19368,-63.5773,37.229,"L",1.00564820510334,-0.0232234329745168,"0",5955.42741560493
11540,"L_7m_ROI",2,0.000103972898649937,-6.09625,-62.4824,38.2964,"L",1.0056399027608,-0.0228999695008307,"0",5941.87739056916
11551,"L_7m_ROI",2,0.000108461276992543,-6.83064,-67.4328,31.6444,"L",1.00562988215965,-0.021319257168016,"0",6100.44181342705
11552,"L_7m_ROI",2,0.000112952539206771,-6.61728,-66.4889,32.7723,"L",1.00562752053373,-0.0246176382568538,"0",6113.93788204771
11553,"L_7m_ROI",2,0.000117401538794466,-6.42919,-65.5081,33.892,"L",1.0056237227189,-0.0220689374201654,"0",6014.4563614978
11554,"L_7m_ROI",2,0.000121870532487914,-6.26824,-64.4921,35.0018,"L",1.00561583336173,-0.0178694216912816,"0",5925.03758624448
11555,"L_7m_ROI",2,0.000126369481990721,-6.13537,-63.4428,36.0996,"L",1.00561461095252,-0.0185727526761331,"0",5894.33608892897
11556,"L_7m_ROI",2,0.000130945524231823,-6.03071,-62.3628,37.183,"L",1.00561134275439,-0.0202297445255504,"0",5912.26505206807
11567,"L_7m_ROI",2,0.00013563073271608,-6.57527,-66.2535,31.6044,"L",1.00560616235415,-0.0229827285715207,"0",6078.00815450936
11568,"L_7m_ROI",2,0.000140145210413146,-6.38029,-65.2971,32.7363,"L",1.00560371896761,-0.0221128276759927,"0",5976.49442331241
11569,"L_7m_ROI",2,0.000144648018902298,-6.21245,-64.3038,33.8595,"L",1.00559805139456,-0.0198480117853991,"0",5992.9021420227
11570,"L_7m_ROI",2,0.00014928116414229,-6.07266,-63.275,34.9717,"L",1.00559564565716,-0.0171431376695578,"0",5911.25606880462
11571,"L_7m_ROI",2,0.000153784518270781,-5.96097,-62.2128,36.0705,"L",1.00558932057162,-0.0201929999398718,"0",5881.10329266202
11582,"L_7m_ROI",2,0.000158527867789496,-6.32533,-65.0452,31.5864,"L",1.00558085798057,-0.0201183665401153,"0",5922.33591115572
11583,"L_7m_ROI",2,0.000163049533454115,-6.15066,-64.0767,32.7218,"L",1.00557911323026,-0.0219466436054952,"0",6019.36874546043
11584,"L_7m_ROI",2,0.00016754132889945,-6.00408,-63.0711,33.8474,"L",1.00557415677209,-0.0178299814511877,"0",5962.4598581165
11596,"L_7m_ROI",2,0.000172055655475554,-6.08175,-63.8081,31.5912,"L",1.005567244739,-0.0230281488644403,"0",6020.12320342375
