"SubjID","Type","Density"
"687163","Overall",0.937558494758036
"687163","Day 1",0.966903596472957
"687163","Day 2",0.956244879538985
"687163","Session 1",0.980371190029855
"687163","Session 2",0.980939908352427
"687163","Session 3",0.976728372561272
"687163","Session 4",0.973496406998542
